Elapsed time,virtual.lab.inf.uva.es CPU combined,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap used
11:07:22.0,1.102,0,0,27.878,15278080
11:07:23.0,1.492,0,0,27.847,15278080
11:07:24.0,1.005,0,2,27.809,15278080
11:07:25.0,1,0,0,27.77,15278080
11:07:26.0,1.005,0,0,27.733,15278080
11:07:27.0,1.492,0,0,27.693,15278080
11:07:28.0,0.502,0,0,27.655,15278080
11:07:29.0,1,0,2,27.621,15278080
11:07:30.0,0,0,0,27.583,15278080
11:07:31.0,0.995,0,0,27.546,15278080
11:07:32.0,0.505,0,0,27.514,15278080
11:07:33.0,1,0,0,27.464,15278080
11:07:34.0,1,0,2,27.432,15278080
11:07:35.0,0.995,0,0,27.394,15278080
11:07:36.0,1.005,0,0,27.349,15278080
11:07:37.0,1.005,0,0,27.311,15278080
11:07:38.0,1,0,0,27.274,15278080
11:07:39.0,1.5,0,0,27.251,15278080
11:07:40.0,1,0,2,27.206,15278080
11:07:41.0,1.492,0,0,27.169,15278080
11:07:42.0,1.492,0,1,27.131,15278080
11:07:43.0,0.5,0,0,27.131,15278080
11:07:44.0,0.5,0,0,27.129,15278080
11:07:45.0,1,,,,
11:07:46.0,,0,2,27.134,15278080
11:07:47.0,1,0,0,27.171,15278080
11:07:48.0,0.505,0,1,27.281,15278080
11:07:49.0,2,0,0,27.545,15278080
11:07:50.0,0,0,0,27.553,15278080
11:07:51.0,0.5,0,0,27.557,15278080
11:07:52.0,0,0,2,27.6,15278080
11:07:53.0,1.98,0,1,27.679,15278080
11:07:54.0,1.492,0,0,27.82,15278080
11:07:55.0,2,0,0,28.101,15278080
11:07:56.0,0,0,0,28.099,15278080
11:07:57.0,1,0,2,28.111,15278080
11:07:58.0,0.5,0,0,28.146,15278080
11:07:59.0,1,0,0,28.225,15278080
11:08:00.0,1,0,0,28.375,15278080
11:08:01.0,2.01,0,0,28.658,15278080
11:08:02.0,0.995,0,0,28.67,15278080
11:08:03.0,0.5,0,2,28.675,15278080
11:08:04.0,0.5,0,0,28.71,15278080
11:08:05.0,0.502,0,0,28.79,15278080
11:08:06.0,1.99,0,0,28.935,15278080
11:08:07.0,2.01,0,0,29.214,15278080
