Elapsed time,virtual.lab.inf.uva.es CPU combined,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap used
21:09:21.0,1.003,0,0,27.674,15278080
21:09:22.0,0.502,0,0,27.636,15278080
21:09:23.0,1,0,2,27.599,15278080
21:09:24.0,0.505,0,1,27.56,15278080
21:09:25.0,1,0,0,27.527,15278080
21:09:26.0,0.5,0,0,27.485,15278080
21:09:27.0,0.505,0,0,27.457,15278080
21:09:28.0,3.517,0,2,27.423,15278080
21:09:29.0,1,0,0,27.374,15278080
21:09:30.0,10.606,0,52,27.342,15278080
21:09:31.0,1,0,1,27.303,15278080
21:09:32.0,0.502,0,0,27.273,15278080
21:09:33.0,0.5,0,0,27.227,15278080
21:09:34.0,1.01,0,2,27.183,15278080
21:09:35.0,0.502,0,0,27.152,15278080
21:09:36.0,1,0,0,27.112,15278080
21:09:37.0,1,0,0,27.078,15278080
21:09:38.0,0.502,0,0,27.046,15278080
21:09:39.0,1.492,0,2,27.013,15278080
21:09:40.0,0,0,0,26.976,15278080
21:09:41.0,1,0,0,26.934,15278080
21:09:42.0,0.502,0,0,26.93,15278080
21:09:43.0,0.99,0,0,26.929,15278080
21:09:44.0,0,0,2,26.933,15278080
21:09:45.0,0.5,0,0,26.977,15278080
21:09:46.0,0.502,0,0,27.086,15278080
21:09:47.0,1.99,0,0,27.35,15278080
21:09:48.0,0,0,0,27.37,15278080
21:09:49.0,0,0,0,27.37,15278080
21:09:50.0,0,0,3,27.418,15278080
21:09:51.0,0.5,0,0,27.484,15278080
21:09:52.0,1.5,0,0,27.623,15278080
21:09:53.0,1.515,0,0,27.906,15278080
21:09:54.0,0.5,0,0,27.916,15278080
21:09:55.0,0,0,4,27.916,15278080
21:09:56.0,0.502,0,0,27.952,15278080
21:09:57.0,0.5,0,0,28.031,15278080
21:09:58.0,1.5,0,0,28.181,15278080
21:09:59.0,1.507,0,0,28.462,15278080
21:10:00.0,0.5,0,2,28.474,15278080
21:10:01.0,0,0,0,28.472,15278080
21:10:02.0,0.5,0,0,28.514,15278080
21:10:03.0,1,0,0,28.593,15278080
21:10:04.0,0.505,0,0,28.733,15278080
21:10:05.0,1.507,0,0,29.016,15278080
21:10:06.0,0.502,0,5,29.02,15278080
21:10:07.0,0,0,0,29.025,15278080
21:10:08.0,0,0,0,29.077,15278080
21:10:09.0,0.5,0,0,29.151,15278080
21:10:10.0,1.005,0,0,29.298,15278080
21:10:11.0,2,0,0,29.569,15278080
21:10:12.0,0,0,2,29.58,15278080
21:10:13.0,0,0,0,29.585,15278080
21:10:14.0,0.5,0,0,29.622,15278080
21:10:15.0,1,0,0,29.703,15278080
21:10:16.0,1.005,0,0,29.843,15278080
21:10:17.0,1.01,0,2,30.098,15278080
21:10:18.0,0.5,0,0,30.108,15278080
21:10:19.0,0,0,0,30.123,15278080
21:10:20.0,0,0,0,30.129,15278080
21:10:21.0,0,0,1,30.136,15278080
21:10:22.0,0,0,0,30.134,15278080
21:10:23.0,0,0,2,30.134,15278080
21:10:24.0,0,0,0,30.134,15278080
21:10:25.0,0,0,0,30.134,15278080
21:10:26.0,0.5,0,2,30.134,15278080
21:10:27.0,0,0,0,30.134,15278080
21:10:28.0,0.5,0,0,30.134,15278080
21:10:29.0,0,0,0,30.132,15278080
21:10:30.0,0,0,0,30.132,15278080
21:10:31.0,0,0,0,30.132,15278080
21:10:32.0,0,0,2,30.132,15278080
21:10:33.0,0,0,0,30.132,15278080
21:10:34.0,0,0,0,30.132,15278080
21:10:35.0,0.497,0,0,30.132,15278080
21:10:36.0,0,0,5,30.132,15278080
21:10:37.0,0.5,0,0,30.131,15278080
21:10:38.0,0,0,0,30.131,15278080
21:10:39.0,0.5,0,0,30.131,15278080
21:10:40.0,0,0,0,30.131,15278080
21:10:41.0,0,0,0,30.131,15278080
21:10:42.0,0,0,0,30.131,15278080
21:10:43.0,0,0,0,30.131,15278080
21:10:44.0,0,0,0,30.129,15278080
21:10:45.0,0,0,0,30.129,15278080
21:10:46.0,0,0,0,30.129,15278080
21:10:47.0,0,0,0,30.129,15278080
21:10:48.0,0,0,0,30.128,15278080
21:10:49.0,0,0,0,30.128,15278080
21:10:50.0,0.497,0,0,30.128,15278080
21:10:51.0,0,0,0,30.128,15278080
21:10:52.0,0.5,0,1,30.128,15278080
21:10:53.0,0,0,0,30.128,15278080
21:10:54.0,0.5,0,0,30.128,15278080
21:10:55.0,0,0,0,30.137,15278080
21:10:56.0,0,0,0,30.137,15278080
21:10:57.0,0,0,3,30.137,15278080
21:10:58.0,0,0,0,30.141,15278080
21:10:59.0,0.5,0,0,30.141,15278080
21:11:00.0,0.497,0,0,30.141,15278080
21:11:01.0,0,0,0,30.141,15278080
21:11:02.0,0.502,0,2,30.141,15278080
21:11:03.0,0.497,0,0,30.141,15278080
21:11:04.0,0,0,0,30.141,15278080
21:11:05.0,0.5,0,0,30.141,15278080
21:11:06.0,0,0,0,30.139,15278080
21:11:07.0,0,0,0,30.139,15278080
21:11:08.0,0,0,0,30.139,15278080
21:11:09.0,0,0,0,30.139,15278080
21:11:10.0,0,0,0,30.139,15278080
21:11:11.0,0,0,0,30.138,15278080
21:11:12.0,0,0,0,30.138,15278080
21:11:13.0,0,0,0,30.138,15278080
21:11:14.0,0.5,0,0,30.138,15278080
21:11:15.0,0,0,0,30.138,15278080
21:11:16.0,0,0,0,30.138,15278080
21:11:17.0,0,0,0,30.138,15278080
21:11:18.0,0,0,0,30.136,15278080
21:11:19.0,0.5,0,0,30.136,15278080
21:11:20.0,0.497,0,0,30.136,15278080
21:11:21.0,0,0,0,30.136,15278080
21:11:22.0,0,0,0,30.135,15278080
21:11:23.0,0,0,0,30.135,15278080
21:11:24.0,0,0,0,30.135,15278080
21:11:25.0,0,0,0,30.135,15278080
21:11:26.0,0,0,0,30.135,15278080
21:11:27.0,0,0,1,30.135,15278080
21:11:28.0,0.995,,,,
21:11:29.0,,0,0,30.135,15278080
21:11:30.0,0,0,0,30.135,15278080
21:11:31.0,0,0,0,30.135,15278080
21:11:32.0,0,0,0,30.133,15278080
21:11:33.0,0,0,0,30.133,15278080
21:11:34.0,0,0,2,30.133,15278080
21:11:35.0,0,0,0,30.133,15278080
21:11:36.0,0,0,0,30.133,15278080
21:11:37.0,0.497,0,0,30.133,15278080
21:11:38.0,0,0,0,30.133,15278080
21:11:39.0,0,0,0,30.142,15278080
21:11:40.0,0,0,0,30.142,15278080
21:11:41.0,0.5,0,0,30.142,15278080
