Elapsed time,virtual.lab.inf.uva.es CPU combined,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap used
14:30:28.0,1.2,0,0,29.195,15278080
14:30:29.0,0.505,0,0,29.161,15278080
14:30:30.0,0.502,0,3,29.112,15278080
14:30:31.0,1,0,0,29.083,15278080
14:30:32.0,1.005,0,2,29.047,15278080
14:30:33.0,1,0,0,29.017,15278080
14:30:34.0,0.502,0,0,28.977,15278080
14:30:35.0,1,0,0,28.946,15278080
14:30:36.0,1,0,0,28.908,15278080
14:30:37.0,0.502,0,0,28.872,15278080
14:30:38.0,0.502,0,2,28.833,15278080
14:30:39.0,1,0,0,28.79,15278080
14:30:40.0,0.502,0,0,28.756,15278080
14:30:41.0,0.502,0,0,28.723,15278080
14:30:42.0,0.502,0,0,28.68,15278080
14:30:43.0,0.995,0,2,28.66,15278080
14:30:44.0,0.505,0,0,28.621,15278080
14:30:45.0,1,0,0,28.586,15278080
14:30:46.0,0.502,0,0,28.538,15278080
14:30:47.0,0.505,0,0,28.506,15278080
14:30:48.0,1.492,0,2,28.469,15278080
14:30:49.0,1.005,0,0,28.437,15278080
14:30:50.0,0.502,0,0,28.392,15278080
14:30:51.0,1.5,0,0,28.372,15278080
14:30:52.0,0,0,0,28.336,15278080
14:30:53.0,0.502,0,0,28.301,15278080
14:30:54.0,1.485,0,2,28.261,15278080
14:30:55.0,1.492,0,0,28.225,15278080
14:30:56.0,0.505,0,0,28.184,15278080
14:30:57.0,1,0,0,28.154,15278080
14:30:58.0,1,0,0,28.109,15278080
14:30:59.0,1,0,2,28.075,15278080
14:31:00.0,1.5,0,0,28.043,15278080
14:31:01.0,0,0,3,28.041,15278080
14:31:02.0,0,0,0,28.039,15278080
14:31:03.0,1,0,0,28.044,15278080
14:31:04.0,1,0,0,28.082,15278080
14:31:05.0,1.5,0,2,28.191,15278080
14:31:06.0,2,0,5,28.461,15278080
14:31:07.0,0.995,0,0,28.472,15278080
14:31:08.0,0.5,0,0,28.478,15278080
14:31:09.0,1,0,0,28.519,15278080
14:31:10.0,0.502,0,3,28.595,15278080
14:31:11.0,1.492,0,0,28.742,15278080
14:31:12.0,1.507,0,0,29.017,15278080
14:31:13.0,0.995,0,0,29.029,15278080
14:31:14.0,0.5,0,0,29.034,15278080
14:31:15.0,0.505,0,0,29.075,15278080
14:31:16.0,1,0,2,29.155,15278080
14:31:17.0,1.5,0,0,29.301,15278080
14:31:18.0,2,0,0,29.577,15278080
14:31:19.0,1,0,0,29.589,15278080
14:31:20.0,0,0,0,29.605,15278080
14:31:21.0,1,0,2,29.636,15278080
14:31:22.0,0.5,0,0,29.671,15278080
14:31:23.0,0.502,0,0,29.726,15278080
14:31:24.0,1,0,0,29.873,15278080
14:31:25.0,1.99,0,0,30.047,15278080
14:31:26.0,0,0,0,30.053,15278080
14:31:27.0,0.995,0,2,30.057,15278080
14:31:28.0,0,0,0,30.057,15278080
14:31:29.0,0,0,0,30.057,15278080
14:31:30.0,0,0,0,30.06,15278080
14:31:31.0,0,0,3,30.07,15278080
14:31:32.0,0,0,0,30.07,15278080
14:31:33.0,0.5,0,2,30.07,15278080
14:31:34.0,0,0,0,30.069,15278080
14:31:35.0,0,0,0,30.069,15278080
14:31:36.0,0,0,0,30.072,15278080
14:31:37.0,0,0,0,30.072,15278080
14:31:38.0,0,0,0,30.072,15278080
14:31:39.0,0,0,0,30.072,15278080
14:31:40.0,0,0,0,30.078,15278080
14:31:41.0,0,0,5,30.078,15278080
14:31:42.0,0,0,0,30.078,15278080
14:31:43.0,0,0,,,
14:31:44.0,,,0,30.081,15278080
14:31:45.0,0,0,0,30.091,15278080
14:31:46.0,0,0,0,30.091,15278080
14:31:47.0,0,0,0,30.091,15278080
14:31:48.0,0,0,0,30.091,15278080
14:31:49.0,0,0,0,30.091,15278080
14:31:50.0,0,0,0,30.094,15278080
14:31:51.0,0,0,0,30.094,15278080
14:31:52.0,0,0,0,30.094,15278080
14:31:53.0,0.497,0,0,30.094,15278080
14:31:54.0,0,0,0,30.094,15278080
14:31:55.0,0,0,0,30.094,15278080
14:31:56.0,0,0,0,30.097,15278080
14:31:57.0,0.5,0,0,30.107,15278080
14:31:58.0,0,0,0,30.107,15278080
14:31:59.0,0,0,0,30.107,15278080
14:32:00.0,0,0,0,30.107,15278080
14:32:01.0,0.5,0,0,30.107,15278080
14:32:02.0,0.5,0,0,30.11,15278080
14:32:03.0,0.5,0,2,30.11,15278080
14:32:04.0,0.497,0,0,30.11,15278080
14:32:05.0,0,0,0,30.11,15278080
14:32:06.0,0,0,0,30.11,15278080
14:32:07.0,0,0,0,30.11,15278080
14:32:08.0,0,0,0,30.113,15278080
14:32:09.0,0,0,2,30.122,15278080
14:32:10.0,0.995,0,0,30.122,15278080
14:32:11.0,0,0,0,30.122,15278080
14:32:12.0,0,0,0,30.122,15278080
14:32:13.0,0,0,0,30.122,15278080
14:32:14.0,0.5,0,0,30.125,15278080
14:32:15.0,1,0,0,30.125,15278080
14:32:16.0,0,0,0,30.125,15278080
14:32:17.0,0,0,0,30.125,15278080
14:32:18.0,0.5,0,0,30.125,15278080
14:32:19.0,0,0,0,30.125,15278080
14:32:20.0,0,0,0,30.127,15278080
14:32:21.0,0,0,0,30.128,15278080
14:32:22.0,0.5,0,0,30.128,15278080
14:32:23.0,0.497,0,0,30.138,15278080
14:32:24.0,0,0,0,30.136,15278080
