Elapsed time,virtual.lab.inf.uva.es CPU combined,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap used
11:34:21.0,0.322,0,0,24.788,15278080
11:34:22.0,0,0,0,24.787,15278080
11:34:23.0,0,0,0,24.793,15278080
11:34:24.0,0.505,0,0,24.798,15278080
11:34:25.0,1,0,0,24.839,15278080
11:34:26.0,1.005,0,2,24.975,15278080
11:34:27.0,2,0,0,25.256,15278080
11:34:28.0,0.5,0,0,25.26,15278080
11:34:29.0,0,0,0,25.276,15278080
11:34:30.0,0,0,0,25.317,15278080
11:34:31.0,0.5,0,0,25.385,15278080
11:34:32.0,1.5,0,2,25.53,15278080
11:34:33.0,1.507,0,0,25.811,15278080
11:34:34.0,0,0,0,25.817,15278080
11:34:35.0,0,0,0,25.822,15278080
11:34:36.0,1,0,1,25.865,15278080
11:34:37.0,1.005,0,0,25.943,15278080
11:34:38.0,1.5,0,2,26.084,15278080
11:34:39.0,2,0,0,26.362,15278080
11:34:40.0,0.502,0,0,26.384,15278080
11:34:41.0,0.502,0,0,26.388,15278080
11:34:42.0,0,0,0,26.429,15278080
11:34:43.0,0.502,0,2,26.508,15278080
11:34:44.0,1.005,0,0,26.651,15278080
11:34:45.0,1.507,0,0,26.929,15278080
11:34:46.0,0,0,0,26.939,15278080
11:34:47.0,0.5,0,0,26.945,15278080
11:34:48.0,0.5,0,0,26.987,15278080
11:34:49.0,1.5,0,2,27.07,15278080
11:34:50.0,1,0,0,27.219,15278080
11:34:51.0,2.01,0,0,27.503,15278080
11:34:52.0,0,0,0,27.508,15278080
11:34:53.0,0.505,0,0,27.514,15278080
11:34:54.0,1,0,2,27.555,15278080
11:34:55.0,0.502,0,0,27.628,15278080
11:34:56.0,1,0,0,27.777,15278080
11:34:57.0,2,0,1,28.058,15278080
11:34:58.0,0,0,0,28.062,15278080
11:34:59.0,0,0,0,28.068,15278080
11:35:00.0,0.502,0,2,28.125,15278080
11:35:01.0,0.502,0,0,28.197,15278080
11:35:02.0,1.97,0,0,28.349,15278080
11:35:03.0,1.507,0,0,28.628,15278080
11:35:04.0,0.5,0,0,28.641,15278080
11:35:05.0,0,0,0,28.682,15278080
11:35:06.0,0.502,0,2,28.755,15278080
11:35:07.0,1.5,0,2,28.898,15278080
11:35:08.0,1.507,0,0,29.18,15278080
11:35:09.0,0.502,0,0,29.186,15278080
11:35:10.0,0,0,0,29.2,15278080
11:35:11.0,0.502,0,2,29.253,15278080
11:35:12.0,0.502,0,0,29.327,15278080
11:35:13.0,0.502,0,0,29.475,15278080
11:35:14.0,1.515,0,0,29.766,15278080
11:35:15.0,0,0,0,29.765,15278080
11:35:16.0,0.5,0,0,29.775,15278080
11:35:17.0,0,0,7,29.812,15278080
11:35:18.0,0.502,0,0,29.896,15278080
11:35:19.0,0.502,0,0,29.966,15278080
11:35:20.0,0.5,0,0,29.988,15278080
11:35:21.0,0,0,0,29.988,15278080
11:35:22.0,0,0,0,29.989,15278080
11:35:23.0,0.5,0,2,29.989,15278080
11:35:24.0,0.497,0,0,29.989,15278080
11:35:25.0,0,0,0,29.995,15278080
11:35:26.0,0.5,0,0,29.997,15278080
11:35:27.0,0,0,1,29.997,15278080
11:35:28.0,0,0,0,29.997,15278080
11:35:29.0,0,0,0,29.999,15278080
11:35:30.0,0,0,0,29.999,15278080
11:35:31.0,0,0,0,29.999,15278080
11:35:32.0,0,0,0,30,15278080
11:35:33.0,0,0,2,30.009,15278080
11:35:34.0,0,0,0,30.009,15278080
11:35:35.0,0.5,0,0,30.011,15278080
11:35:36.0,0,0,0,30.011,15278080
11:35:37.0,0,,,,
11:35:38.0,,0,0,30.011,15278080
11:35:39.0,0.5,0,2,30.012,15278080
11:35:40.0,0,0,0,30.012,15278080
11:35:41.0,0.5,0,0,30.012,15278080
11:35:42.0,0.5,0,0,30.012,15278080
11:35:43.0,0,0,0,30.014,15278080
11:35:44.0,0,0,2,30.014,15278080
11:35:45.0,0,0,0,30.016,15278080
11:35:46.0,0.497,0,0,30.016,15278080
11:35:47.0,0.5,0,0,30.025,15278080
11:35:48.0,0,0,0,30.025,15278080
11:35:49.0,0,0,0,30.027,15278080
11:35:50.0,0,0,0,30.027,15278080
11:35:51.0,0,0,0,30.027,15278080
11:35:52.0,0,0,0,30.028,15278080
11:35:53.0,0.497,0,0,30.028,15278080
11:35:54.0,0,0,0,30.03,15278080
11:35:55.0,0,0,0,30.03,15278080
11:35:56.0,0.497,0,0,30.03,15278080
11:35:57.0,0,0,0,30.031,15278080
11:35:58.0,0,0,0,30.037,15278080
11:35:59.0,0.5,0,5,30.047,15278080
11:36:00.0,0,0,0,30.048,15278080
11:36:01.0,0.497,0,0,30.048,15278080
11:36:02.0,0,0,0,30.048,15278080
11:36:03.0,0,0,0,30.05,15278080
11:36:04.0,0,0,0,30.05,15278080
11:36:05.0,0,0,0,30.05,15278080
11:36:06.0,0,0,0,30.05,15278080
11:36:07.0,0,0,0,30.051,15278080
11:36:08.0,0.5,0,0,30.051,15278080
11:36:09.0,0,0,2,30.053,15278080
11:36:10.0,0,0,0,30.053,15278080
11:36:11.0,0,0,0,30.053,15278080
11:36:12.0,0.5,0,0,30.062,15278080
11:36:13.0,0.497,0,0,30.066,15278080
11:36:14.0,0.502,0,0,30.066,15278080
11:36:15.0,0,0,2,30.065,15278080
11:36:16.0,0,0,0,30.065,15278080
11:36:17.0,1.99,0,0,30.09,15278080
11:36:18.0,0,0,0,30.088,15278080
11:36:19.0,0,0,0,30.088,15278080
11:36:20.0,0,0,0,30.087,15278080
11:36:21.0,0,0,0,30.094,15278080
11:36:22.0,0.995,0,2,30.092,15278080
11:36:23.0,0,0,0,30.092,15278080
11:36:24.0,0.5,0,0,30.092,15278080
11:36:25.0,0.497,0,0,30.091,15278080
11:36:26.0,0,0,0,30.091,15278080
11:36:27.0,0,0,0,30.091,15278080
11:36:28.0,0,0,0,30.099,15278080
11:36:29.0,0.497,0,0,30.099,15278080
11:36:30.0,0,0,0,30.099,15278080
11:36:31.0,0,0,0,30.099,15278080
11:36:32.0,0,0,0,30.099,15278080
11:36:33.0,0,0,0,30.097,15278080
11:36:34.0,0,0,0,30.097,15278080
11:36:35.0,0,0,0,30.097,15278080
11:36:36.0,0,0,0,30.096,15278080
11:36:37.0,0.497,0,0,30.096,15278080
11:36:38.0,0,0,0,30.096,15278080
11:36:39.0,0.99,0,0,30.096,15278080
11:36:40.0,0,0,1,30.096,15278080
11:36:41.0,0.5,0,0,30.096,15278080
11:36:42.0,0,0,0,30.096,15278080
11:36:43.0,0,0,0,30.094,15278080
11:36:44.0,0,0,0,30.094,15278080
11:36:45.0,0.497,0,0,30.094,15278080
11:36:46.0,0.5,0,2,30.094,15278080
11:36:47.0,0,0,0,30.092,15278080
11:36:48.0,0.5,0,0,30.092,15278080
11:36:49.0,0,0,0,30.092,15278080
11:36:50.0,0,0,0,30.092,15278080
11:36:51.0,0,0,0,30.09,15278080
11:36:52.0,0,0,0,30.09,15278080
11:36:53.0,0,0,2,30.09,15278080
11:36:54.0,0.497,0,0,30.09,15278080
11:36:55.0,0,0,0,30.089,15278080
11:36:56.0,0,0,0,30.098,15278080
11:36:57.0,0,0,0,30.098,15278080
11:36:58.0,0.5,0,0,30.098,15278080
11:36:59.0,0,0,0,30.098,15278080
11:37:00.0,0,0,0,30.098,15278080
11:37:01.0,0,0,0,30.098,15278080
11:37:02.0,1.005,0,3,30.098,15278080
11:37:03.0,0,0,0,30.096,15278080
11:37:04.0,0,0,0,30.096,15278080
