Elapsed time,virtual.lab.inf.uva.es CPU combined,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap used
19:55:13.0,1,0,0,24.7,15278080
19:55:14.0,1,0,0,24.7,15278080
19:55:15.0,0.502,0,0,24.705,15278080
19:55:16.0,0,0,0,24.736,15278080
19:55:17.0,1,0,0,24.796,15278080
19:55:18.0,1,0,0,24.923,15278080
19:55:19.0,2.01,0,2,25.212,15278080
19:55:20.0,0,0,0,25.221,15278080
19:55:21.0,0.5,0,0,25.233,15278080
19:55:22.0,1,0,0,25.269,15278080
19:55:23.0,1.507,0,0,25.347,15278080
19:55:24.0,1.5,0,2,25.488,15278080
19:55:25.0,2.512,0,0,25.771,15278080
19:55:26.0,0,0,1,25.775,15278080
19:55:27.0,1,0,0,25.78,15278080
19:55:28.0,0.5,0,0,25.823,15278080
19:55:29.0,1.5,0,0,25.913,15278080
19:55:30.0,1.507,0,2,26.053,15278080
19:55:31.0,2.01,0,1,26.34,15278080
19:55:32.0,0,0,0,26.339,15278080
19:55:33.0,0,0,0,26.351,15278080
19:55:34.0,0.995,0,0,26.386,15278080
19:55:35.0,1,0,2,26.472,15278080
19:55:36.0,1.507,0,0,26.613,15278080
19:55:37.0,2.01,0,0,26.891,15278080
19:55:38.0,0,0,0,26.897,15278080
19:55:39.0,0.5,0,0,26.908,15278080
19:55:40.0,0,0,0,26.951,15278080
19:55:41.0,1.515,0,2,27.026,15278080
19:55:42.0,1.507,0,0,27.174,15278080
19:55:43.0,2.512,0,0,27.45,15278080
19:55:44.0,0,0,0,27.461,15278080
19:55:45.0,0.5,0,0,27.467,15278080
19:55:46.0,0,0,0,27.502,15278080
19:55:47.0,1.99,0,3,27.58,15278080
19:55:48.0,1.507,0,0,27.72,15278080
19:55:49.0,2.512,0,0,28.004,15278080
19:55:50.0,0.995,0,0,28.014,15278080
19:55:51.0,0,0,0,28.018,15278080
19:55:52.0,0.502,0,2,28.068,15278080
19:55:53.0,1.5,0,0,28.147,15278080
19:55:54.0,1.5,0,0,28.288,15278080
19:55:55.0,2.01,0,0,28.574,15278080
19:55:56.0,0,0,0,28.578,15278080
19:55:57.0,0,0,4,28.584,15278080
19:55:58.0,0.995,0,0,28.627,15278080
19:55:59.0,1,0,0,28.707,15278080
19:56:00.0,1.507,0,0,28.858,15278080
19:56:01.0,3,0,0,29.136,15278080
19:56:02.0,0.502,0,0,29.146,15278080
19:56:03.0,0.502,0,2,29.152,15278080
19:56:04.0,1.99,0,0,29.212,15278080
19:56:05.0,0.505,0,0,29.287,15278080
19:56:06.0,1.5,0,0,29.428,15278080
19:56:07.0,2.487,0,3,29.71,15278080
19:56:08.0,0.5,0,0,29.72,15278080
19:56:09.0,0.505,0,2,29.732,15278080
19:56:10.0,0.5,0,0,29.777,15278080
19:56:11.0,0.505,0,0,29.851,15278080
19:56:12.0,1,0,0,29.93,15278080
19:56:13.0,0,0,0,29.93,15278080
19:56:14.0,0,0,2,29.93,15278080
19:56:15.0,0.502,0,0,29.93,15278080
19:56:16.0,0,0,0,29.938,15278080
19:56:17.0,0,0,1,29.938,15278080
19:56:18.0,0,0,0,29.938,15278080
19:56:19.0,0,0,0,29.94,15278080
19:56:20.0,0,0,0,29.94,15278080
19:56:21.0,0.995,0,0,29.94,15278080
19:56:22.0,0,0,0,29.94,15278080
19:56:23.0,0,0,2,29.951,15278080
19:56:24.0,1.492,0,0,29.951,15278080
19:56:25.0,0,0,0,29.952,15278080
19:56:26.0,0,0,0,29.952,15278080
19:56:27.0,0,0,0,29.952,15278080
19:56:28.0,0,0,1,29.952,15278080
19:56:29.0,0,0,0,29.952,15278080
19:56:30.0,0.5,0,0,29.96,15278080
19:56:31.0,0.5,0,0,29.961,15278080
19:56:32.0,0.5,0,0,29.961,15278080
19:56:33.0,0,0,2,29.961,15278080
19:56:34.0,0.5,0,0,29.961,15278080
19:56:35.0,0,0,0,29.961,15278080
19:56:36.0,0,0,0,29.963,15278080
19:56:37.0,0,0,0,29.975,15278080
19:56:38.0,0,0,0,29.975,15278080
19:56:39.0,0,0,0,29.975,15278080
19:56:40.0,0,0,0,29.975,15278080
19:56:41.0,0.5,0,0,29.975,15278080
19:56:42.0,0,0,0,29.977,15278080
19:56:43.0,0.5,0,5,29.979,15278080
19:56:44.0,0,0,0,29.979,15278080
19:56:45.0,0.497,0,0,29.979,15278080
19:56:46.0,0,,,,
19:56:47.0,,0,0,29.979,15278080
19:56:48.0,0,0,0,29.979,15278080
19:56:49.0,0,0,0,29.99,15278080
19:56:50.0,0,0,0,29.991,15278080
19:56:51.0,0,0,0,29.991,15278080
19:56:52.0,0,0,0,29.991,15278080
19:56:53.0,0,0,0,29.991,15278080
19:56:54.0,1,0,4,29.991,15278080
19:56:55.0,0.497,0,0,29.992,15278080
19:56:56.0,0,0,0,29.994,15278080
19:56:57.0,0,0,0,29.994,15278080
19:56:58.0,0,0,0,29.994,15278080
19:56:59.0,0,0,2,29.994,15278080
19:57:00.0,0,0,0,29.994,15278080
19:57:01.0,0.5,0,0,29.996,15278080
19:57:02.0,0.497,0,0,30.007,15278080
19:57:03.0,0,0,0,30.007,15278080
19:57:04.0,0,0,0,30.007,15278080
19:57:05.0,0.5,0,2,30.007,15278080
19:57:06.0,0,0,0,30.006,15278080
19:57:07.0,0.5,0,0,30.006,15278080
19:57:08.0,0,0,0,30.006,15278080
19:57:09.0,0,0,0,30.008,15278080
19:57:10.0,0.5,0,0,30.008,15278080
19:57:11.0,0,0,0,30.012,15278080
19:57:12.0,0,0,0,30.012,15278080
19:57:13.0,0,0,0,30.011,15278080
19:57:14.0,0,0,0,30.011,15278080
19:57:15.0,0,0,0,30.009,15278080
19:57:16.0,0.995,0,0,30.019,15278080
