Elapsed time,virtual.lab.inf.uva.es CPU combined,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap used
14:58:33.0,0.219,0,0,24.946,15278080
14:58:34.0,0.5,0,0,24.944,15278080
14:58:35.0,0.995,0,0,24.943,15278080
14:58:36.0,1,0,0,24.943,15278080
14:58:37.0,0.502,0,0,24.979,15278080
14:58:38.0,1.005,0,2,25.109,15278080
14:58:39.0,2.512,0,2,25.392,15278080
14:58:40.0,0,0,0,25.396,15278080
14:58:41.0,0.5,0,0,25.402,15278080
14:58:42.0,0.5,0,0,25.437,15278080
14:58:43.0,1.492,0,0,25.505,15278080
14:58:44.0,1.005,0,2,25.657,15278080
14:58:45.0,1.5,0,0,25.932,15278080
14:58:46.0,0.995,0,0,25.936,15278080
14:58:47.0,0,0,0,25.942,15278080
14:58:48.0,0.502,0,0,26.001,15278080
14:58:49.0,1.492,0,5,26.074,15278080
14:58:50.0,0.505,0,0,26.214,15278080
14:58:51.0,1.507,0,0,26.495,15278080
14:58:52.0,0.5,0,0,26.501,15278080
14:58:53.0,0.5,0,0,26.512,15278080
14:58:54.0,0.995,0,0,26.547,15278080
14:58:55.0,0,0,2,26.62,15278080
14:58:56.0,1.492,0,0,26.76,15278080
14:58:57.0,1.015,0,0,27.05,15278080
14:58:58.0,0.5,0,0,27.064,15278080
14:58:59.0,0.5,0,0,27.07,15278080
14:59:00.0,0.5,0,0,27.112,15278080
14:59:01.0,0.995,0,2,27.184,15278080
14:59:02.0,1.5,0,0,27.321,15278080
14:59:03.0,1.507,0,0,27.611,15278080
14:59:04.0,0,0,0,27.611,15278080
14:59:05.0,0,0,0,27.611,15278080
14:59:06.0,0,0,0,27.611,15278080
14:59:07.0,0.497,0,2,27.611,15278080
14:59:08.0,0.5,0,0,27.611,15278080
14:59:09.0,0.5,0,0,27.609,15278080
14:59:10.0,0,0,0,27.609,15278080
14:59:11.0,0,0,0,27.609,15278080
14:59:12.0,0,0,0,27.609,15278080
14:59:13.0,0.5,0,0,27.609,15278080
14:59:15.0,0,0,0,27.609,15278080
14:59:16.0,0,0,0,27.609,15278080
14:59:17.0,0,0,0,27.609,15278080
14:59:18.0,0,0,0,27.609,15278080
14:59:19.0,0.5,0,0,27.609,15278080
14:59:20.0,0,0,0,27.607,15278080
14:59:21.0,0,0,4,27.607,15278080
14:59:22.0,0,0,0,27.607,15278080
14:59:23.0,0,0,0,27.607,15278080
14:59:24.0,0,0,0,27.607,15278080
14:59:25.0,0,0,0,27.607,15278080
14:59:26.0,0,0,2,27.607,15278080
14:59:27.0,0,0,0,27.607,15278080
14:59:28.0,0,0,0,27.606,15278080
14:59:29.0,0.497,0,0,27.606,15278080
14:59:30.0,0.5,0,0,27.615,15278080
14:59:31.0,0,0,0,27.615,15278080
14:59:32.0,0,0,0,27.615,15278080
14:59:33.0,0,0,0,27.615,15278080
14:59:34.0,0,0,0,27.615,15278080
14:59:35.0,0,0,0,27.615,15278080
14:59:36.0,0,0,0,27.621,15278080
14:59:37.0,0,0,0,27.62,15278080
14:59:38.0,0,0,0,27.62,15278080
14:59:39.0,0,0,0,27.62,15278080
14:59:40.0,0.5,0,0,27.62,15278080
14:59:41.0,0,0,0,27.62,15278080
14:59:42.0,0,0,0,27.62,15278080
14:59:43.0,0,0,0,27.62,15278080
14:59:44.0,0,0,0,27.62,15278080
14:59:45.0,0,0,0,27.618,15278080
14:59:46.0,0,0,0,27.618,15278080
14:59:47.0,0,0,0,27.618,15278080
14:59:48.0,0,0,0,27.618,15278080
14:59:49.0,0,0,0,27.618,15278080
14:59:50.0,0,0,0,27.618,15278080
14:59:51.0,0,0,2,27.618,15278080
14:59:52.0,0,0,0,27.618,15278080
14:59:53.0,0,0,0,27.618,15278080
14:59:54.0,0,0,0,27.618,15278080
14:59:55.0,0,0,0,27.616,15278080
14:59:56.0,0,0,4,27.616,15278080
14:59:57.0,0.5,0,2,27.616,15278080
14:59:58.0,0,0,0,27.616,15278080
14:59:59.0,0.5,0,0,27.616,15278080
15:00:00.0,0,0,0,27.616,15278080
15:00:01.0,0.497,0,0,27.616,15278080
15:00:02.0,0,0,3,27.616,15278080
15:00:03.0,0,0,0,27.616,15278080
15:00:04.0,0.497,0,0,27.616,15278080
15:00:05.0,0,0,0,27.615,15278080
15:00:06.0,0,0,0,27.615,15278080
15:00:07.0,0,0,4,27.614,15278080
15:00:08.0,0.5,0,0,27.614,15278080
15:00:09.0,0,0,0,27.614,15278080
15:00:10.0,0.497,0,0,27.614,15278080
15:00:11.0,0,0,0,27.613,15278080
15:00:12.0,0,0,4,27.613,15278080
15:00:13.0,0,0,0,27.613,15278080
15:00:14.0,1,0,0,27.613,15278080
15:00:15.0,0,0,0,27.613,15278080
15:00:16.0,0,0,0,27.613,15278080
15:00:17.0,0,0,4,27.611,15278080
15:00:18.0,0,0,0,27.611,15278080
15:00:19.0,0,0,0,27.611,15278080
15:00:20.0,0,0,0,27.611,15278080
15:00:21.0,0,0,0,27.62,15278080
15:00:22.0,0.5,0,0,27.62,15278080
15:00:23.0,0,0,2,27.62,15278080
15:00:24.0,0.497,0,0,27.62,15278080
15:00:25.0,0,0,0,27.62,15278080
15:00:26.0,0,0,0,27.619,15278080
15:00:27.0,0,0,0,27.619,15278080
15:00:28.0,0,0,0,27.619,15278080
15:00:29.0,0,0,0,27.619,15278080
15:00:30.0,0,0,0,27.619,15278080
15:00:31.0,0,0,0,27.619,15278080
15:00:32.0,0,0,0,27.619,15278080
15:00:33.0,0,0,0,27.617,15278080
15:00:34.0,0.5,0,0,27.617,15278080
15:00:35.0,0,0,0,27.617,15278080
15:00:36.0,0,0,0,27.617,15278080
15:00:37.0,0,0,0,27.617,15278080
15:00:38.0,0,0,0,27.617,15278080
15:00:39.0,0,0,0,27.617,15278080
15:00:40.0,0,0,0,27.617,15278080
15:00:41.0,0,0,0,27.616,15278080
15:00:42.0,0,0,0,27.616,15278080
15:00:43.0,0,0,0,27.616,15278080
15:00:44.0,0.497,0,0,27.616,15278080
15:00:45.0,0,0,0,27.616,15278080
15:00:46.0,0.5,0,0,27.616,15278080
15:00:47.0,0,0,0,27.616,15278080
15:00:48.0,0,0,3,27.614,15278080
15:00:49.0,0,0,0,27.614,15278080
15:00:50.0,0,0,0,27.614,15278080
15:00:51.0,0.497,0,0,27.614,15278080
15:00:52.0,0,0,0,27.614,15278080
15:00:53.0,0,0,2,27.614,15278080
15:00:54.0,0,0,0,27.614,15278080
15:00:55.0,0,0,0,27.614,15278080
15:00:56.0,0,0,0,27.614,15278080
15:00:57.0,0,0,0,27.612,15278080
15:00:58.0,0,0,0,27.612,15278080
15:00:59.0,0,0,0,27.612,15278080
15:01:00.0,0,0,0,27.612,15278080
15:01:01.0,0.5,0,0,27.612,15278080
15:01:02.0,0,0,0,27.612,15278080
15:01:03.0,0,0,0,27.612,15278080
15:01:04.0,0,0,0,27.612,15278080
15:01:05.0,0.5,0,0,27.611,15278080
15:01:06.0,0.497,0,0,27.611,15278080
15:01:07.0,0,0,0,27.611,15278080
15:01:08.0,0.502,0,0,27.611,15278080
15:01:09.0,0,0,0,27.62,15278080
15:01:10.0,0,0,0,27.62,15278080
15:01:11.0,0,0,0,27.62,15278080
15:01:12.0,0,0,0,27.62,15278080
15:01:13.0,0,0,0,27.62,15278080
15:01:14.0,0.502,0,0,27.619,15278080
15:01:15.0,0,0,0,27.619,15278080
15:01:16.0,0,0,0,27.619,15278080
15:01:17.0,0,0,0,27.619,15278080
15:01:18.0,0,0,1,27.619,15278080
15:01:19.0,0,0,2,27.618,15278080
15:01:20.0,0,0,0,27.618,15278080
15:01:21.0,0.497,0,0,27.617,15278080
15:01:22.0,0,0,0,27.617,15278080
15:01:23.0,0,0,1,27.617,15278080
15:01:24.0,0,0,0,27.617,15278080
