Elapsed time,virtual.lab.inf.uva.es CPU combined,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap used
11:45:00.0,0.382,0,0,24.946,15278080
11:45:01.0,0,0,0,24.944,15278080
11:45:02.0,0,0,0,24.944,15278080
11:45:03.0,1.492,0,0,24.967,15278080
11:45:04.0,0.505,0,0,25.004,15278080
11:45:05.0,1.5,0,2,25.152,15278080
11:45:06.0,1.515,0,0,25.435,15278080
11:45:07.0,0.5,0,1,25.439,15278080
11:45:08.0,0,0,0,25.445,15278080
11:45:09.0,0.5,0,0,25.486,15278080
11:45:10.0,0.502,0,0,25.554,15278080
11:45:11.0,1.5,0,2,25.7,15278080
11:45:12.0,1.01,0,1,25.984,15278080
11:45:13.0,1.485,0,0,25.989,15278080
11:45:14.0,0,0,0,25.993,15278080
11:45:15.0,0.995,0,0,26.039,15278080
11:45:16.0,0.5,0,2,26.119,15278080
11:45:17.0,1.005,0,0,26.26,15278080
11:45:18.0,1.515,0,0,26.551,15278080
11:45:19.0,0,0,0,26.555,15278080
11:45:20.0,0.5,0,0,26.598,15278080
11:45:21.0,0.502,0,0,26.666,15278080
11:45:22.0,1.01,0,2,26.819,15278080
11:45:23.0,1.515,0,0,27.091,15278080
11:45:24.0,0.5,0,0,27.103,15278080
11:45:25.0,0,0,0,27.117,15278080
11:45:26.0,1,0,0,27.159,15278080
11:45:27.0,0.5,0,0,27.234,15278080
11:45:28.0,1.5,0,2,27.376,15278080
11:45:29.0,2.5,0,0,27.66,15278080
11:45:30.0,0,0,0,27.672,15278080
11:45:31.0,0,0,0,27.676,15278080
11:45:32.0,0,0,0,27.718,15278080
11:45:33.0,1.492,0,3,27.793,15278080
11:45:34.0,1.005,0,0,27.936,15278080
11:45:35.0,1.507,0,0,28.224,15278080
11:45:36.0,0,0,0,28.23,15278080
11:45:37.0,0.5,0,0,28.235,15278080
11:45:38.0,0.502,0,1,28.29,15278080
11:45:39.0,0.5,0,2,28.364,15278080
11:45:40.0,2.487,0,0,28.514,15278080
11:45:41.0,1.515,0,0,28.786,15278080
11:45:42.0,0,0,0,28.797,15278080
11:45:43.0,0,0,0,28.803,15278080
11:45:44.0,0.502,0,2,28.838,15278080
11:45:45.0,0.5,0,0,28.925,15278080
11:45:46.0,1.01,0,0,29.068,15278080
11:45:47.0,1.515,0,0,29.351,15278080
11:45:48.0,0,0,4,29.363,15278080
11:45:49.0,0,0,0,29.368,15278080
11:45:50.0,0.5,0,2,29.406,15278080
11:45:51.0,0.502,0,0,29.478,15278080
11:45:52.0,0.505,0,0,29.625,15278080
11:45:53.0,2.487,0,0,29.918,15278080
11:45:54.0,0.5,0,0,29.922,15278080
11:45:55.0,0,0,2,29.928,15278080
11:45:56.0,0.505,0,0,29.973,15278080
11:45:57.0,1,0,0,30.039,15278080
11:45:58.0,0.5,0,0,30.127,15278080
11:45:59.0,0,0,0,30.133,15278080
11:46:00.0,0,0,0,30.133,15278080
11:46:01.0,0,0,0,30.133,15278080
11:46:02.0,0.5,0,2,30.133,15278080
11:46:03.0,0,0,1,30.133,15278080
11:46:04.0,0,0,0,30.133,15278080
11:46:05.0,0,0,0,30.135,15278080
11:46:06.0,0.995,0,0,30.135,15278080
11:46:07.0,0,0,0,30.143,15278080
11:46:08.0,0,0,4,30.152,15278080
11:46:09.0,0,0,0,30.152,15278080
11:46:10.0,0,0,0,30.152,15278080
11:46:11.0,0.995,0,0,30.154,15278080
11:46:12.0,0,0,0,30.154,15278080
11:46:13.0,0,0,0,30.155,15278080
11:46:14.0,0,0,2,30.155,15278080
11:46:15.0,0,0,0,30.155,15278080
11:46:16.0,0,0,0,30.155,15278080
11:46:17.0,0.5,0,0,30.157,15278080
11:46:18.0,0,0,0,30.157,15278080
11:46:19.0,0,0,0,30.158,15278080
11:46:20.0,0,0,0,30.168,15278080
11:46:21.0,0,0,0,30.168,15278080
11:46:22.0,0.5,0,0,30.168,15278080
11:46:23.0,0.502,0,0,30.169,15278080
11:46:24.0,0,0,5,30.169,15278080
11:46:25.0,0.502,0,0,30.171,15278080
11:46:26.0,0.5,0,0,30.171,15278080
11:46:27.0,0,0,0,30.171,15278080
11:46:28.0,0,0,0,30.171,15278080
11:46:29.0,0,0,0,30.171,15278080
11:46:30.0,0,0,0,30.172,15278080
11:46:31.0,0,0,2,30.172,15278080
11:46:32.0,0,0,0,30.174,15278080
11:46:33.0,0,0,0,30.183,15278080
11:46:34.0,0.5,0,0,30.183,15278080
11:46:35.0,0.99,0,0,30.185,15278080
11:46:36.0,0,0,0,30.185,15278080
11:46:37.0,0,0,0,30.185,15278080
11:46:38.0,0,0,0,30.185,15278080
11:46:39.0,0,0,1,30.186,15278080
11:46:40.0,0,0,0,30.186,15278080
11:46:41.0,0,0,0,30.188,15278080
11:46:42.0,0.5,0,0,30.188,15278080
11:46:43.0,0,0,0,30.188,15278080
11:46:44.0,0,0,0,30.188,15278080
11:46:45.0,0,0,2,30.189,15278080
11:46:46.0,0.497,0,0,30.199,15278080
11:46:47.0,0,0,0,30.199,15278080
11:46:48.0,0,0,0,30.2,15278080
11:46:49.0,0,0,0,30.2,15278080
11:46:50.0,0.497,0,0,30.2,15278080
11:46:51.0,0,0,0,30.202,15278080
11:46:52.0,0,0,0,30.202,15278080
11:46:53.0,0.5,0,0,30.202,15278080
11:46:54.0,0,0,0,30.202,15278080
11:46:55.0,0,0,0,30.2,15278080
11:46:56.0,0.5,0,0,30.199,15278080
11:46:57.0,0,0,0,30.199,15278080
11:46:58.0,0.497,0,0,30.199,15278080
11:46:59.0,0,0,0,30.199,15278080
11:47:00.0,0,0,0,30.208,15278080
11:47:01.0,0.5,0,0,30.214,15278080
11:47:02.0,0,0,0,30.214,15278080
11:47:03.0,0,0,0,30.214,15278080
11:47:04.0,0,0,0,30.213,15278080
11:47:05.0,0,0,1,30.213,15278080
11:47:06.0,0.5,0,0,30.213,15278080
11:47:07.0,0,0,0,30.211,15278080
11:47:08.0,0,0,0,30.211,15278080
11:47:09.0,0,0,0,30.217,15278080
11:47:10.0,0,0,2,30.217,15278080
11:47:11.0,0,0,0,30.217,15278080
11:47:12.0,0.5,0,0,30.216,15278080
11:47:13.0,0.995,0,0,30.216,15278080
11:47:14.0,0.5,0,0,30.216,15278080
11:47:15.0,0,0,0,30.216,15278080
11:47:16.0,0.5,0,2,30.216,15278080
11:47:17.0,0.5,0,0,30.216,15278080
11:47:18.0,0,0,0,30.214,15278080
11:47:19.0,0,0,0,30.214,15278080
11:47:20.0,0,0,0,30.214,15278080
11:47:21.0,0,0,0,30.214,15278080
11:47:22.0,0,0,0,30.214,15278080
11:47:23.0,0,0,0,30.214,15278080
11:47:24.0,0,0,0,30.212,15278080
11:47:25.0,0.5,0,0,30.212,15278080
11:47:26.0,0,0,0,30.212,15278080
11:47:28.0,0,0,0,30.212,15278080
11:47:29.0,4,0,0,30.322,15278080
11:47:30.0,0,0,0,30.323,15278080
11:47:31.0,0,0,0,30.331,15278080
11:47:32.0,0,0,0,30.331,15278080
11:47:33.0,0,0,0,30.331,15278080
