,virtual.lab.inf.uva.es CPU combined,,,virtual.lab.inf.uva.es Memory usedperc,
75,,,,,
mañana,0.49041183573767,,,0.213816860567053,
tarde,1.40028779429988,1.35752854678337,,0.421493120597549,0.334126032130823
noche,2.18188601031255,,,0.367068115227867,
150,,,,,
mañana,9.36494100454202,,,1.09272928660204,
tarde,0.156643401396515,3.35319194928634,,0.892305729204801,0.959331254526353
noche,0.53799144192049,,,0.892958747772218,
300,,,,,
mañana,0.419756333270179,,,1.44004320657376,
tarde,0.258471835891343,0.37326920882583,,0.294644619504488,0.65088334836319
noche,0.441579457315967,,,0.217962219011322,
,,,,,  
