Elapsed time,virtual.lab.inf.uva.es CPU combined,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap used
10:51:34.0,1.598,0,0,27.35,15278080
10:51:35.0,1.005,0,0,27.319,15278080
10:51:36.0,1,0,2,27.283,15278080
10:51:37.0,1.5,0,0,27.254,15278080
10:51:38.0,0.502,0,0,27.219,15278080
10:51:39.0,0.502,0,0,27.185,15278080
10:51:40.0,0.502,0,1,27.14,15278080
10:51:41.0,1.5,0,2,27.098,15278080
10:51:42.0,0.502,0,0,27.071,15278080
10:51:43.0,0.995,0,4,27.039,15278080
10:51:44.0,1,0,0,26.997,15278080
10:51:45.0,1.005,0,0,26.965,15278080
10:51:46.0,1,0,0,26.943,15278080
10:51:47.0,1,0,0,26.919,15278080
10:51:48.0,0.505,0,0,26.883,15278080
10:51:49.0,1,0,2,26.844,15278080
10:51:50.0,1,0,0,26.807,15278080
10:51:51.0,0.505,0,0,26.769,15278080
10:51:52.0,1,0,0,26.732,15278080
10:51:53.0,1.492,0,0,26.693,15278080
10:51:54.0,0.505,0,2,26.657,15278080
10:51:55.0,0.5,0,0,26.655,15278080
10:51:56.0,0,0,1,26.654,15278080
10:51:57.0,0,0,0,26.671,15278080
10:51:58.0,0.995,0,0,26.716,15278080
10:51:59.0,1.99,0,2,26.844,15278080
10:52:00.0,1.5,0,0,27.119,15278080
10:52:01.0,1.005,0,5,27.13,15278080
10:52:02.0,0.5,0,0,27.136,15278080
10:52:03.0,0.502,0,0,27.171,15278080
10:52:04.0,0.5,0,0,27.243,15278080
10:52:05.0,0.505,0,0,27.391,15278080
10:52:06.0,2.5,0,0,27.675,15278080
10:52:07.0,0,0,2,27.695,15278080
10:52:08.0,0.5,0,0,27.694,15278080
10:52:09.0,1,0,0,27.733,15278080
10:52:10.0,1,0,0,27.811,15278080
10:52:11.0,1.507,0,8,27.959,15278080
10:52:12.0,2.01,0,2,28.233,15278080
10:52:13.0,0.5,0,0,28.249,15278080
10:52:14.0,0.502,0,0,28.292,15278080
10:52:15.0,0.505,0,0,28.358,15278080
10:52:16.0,3.5,0,22,28.507,15278080
10:52:17.0,2.01,0,0,28.793,15278080
10:52:18.0,0.502,0,2,28.803,15278080
10:52:19.0,0.5,0,0,28.808,15278080
10:52:20.0,0.5,0,0,28.845,15278080
10:52:21.0,1,0,0,28.923,15278080
10:52:22.0,1.005,0,0,29.066,15278080
10:52:23.0,2.512,0,2,29.35,15278080
10:52:24.0,0.497,0,0,29.348,15278080
10:52:25.0,0.502,0,0,29.36,15278080
10:52:26.0,0.995,0,0,29.407,15278080
10:52:27.0,0.502,0,2,29.491,15278080
10:52:28.0,1.507,0,0,29.632,15278080
10:52:29.0,2.512,0,2,29.925,15278080
10:52:30.0,0.5,0,0,29.923,15278080
10:52:31.0,0.502,0,0,29.934,15278080
10:52:32.0,0.5,0,3,29.94,15278080
10:52:33.0,0.5,0,0,29.951,15278080
10:52:34.0,0.5,0,0,29.951,15278080
10:52:35.0,0,0,2,29.951,15278080
10:52:36.0,0,0,0,29.951,15278080
10:52:37.0,0.5,0,0,29.951,15278080
10:52:38.0,0,0,0,29.951,15278080
10:52:39.0,0.497,0,0,29.951,15278080
10:52:40.0,0,0,0,29.949,15278080
10:52:41.0,0.497,0,0,29.949,15278080
10:52:42.0,0,0,0,29.949,15278080
10:52:43.0,0,0,0,29.949,15278080
10:52:44.0,0,0,0,29.949,15278080
10:52:45.0,0.5,0,0,29.949,15278080
10:52:46.0,0.497,0,0,29.949,15278080
10:52:47.0,0,0,5,29.949,15278080
10:52:48.0,0.5,0,0,29.958,15278080
10:52:49.0,0,0,0,29.958,15278080
10:52:50.0,0,0,0,29.958,15278080
10:52:51.0,0.495,0,0,29.958,15278080
10:52:52.0,0,0,0,29.958,15278080
10:52:53.0,0,0,0,29.958,15278080
10:52:54.0,0,0,0,29.957,15278080
10:52:55.0,0,0,0,29.957,15278080
10:52:56.0,0,0,0,29.957,15278080
10:52:57.0,0,0,2,29.957,15278080
10:52:58.0,0,0,0,29.957,15278080
10:52:59.0,0.5,0,0,29.957,15278080
10:53:00.0,0,0,0,29.957,15278080
10:53:01.0,0.995,0,0,29.957,15278080
10:53:02.0,0.5,0,3,29.956,15278080
10:53:03.0,0.5,0,0,29.956,15278080
10:53:04.0,0,0,0,29.955,15278080
10:53:05.0,0,0,0,29.955,15278080
10:53:06.0,0,0,0,29.955,15278080
10:53:07.0,0.497,0,0,29.955,15278080
10:53:08.0,0,0,2,29.955,15278080
10:53:09.0,0,0,0,29.955,15278080
10:53:10.0,0.497,0,0,29.961,15278080
10:53:11.0,0,0,0,29.961,15278080
10:53:12.0,0,0,0,29.961,15278080
10:53:13.0,0,0,0,29.961,15278080
10:53:14.0,0.5,0,0,29.959,15278080
10:53:15.0,0,0,0,29.959,15278080
10:53:16.0,0,0,0,29.959,15278080
10:53:17.0,0,0,0,29.959,15278080
10:53:18.0,0,0,0,29.958,15278080
10:53:19.0,0,0,0,29.958,15278080
10:53:20.0,0,0,0,29.958,15278080
10:53:21.0,0.5,0,0,29.958,15278080
10:53:22.0,0,0,0,29.958,15278080
10:53:23.0,0,0,0,29.958,15278080
10:53:24.0,0.5,0,0,29.958,15278080
10:53:25.0,0.5,0,0,29.958,15278080
10:53:26.0,0,0,0,29.958,15278080
10:53:27.0,0.995,0,0,29.962,15278080
10:53:28.0,0.5,0,2,29.962,15278080
10:53:29.0,0,0,0,29.962,15278080
10:53:30.0,0,0,0,29.962,15278080
10:53:31.0,0,0,0,29.962,15278080
10:53:32.0,0,0,0,29.962,15278080
