Elapsed time,virtual.lab.inf.uva.es CPU combined,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap used,,,,,,,,
75,,,,,,,,,,,,,
mañana,1.91565116925206,,,0.329413835359718,,,,,,,,,
tarde,0.156955336542197,0.754187142432099,,0.316162809881817,0.321543306719694,,,,,,,,
noche,0.18995492150204,,,0.319053274917547,,,,,,,,,
150,,,,,,,,,,,,,
mañana,0.251271576525885,,,0.956626196687232,,,,,,,,,
tarde,0.233692480792264,0.244498804626418,,0.931182047330122,0.946234009335296,,,,,,,,
noche,0.248532356561105,,,0.950893783988534,,,,,,,,,
300,,,,,,,,,,,,,
mañana,3.36875427816169,,,1.51644147020145,,,,,,,,,
tarde,0.312496514269502,1.37401232803768,,1.4938357199929,1.49045894770085,,,,,,,,
,0.440786191681839,,,1.4610996529082,,,,,,,,,
,mañana,tarde,noche,,mañana,tarde,noche,,,,,,
,,,,,,,,,,,,,
grande,,,,,,,,,,,,,
,,,,,,,,,,,,,
,virtual.lab.inf.uva.es CPU combined,,,virtual.lab.inf.uva.es Memory usedperc,,,,,,,,,
75,,,,,,,,,,,,,
mañana,0.49041183573767,,,0.213816860567053,,,,,,,,,
tarde,1.40028779429988,1.35752854678337,,0.421493120597549,0.334126032130823,,,,,,,,
noche,2.18188601031255,,,0.367068115227867,,,,,3.36403484436553,,,27.3440102856507,
150,,,,,,,,,3.44525678094451,2.90495135502441,,0.670837263496647,9.86178392320601
mañana,9.36494100454202,,,1.09272928660204,,,,,1.90556243976319,,,1.57050422047068,
tarde,0.156643401396515,3.35319194928634,,0.892305729204801,0.959331254526353,,,,,,,,
noche,0.53799144192049,,,0.892958747772218,,,,,5.87355659503313,,,2.36463064650983,
300,,,,,,,,,1.61422954375975,5.67624640127313,,0.532178609359817,1.15486052454732
mañana,0.419756333270179,,,1.44004320657376,,,,,9.5409530650265,,,0.567772317772321,
tarde,0.258471835891343,0.37326920882583,,0.294644619504488,0.65088334836319,,,,,,,,
noche,0.441579457315967,,,0.217962219011322,,,,,0.488379436655298,,,8.64072817634822,
,,,,,,,,,0.545375021163717,1.09482331005679,,0.755737588652483,
,,,,,,,,,2.25071547235135,,,,
,,,,,,,,,,,,,
,GRAFICAS,,,,,,,,,,,,
,cpu,,,,memoria,,,,escrityra,,,,
,,Pequeña ,Grande,,,Pequeña ,Grande,,,Pequeña ,Grande,,
,75h,0.754187142432099,1.35752854678337,,75h,0.321543306719694,0.334126032130823,,75h,2.90495135502441,9.86178392320601,,
,150h,0.244498804626418,3.35319194928634,,150h,0.946234009335296,0.959331254526353,,150h,5.67624640127313,1.15486052454732,,
,300h,1.37401232803768,0.37326920882583,,300h,1.49045894770085,0.65088334836319,,300h,1.09482331005679,0.542415162506634,,
