Elapsed time,virtual.lab.inf.uva.es CPU combined,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap used
10:36:20.0,2.9,0,0,25.542,15015936
10:36:21.0,7.582,0,0,25.513,15015936
10:36:22.0,10.648,0,2,25.478,15015936
10:36:23.0,13.901,0,0,25.47,15015936
10:36:24.0,14.864,0,0,25.423,15015936
10:36:25.0,16.591,0,0,25.386,15015936
10:36:26.0,17.41,0,0,25.36,15015936
10:36:27.0,21.94,0,2,25.317,15015936
10:36:28.0,20.524,0,0,25.28,15015936
10:36:29.0,14.832,0,0,25.24,15015936
10:36:30.0,23.949,0,13,25.2,15015936
10:36:31.0,19.354,0,0,25.178,15015936
10:36:32.0,24.568,0,2,25.138,15015936
10:36:33.0,22.026,0,0,25.096,15015936
10:36:34.0,26.086,0,0,25.063,15015936
10:36:35.0,19.617,0,0,25.01,15015936
10:36:36.0,21.226,0,0,24.98,15015936
10:36:37.0,22.009,0,2,24.935,15015936
10:36:38.0,21.182,0,0,24.898,15015936
10:36:39.0,20.487,0,0,24.893,15015936
10:36:40.0,23.414,0,0,24.888,15015936
10:36:41.0,24.88,0,0,24.902,15015936
10:36:42.0,27.272,0,2,24.967,15015936
10:36:43.0,27,0,0,25.103,15015936
10:36:44.0,20.418,0,0,25.385,15015936
10:36:45.0,19.354,0,0,25.409,15015936
10:36:46.0,25.51,0,0,25.402,15015936
10:36:47.0,22.222,0,2,25.445,15015936
10:36:48.0,23.684,0,0,25.449,15015936
10:36:49.0,26,0,0,25.47,15015936
10:36:50.0,25.128,0,1,25.557,15015936
10:36:51.0,25,0,0,25.711,15015936
10:36:52.0,29.081,0,2,26,15015936
10:36:53.0,25.51,0,0,26.007,15015936
10:36:54.0,27.319,0,0,26.045,15015936
10:36:55.0,26.041,0,0,26.121,15015936
10:36:56.0,28.497,0,0,26.285,15015936
10:36:57.0,29.015,0,2,26.583,15015936
10:36:58.0,33.168,0,0,26.574,15015936
10:36:59.0,28.078,0,0,26.561,15015936
