Elapsed time,virtual.lab.inf.uva.es CPU combined,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap used
20:44:24.0,2.522,0.0,0.0,31.724,1.4491648E7
20:44:25.0,1.025,0.0,0.0,31.698,1.4491648E7
20:44:26.0,2.072,0.0,0.0,31.65,1.4491648E7
20:44:27.0,2.105,0.0,0.0,31.617,1.4491648E7
20:44:28.0,2.116,0.0,0.0,31.591,1.4491648E7
20:44:29.0,3.703,0.0,2.0,31.545,1.4491648E7
20:44:30.0,3.092,0.0,0.0,31.514,1.4491648E7
20:44:31.0,6.486,0.0,0.0,31.473,1.4491648E7
20:44:32.0,10.695,0.0,9.0,31.437,1.4491648E7
20:44:33.0,7.777,0.0,0.0,31.406,1.4491648E7
20:44:34.0,7.065,0.0,2.0,31.363,1.4491648E7
20:44:35.0,5.208,0.0,0.0,31.323,1.4491648E7
20:44:36.0,7.909,0.0,0.0,31.28,1.4491648E7
20:44:37.0,11.702,0.0,1.0,31.247,1.4491648E7
20:44:38.0,10.989,0.0,0.0,31.211,1.4491648E7
20:44:39.0,15.0,0.0,2.0,31.18,1.4491648E7
20:44:40.0,16.022,0.0,0.0,31.144,1.4491648E7
20:44:41.0,12.994,0.0,0.0,31.107,1.4491648E7
20:44:42.0,16.847,0.0,0.0,31.067,1.4491648E7
20:44:43.0,21.875,0.0,0.0,31.048,1.4491648E7
20:44:44.0,21.229,0.0,2.0,31.01,1.4491648E7
20:44:45.0,16.939,0.0,0.0,30.983,1.4491648E7
20:44:46.0,21.276,0.0,0.0,30.936,1.4491648E7
20:44:47.0,19.459,0.0,0.0,30.889,1.4491648E7
20:44:48.0,21.578,0.0,0.0,30.867,1.4491648E7
20:44:49.0,21.276,0.0,2.0,30.814,1.4491648E7
20:44:50.0,21.857,0.0,0.0,30.784,1.4491648E7
20:44:51.0,23.655,0.0,0.0,30.737,1.4491648E7
20:44:52.0,27.513,0.0,4.0,30.709,1.4491648E7
20:44:53.0,23.834,0.0,0.0,30.674,1.4491648E7
20:44:54.0,19.047,0.0,2.0,30.648,1.4491648E7
20:44:55.0,29.347,0.0,0.0,30.594,1.4491648E7
20:44:56.0,25.0,0.0,0.0,30.565,1.4491648E7
20:44:57.0,29.473,0.0,0.0,30.527,1.4491648E7
20:44:58.0,30.366,0.0,0.0,30.48,1.4491648E7
20:44:59.0,22.751,0.0,2.0,30.444,1.4491648E7
20:45:00.0,30.526,0.0,0.0,30.405,1.4491648E7
20:45:01.0,25.125,0.0,0.0,30.379,1.4491648E7
20:45:02.0,31.794,0.0,0.0,30.339,1.4491648E7
20:45:03.0,28.494,0.0,18.0,30.312,1.4491648E7
20:45:04.0,25.0,0.0,2.0,30.293,1.4491648E7
20:45:05.0,24.736,0.0,0.0,30.286,1.4491648E7
20:45:06.0,22.222,0.0,0.0,30.311,1.4491648E7
20:45:07.0,28.795,0.0,0.0,30.37,1.4491648E7
20:45:08.0,31.632,0.0,2.0,30.484,1.4491648E7
20:45:09.0,29.743,0.0,2.0,30.774,1.4491648E7
20:45:10.0,25.257,0.0,0.0,30.793,1.4491648E7
20:45:11.0,31.052,0.0,0.0,30.792,1.4491648E7
20:45:12.0,30.208,0.0,0.0,30.831,1.4491648E7
20:45:13.0,31.282,0.0,0.0,30.899,1.4491648E7
20:45:14.0,29.842,0.0,2.0,31.048,1.4491648E7
20:45:15.0,16.923,0.0,0.0,31.049,1.4491648E7
20:45:16.0,29.591,0.0,0.0,31.09,1.4491648E7
20:45:17.0,25.51,0.0,0.0,31.167,1.4491648E7
20:45:18.0,23.809,0.0,0.0,31.325,1.4491648E7
20:45:19.0,33.678,0.0,2.0,31.611,1.4491648E7
20:45:20.0,24.479,0.0,0.0,31.612,1.4491648E7
20:45:21.0,24.083,0.0,0.0,31.62,1.4491648E7
20:45:22.0,26.595,0.0,0.0,31.651,1.4491648E7
