Elapsed time,virtual.lab.inf.uva.es CPU combined,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap used
14:24:11.0,1.02,0.0,0.0,22.846,1.5015936E7
14:24:12.0,4.95,0.0,0.0,22.846,1.5015936E7
14:24:13.0,3.571,0.0,0.0,22.863,1.5015936E7
14:24:14.0,5.555,0.0,0.0,22.918,1.5015936E7
14:24:15.0,8.955,0.0,0.0,23.058,1.5015936E7
14:24:16.0,10.552,0.0,2.0,23.338,1.5015936E7
14:24:17.0,10.396,0.0,0.0,23.375,1.5015936E7
14:24:18.0,17.924,0.0,0.0,23.392,1.5015936E7
14:24:19.0,19.444,0.0,0.0,23.428,1.5015936E7
14:24:20.0,18.483,0.0,0.0,23.503,1.5015936E7
14:24:21.0,22.272,0.0,2.0,23.65,1.5015936E7
14:24:22.0,20.289,0.0,0.0,23.938,1.5015936E7
14:24:23.0,18.932,0.0,0.0,23.958,1.5015936E7
14:24:24.0,13.106,0.0,0.0,23.957,1.5015936E7
14:24:25.0,12.315,0.0,0.0,24.0,1.5015936E7
14:24:26.0,25.581,0.0,2.0,24.081,1.5015936E7
14:24:27.0,27.188,0.0,0.0,24.224,1.5015936E7
14:24:28.0,23.786,0.0,0.0,24.239,1.5015936E7
14:24:29.0,24.423,0.0,0.0,24.268,1.5015936E7
14:24:30.0,22.966,0.0,0.0,24.361,1.5015936E7
14:24:31.0,22.613,0.0,2.0,24.51,1.5015936E7
14:24:32.0,28.909,0.0,0.0,24.818,1.5015936E7
14:24:33.0,28.703,0.0,0.0,24.816,1.5015936E7
14:24:34.0,25.87,0.0,0.0,24.82,1.5015936E7
14:24:35.0,24.39,0.0,0.0,24.858,1.5015936E7
14:24:36.0,24.637,0.0,3.0,24.926,1.5015936E7
14:24:37.0,26.5,0.0,0.0,25.085,1.5015936E7
14:24:38.0,27.363,0.0,0.0,25.388,1.5015936E7
14:24:39.0,22.277,0.0,0.0,25.394,1.5015936E7
14:24:40.0,24.875,0.0,0.0,25.396,1.5015936E7
14:24:41.0,30.097,0.0,4.0,25.43,1.5015936E7
14:24:42.0,28.095,0.0,0.0,25.519,1.5015936E7
14:24:43.0,19.801,0.0,0.0,25.506,1.5015936E7
14:24:44.0,24.878,0.0,0.0,25.511,1.5015936E7
14:24:45.0,22.0,0.0,0.0,25.515,1.5015936E7
14:24:46.0,29.439,0.0,13.0,25.517,1.5015936E7
14:24:47.0,29.126,0.0,2.0,25.517,1.5015936E7
14:24:48.0,27.317,0.0,0.0,25.517,1.5015936E7
14:24:49.0,24.019,0.0,0.0,25.517,1.5015936E7
14:24:50.0,28.64,0.0,0.0,25.521,1.5015936E7
14:24:51.0,24.519,0.0,2.0,25.507,1.5015936E7
14:24:52.0,26.794,0.0,0.0,25.523,1.5015936E7
14:24:53.0,25.247,0.0,0.0,25.517,1.5015936E7
14:24:54.0,19.306,0.0,0.0,25.52,1.5015936E7
14:24:55.0,22.0,0.0,0.0,25.519,1.5015936E7
14:24:56.0,22.0,0.0,2.0,25.518,1.5015936E7
14:24:57.0,26.237,0.0,0.0,25.526,1.5015936E7
14:24:58.0,26.108,0.0,0.0,25.535,1.5015936E7
14:24:59.0,30.622,0.0,0.0,25.539,1.5015936E7
14:25:00.0,26.865,0.0,0.0,25.525,1.5015936E7
14:25:01.0,29.951,0.0,2.0,25.54,1.5015936E7
14:25:02.0,26.6,0.0,0.0,25.549,1.5015936E7
14:25:03.0,27.317,0.0,0.0,25.547,1.5015936E7
14:25:04.0,21.393,0.0,0.0,25.549,1.5015936E7
14:25:05.0,21.782,0.0,0.0,25.545,1.5015936E7
14:25:06.0,25.98,0.0,2.0,25.552,1.5015936E7
14:25:07.0,26.47,0.0,1.0,25.557,1.5015936E7
14:25:08.0,29.857,0.0,0.0,25.543,1.5015936E7
14:25:09.0,23.529,0.0,0.0,25.555,1.5015936E7
14:25:10.0,26.794,0.0,0.0,25.55,1.5015936E7
14:25:11.0,27.751,0.0,2.0,25.554,1.5015936E7
14:25:12.0,26.699,0.0,0.0,25.555,1.5015936E7
14:25:13.0,20.487,0.0,0.0,25.553,1.5015936E7
14:25:14.0,22.5,0.0,0.0,25.552,1.5015936E7
14:25:15.0,22.68,0.0,0.0,25.545,1.5015936E7
14:25:16.0,26.237,0.0,2.0,25.547,1.5015936E7
14:25:17.0,33.497,0.0,11.0,25.549,1.5015936E7
14:25:18.0,30.841,0.0,1.0,25.552,1.5015936E7
14:25:19.0,31.603,0.0,0.0,25.575,1.5015936E7
14:25:20.0,27.0,0.0,0.0,25.567,1.5015936E7
14:25:21.0,24.137,0.0,2.0,25.579,1.5015936E7
14:25:22.0,28.502,0.0,4.0,25.575,1.5015936E7
14:25:23.0,26.13,0.0,0.0,25.584,1.5015936E7
14:25:24.0,29.523,0.0,0.0,25.575,1.5015936E7
14:25:25.0,26.699,0.0,0.0,25.569,1.5015936E7
14:25:26.0,27.722,0.0,2.0,25.577,1.5015936E7
14:25:27.0,25.728,0.0,0.0,25.576,1.5015936E7
14:25:28.0,26.732,0.0,0.0,25.565,1.5015936E7
14:25:29.0,23.222,0.0,0.0,25.574,1.5015936E7
14:25:30.0,25.628,0.0,0.0,25.584,1.5015936E7
14:25:31.0,27.317,0.0,2.0,25.587,1.5015936E7
14:25:32.0,30.143,0.0,0.0,25.59,1.5015936E7
14:25:33.0,25.615,0.0,0.0,25.581,1.5015936E7
14:25:34.0,22.58,0.0,0.0,25.581,1.5015936E7
14:25:35.0,23.589,0.0,0.0,25.579,1.5015936E7
14:25:36.0,20.418,0.0,2.0,25.583,1.5015936E7
14:25:37.0,19.576,0.0,2.0,25.596,1.5015936E7
14:25:38.0,21.761,0.0,0.0,25.584,1.5015936E7
14:25:39.0,21.134,0.0,0.0,25.583,1.5015936E7
14:25:40.0,23.711,0.0,0.0,25.584,1.5015936E7
14:25:41.0,24.226,0.0,2.0,25.593,1.5015936E7
14:25:42.0,19.125,0.0,0.0,25.593,1.5015936E7
14:25:43.0,19.251,0.0,0.0,25.585,1.5015936E7
14:25:44.0,20.43,0.0,0.0,25.594,1.5015936E7
14:25:45.0,22.631,0.0,0.0,25.576,1.5015936E7
14:25:46.0,20.967,0.0,2.0,25.564,1.5015936E7
14:25:47.0,20.32,0.0,0.0,25.573,1.5015936E7
14:25:48.0,19.565,0.0,13.0,25.579,1.5015936E7
14:25:49.0,23.404,0.0,0.0,25.572,1.5015936E7
14:25:50.0,24.598,0.0,0.0,25.604,1.5015936E7
14:25:51.0,20.652,0.0,2.0,25.602,1.5015936E7
14:25:52.0,21.808,0.0,0.0,25.605,1.5015936E7
14:25:53.0,22.68,0.0,0.0,25.602,1.5015936E7
14:25:54.0,19.892,0.0,0.0,25.607,1.5015936E7
14:25:55.0,20.43,0.0,0.0,25.605,1.5015936E7
14:25:56.0,18.947,0.0,2.0,25.603,1.5015936E7
14:25:57.0,18.421,0.0,0.0,25.603,1.5015936E7
14:25:58.0,23.857,0.0,0.0,25.606,1.5015936E7
14:25:59.0,25.388,0.0,0.0,25.601,1.5015936E7
14:26:00.0,24.102,0.0,0.0,25.606,1.5015936E7
14:26:01.0,26.288,0.0,2.0,25.6,1.5015936E7
14:26:02.0,19.17,0.0,0.0,25.6,1.5015936E7
14:26:03.0,22.105,0.0,4.0,25.61,1.5015936E7
14:26:04.0,17.297,0.0,0.0,25.61,1.5015936E7
14:26:05.0,15.544,0.0,0.0,25.598,1.5015936E7
14:26:06.0,14.21,0.0,2.0,25.592,1.5015936E7
14:26:07.0,12.234,0.0,0.0,25.6,1.5015936E7
14:26:08.0,19.587,0.0,2.0,25.616,1.5015936E7
14:26:09.0,19.487,0.0,0.0,25.603,1.5015936E7
14:26:10.0,19.791,0.0,0.0,25.616,1.5015936E7
14:26:11.0,20.725,0.0,2.0,25.611,1.5015936E7
14:26:12.0,16.666,0.0,0.0,25.601,1.5015936E7
14:26:13.0,17.277,0.0,0.0,25.608,1.5015936E7
14:26:14.0,22.513,0.0,0.0,25.599,1.5015936E7
14:26:15.0,17.948,0.0,0.0,25.605,1.5015936E7
14:26:16.0,11.578,0.0,2.0,25.614,1.5015936E7
14:26:17.0,14.136,0.0,0.0,25.617,1.5015936E7
14:26:18.0,14.948,0.0,6.0,25.605,1.5015936E7
14:26:19.0,18.134,0.0,5.0,25.621,1.5015936E7
14:26:20.0,14.594,0.0,0.0,25.612,1.5015936E7
14:26:21.0,18.378,0.0,2.0,25.614,1.5015936E7
14:26:22.0,15.675,0.0,0.0,25.619,1.5015936E7
14:26:23.0,20.418,0.0,0.0,25.609,1.5015936E7
14:26:24.0,16.842,0.0,0.0,25.625,1.5015936E7
14:26:25.0,17.553,0.0,0.0,25.619,1.5015936E7
14:26:26.0,16.489,0.0,2.0,25.621,1.5015936E7
14:26:27.0,18.134,0.0,0.0,25.623,1.5015936E7
14:26:28.0,11.64,0.0,0.0,25.615,1.5015936E7
14:26:29.0,12.371,0.0,0.0,25.621,1.5015936E7
14:26:30.0,11.282,0.0,0.0,25.611,1.5015936E7
14:26:31.0,11.34,0.0,2.0,25.617,1.5015936E7
14:26:32.0,14.285,0.0,0.0,25.628,1.5015936E7
14:26:33.0,13.917,0.0,0.0,25.617,1.5015936E7
14:26:34.0,17.525,0.0,0.0,25.621,1.5015936E7
14:26:35.0,8.376,0.0,0.0,25.622,1.5015936E7
14:26:36.0,16.243,0.0,2.0,25.611,1.5015936E7
14:26:37.0,11.64,0.0,0.0,25.615,1.5015936E7
14:26:38.0,13.471,0.0,0.0,25.623,1.5015936E7
14:26:39.0,13.989,0.0,2.0,25.616,1.5015936E7
14:26:40.0,19.68,0.0,0.0,25.623,1.5015936E7
14:26:41.0,18.556,0.0,2.0,25.614,1.5015936E7
14:26:42.0,10.106,0.0,0.0,25.619,1.5015936E7
14:26:43.0,17.801,0.0,0.0,25.621,1.5015936E7
14:26:44.0,9.844,0.0,4.0,25.62,1.5015936E7
14:26:45.0,8.762,0.0,0.0,25.638,1.5015936E7
14:26:46.0,13.402,0.0,2.0,25.609,1.5015936E7
14:26:47.0,8.808,0.0,0.0,25.604,1.5015936E7
14:26:48.0,14.136,0.0,0.0,25.612,1.5015936E7
14:26:49.0,20.833,0.0,9.0,25.604,1.5015936E7
