Elapsed time,virtual.lab.inf.uva.es CPU combined,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap used
14:57:09.0,4.954,0,0,25.884,15015936
14:57:10.0,1.03,0,2,25.848,15015936
14:57:11.0,2.538,0,0,25.817,15015936
14:57:12.0,8.762,0,13,25.779,15015936
14:57:13.0,4.687,0,0,25.745,15015936
14:57:14.0,3.703,0,0,25.706,15015936
14:57:15.0,4.301,0,2,25.669,15015936
14:57:16.0,4.918,0,0,25.654,15015936
14:57:17.0,6.914,0,4,25.639,15015936
14:57:18.0,8.108,0,0,25.58,15015936
14:57:19.0,6.779,0,0,25.535,15015936
14:57:20.0,7.777,0,2,25.497,15015936
14:57:21.0,9.34,0,0,25.466,15015936
14:57:22.0,9.444,0,0,25.417,15015936
14:57:23.0,8.287,0,0,25.371,15015936
14:57:24.0,8.888,0,0,25.359,15015936
14:57:25.0,13.978,0,2,25.316,15015936
14:57:26.0,11.602,0,,,
14:57:27.0,,,0,25.28,15015936
14:57:28.0,12.921,0,0,25.229,15015936
14:57:29.0,14.124,0,0,25.201,15015936
14:57:30.0,19.148,0,0,25.192,15015936
14:57:31.0,16.292,0,2,25.182,15015936
14:57:32.0,20.744,0,0,25.2,15015936
14:57:33.0,22.043,0,0,25.266,15015936
14:57:34.0,16.666,0,0,25.405,15015936
14:57:35.0,22.282,0,0,25.697,15015936
14:57:36.0,20.855,0,2,25.7,15015936
14:57:37.0,25.888,0,0,25.703,15015936
14:57:38.0,24.21,0,0,25.737,15015936
14:57:39.0,23.076,0,0,25.81,15015936
14:57:40.0,26.562,0,0,25.955,15015936
14:57:41.0,34.042,0,2,25.722,15015936
14:57:42.0,23.243,0,0,25.705,15015936
14:57:43.0,28.947,0,10,25.698,15015936
14:57:44.0,20.329,0,4,25.694,15015936
14:57:45.0,27.027,0,0,25.745,15015936
14:57:46.0,29.842,0,2,25.805,15015936
14:57:47.0,27.659,0,0,25.962,15015936
14:57:48.0,31.632,0,0,26.262,15015936
14:57:49.0,27.225,0,0,26.272,15015936
14:57:50.0,26.701,0,0,26.271,15015936
14:57:51.0,27.748,0,2,26.306,15015936
14:57:52.0,27.179,0,0,26.388,15015936
14:57:53.0,30.5,0,0,26.538,15015936
14:57:54.0,33.497,0,0,26.852,15015936
14:57:55.0,28.5,0,0,26.853,15015936
14:57:56.0,30.693,0,2,26.85,15015936
14:57:57.0,28.14,0,0,26.885,15015936
14:57:58.0,32.338,0,0,26.968,15015936
