Elapsed time,virtual.lab.inf.uva.es CPU combined,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap used
20:39:20.0,4.8,0.0,0.0,29.501,1.4491648E7
20:39:21.0,1.036,0.0,0.0,29.462,1.4491648E7
20:39:22.0,3.98,0.0,0.0,29.425,1.4491648E7
20:39:23.0,3.553,0.0,0.0,29.406,1.4491648E7
20:39:24.0,18.324,0.0,13.0,29.363,1.4491648E7
20:39:25.0,6.77,0.0,0.0,29.336,1.4491648E7
20:39:26.0,7.812,0.0,0.0,29.287,1.4491648E7
20:39:27.0,7.035,0.0,0.0,29.247,1.4491648E7
20:39:28.0,7.0,0.0,0.0,29.214,1.4491648E7
20:39:29.0,9.574,0.0,3.0,29.167,1.4491648E7
20:39:30.0,15.228,0.0,0.0,29.14,1.4491648E7
20:39:31.0,15.228,0.0,0.0,29.098,1.4491648E7
20:39:32.0,15.625,0.0,0.0,29.051,1.4491648E7
20:39:33.0,13.636,0.0,0.0,29.015,1.4491648E7
20:39:34.0,47.179,0.0,29.0,29.001,1.4491648E7
20:39:35.0,57.36,0.0,19.0,28.951,1.4491648E7
20:39:36.0,31.282,0.0,28.0,28.91,1.4491648E7
20:39:37.0,17.857,0.0,2.0,28.877,1.4491648E7
20:39:38.0,15.816,0.0,0.0,28.83,1.4491648E7
20:39:39.0,23.152,0.0,2.0,28.833,1.4491648E7
20:39:40.0,15.5,0.0,0.0,28.819,1.4491648E7
20:39:41.0,13.265,0.0,0.0,28.828,1.4491648E7
20:39:42.0,16.5,0.0,0.0,28.816,1.4491648E7
20:39:43.0,23.35,0.0,0.0,28.83,1.4491648E7
20:39:44.0,17.553,0.0,2.0,28.904,1.4491648E7
20:39:45.0,19.696,0.0,0.0,29.044,1.4491648E7
20:39:46.0,15.816,0.0,0.0,29.337,1.4491648E7
20:39:47.0,18.0,0.0,0.0,29.338,1.4491648E7
20:39:48.0,21.717,0.0,0.0,29.377,1.4491648E7
20:39:49.0,18.5,0.0,2.0,29.383,1.4491648E7
20:39:50.0,18.407,0.0,0.0,29.427,1.4491648E7
20:39:51.0,19.0,0.0,0.0,29.503,1.4491648E7
20:39:52.0,24.623,0.0,0.0,29.647,1.4491648E7
20:39:53.0,21.938,0.0,0.0,29.95,1.4491648E7
20:39:54.0,22.857,0.0,2.0,29.951,1.4491648E7
20:39:55.0,20.1,0.0,0.0,29.995,1.4491648E7
20:39:56.0,25.128,0.0,13.0,30.066,1.4491648E7
20:39:57.0,19.072,0.0,0.0,30.208,1.4491648E7
20:39:58.0,32.673,0.0,0.0,30.517,1.4491648E7
20:39:59.0,21.951,0.0,2.0,30.52,1.4491648E7
20:40:00.0,24.271,0.0,0.0,30.531,1.4491648E7
20:40:01.0,26.0,0.0,2.0,30.523,1.4491648E7
20:40:02.0,23.232,0.0,0.0,30.569,1.4491648E7
20:40:03.0,26.02,0.0,0.0,30.65,1.4491648E7
20:40:04.0,36.41,0.0,5.0,30.412,1.4491648E7
20:40:05.0,23.88,2.0,0.0,30.64,1.4491648E7
20:40:06.0,28.865,0.0,0.0,31.221,1.4491648E7
20:40:07.0,33.163,0.0,0.0,31.288,1.4491648E7
20:40:08.0,27.722,0.0,0.0,31.255,1.4491648E7
20:40:09.0,26.086,0.0,2.0,31.192,1.4491648E7
20:40:10.0,19.387,0.0,0.0,31.192,1.4491648E7
20:40:11.0,26.13,0.0,5.0,31.185,1.4491648E7
20:40:12.0,22.596,0.0,0.0,31.19,1.4491648E7
20:40:13.0,18.781,0.0,0.0,31.271,1.4491648E7
20:40:14.0,25.0,0.0,2.0,31.411,1.4491648E7
20:40:15.0,27.918,0.0,0.0,31.415,1.4491648E7
20:40:16.0,15.816,0.0,0.0,31.455,1.4491648E7
20:40:17.0,24.615,0.0,0.0,31.551,1.4491648E7
20:40:18.0,24.242,0.0,0.0,31.689,1.4491648E7
20:40:19.0,36.318,0.0,2.0,31.696,1.4491648E7
20:40:20.0,19.587,0.0,0.0,31.736,1.4491648E7
20:40:21.0,16.5,0.0,0.0,31.739,1.4491648E7
20:40:22.0,20.512,0.0,0.0,31.746,1.4491648E7
20:40:23.0,26.6,0.0,0.0,31.74,1.4491648E7
20:40:24.0,24.154,0.0,2.0,31.737,1.4491648E7
20:40:25.0,23.618,0.0,0.0,31.773,1.4491648E7
20:40:26.0,29.292,0.0,7.0,31.845,1.4491648E7
20:40:27.0,22.388,0.0,8.0,31.849,1.4491648E7
20:40:28.0,24.623,0.0,0.0,31.842,1.4491648E7
20:40:29.0,28.292,0.0,2.0,31.859,1.4491648E7
20:40:30.0,19.597,0.0,0.0,31.853,1.4491648E7
20:40:31.0,22.966,0.0,2.0,31.857,1.4491648E7
20:40:32.0,24.242,0.0,0.0,31.848,1.4491648E7
20:40:33.0,21.212,0.0,0.0,31.853,1.4491648E7
20:40:34.0,19.17,0.0,2.0,31.843,1.4491648E7
20:40:35.0,17.587,0.0,0.0,31.838,1.4491648E7
20:40:36.0,24.12,0.0,0.0,31.854,1.4491648E7
20:40:37.0,22.051,0.0,0.0,31.86,1.4491648E7
20:40:38.0,24.5,0.0,0.0,31.86,1.4491648E7
20:40:39.0,21.89,0.0,2.0,31.85,1.4491648E7
20:40:40.0,18.407,0.0,0.0,31.854,1.4491648E7
20:40:41.0,27.093,0.0,0.0,31.857,1.4491648E7
20:40:42.0,23.0,0.0,0.0,31.851,1.4491648E7
20:40:43.0,22.842,0.0,0.0,31.863,1.4491648E7
20:40:44.0,24.378,0.0,2.0,31.849,1.4491648E7
20:40:45.0,24.019,0.0,0.0,31.833,1.4491648E7
20:40:46.0,22.499,0.0,0.0,31.831,1.4491648E7
20:40:47.0,24.242,0.0,0.0,31.83,1.4491648E7
20:40:48.0,23.618,0.0,0.0,31.808,1.4491648E7
20:40:49.0,26.442,0.0,2.0,31.798,1.4491648E7
20:40:50.0,25.98,0.0,0.0,31.801,1.4491648E7
20:40:51.0,25.12,0.0,0.0,31.824,1.4491648E7
