Elapsed time,virtual.lab.inf.uva.es CPU combined,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap used
14:28:45.0,5.064,0.0,0.0,25.569,1.5015936E7
14:28:46.0,7.729,0.0,0.0,25.545,1.5015936E7
14:28:47.0,11.574,0.0,3.0,25.513,1.5015936E7
14:28:48.0,13.242,0.0,0.0,25.473,1.5015936E7
14:28:49.0,18.454,0.0,0.0,25.434,1.5015936E7
14:28:50.0,18.695,0.0,2.0,25.402,1.5015936E7
14:28:51.0,20.689,0.0,0.0,25.386,1.5015936E7
14:28:52.0,27.615,0.0,10.0,25.348,1.5015936E7
14:28:53.0,26.556,0.0,0.0,25.305,1.5015936E7
14:28:54.0,24.242,0.0,0.0,25.274,1.5015936E7
14:28:55.0,20.547,0.0,2.0,25.231,1.5015936E7
14:28:56.0,22.466,0.0,0.0,25.194,1.5015936E7
14:28:57.0,23.893,0.0,0.0,25.163,1.5015936E7
14:28:58.0,26.126,0.0,0.0,25.125,1.5015936E7
14:28:59.0,26.548,0.0,0.0,25.09,1.5015936E7
14:29:00.0,25.57,0.0,2.0,25.052,1.5015936E7
14:29:01.0,25.791,0.0,0.0,25.009,1.5015936E7
14:29:02.0,27.727,0.0,0.0,24.978,1.5015936E7
14:29:03.0,26.168,0.0,0.0,24.929,1.5015936E7
14:29:04.0,30.493,0.0,0.0,24.905,1.5015936E7
14:29:05.0,28.571,0.0,2.0,24.9,1.5015936E7
14:29:06.0,25.233,0.0,0.0,24.891,1.5015936E7
14:29:07.0,27.981,0.0,0.0,24.893,1.5015936E7
14:29:08.0,31.192,0.0,0.0,24.955,1.5015936E7
14:29:09.0,29.807,0.0,0.0,25.093,1.5015936E7
14:29:10.0,29.807,0.0,2.0,25.404,1.5015936E7
14:29:11.0,31.132,0.0,0.0,25.397,1.5015936E7
14:29:12.0,30.841,0.0,1.0,25.401,1.5015936E7
14:29:13.0,31.132,0.0,0.0,25.447,1.5015936E7
14:29:14.0,29.207,0.0,0.0,25.519,1.5015936E7
14:29:15.0,27.0,0.0,2.0,25.677,1.5015936E7
14:29:16.0,30.541,0.0,0.0,25.97,1.5015936E7
14:29:17.0,29.166,0.0,0.0,25.975,1.5015936E7
14:29:18.0,33.668,0.0,0.0,25.973,1.5015936E7
14:29:19.0,33.333,0.0,0.0,25.976,1.5015936E7
14:29:20.0,33.165,0.0,2.0,26.004,1.5015936E7
14:29:21.0,31.5,0.0,0.0,26.089,1.5015936E7
14:29:22.0,32.663,0.0,0.0,26.24,1.5015936E7
14:29:23.0,35.051,0.0,19.0,26.553,1.5015936E7
14:29:24.0,29.441,0.0,0.0,26.547,1.5015936E7
14:29:25.0,29.901,0.0,2.0,26.543,1.5015936E7
14:29:26.0,31.979,0.0,0.0,26.59,1.5015936E7
14:29:27.0,26.53,0.0,0.0,26.655,1.5015936E7
14:29:28.0,25.641,0.0,0.0,26.83,1.5015936E7
14:29:29.0,30.964,0.0,0.0,27.131,1.5015936E7
14:29:30.0,29.207,0.0,2.0,27.13,1.5015936E7
14:29:31.0,23.979,0.0,0.0,27.125,1.5015936E7
14:29:32.0,26.804,0.0,0.0,27.169,1.5015936E7
14:29:33.0,33.333,0.0,0.0,27.238,1.5015936E7
14:29:34.0,29.23,0.0,0.0,27.399,1.5015936E7
14:29:35.0,31.122,0.0,2.0,27.705,1.5015936E7
14:29:36.0,26.732,0.0,0.0,27.724,1.5015936E7
14:29:37.0,25.125,0.0,0.0,27.713,1.5015936E7
14:29:38.0,29.702,0.0,0.0,27.73,1.5015936E7
14:29:39.0,33.333,0.0,0.0,27.76,1.5015936E7
14:29:40.0,24.742,0.0,2.0,27.825,1.5015936E7
14:29:41.0,27.04,0.0,0.0,27.978,1.5015936E7
14:29:42.0,27.179,0.0,0.0,28.291,1.5015936E7
14:29:43.0,20.312,0.0,2.0,28.295,1.5015936E7
14:29:44.0,22.051,0.0,0.0,28.339,1.5015936E7
14:29:45.0,25.257,0.0,2.0,28.342,1.5015936E7
14:29:46.0,24.489,0.0,0.0,28.372,1.5015936E7
14:29:47.0,27.135,0.0,0.0,28.411,1.5015936E7
14:29:48.0,27.638,0.0,0.0,28.412,1.5015936E7
