Elapsed time,virtual.lab.inf.uva.es CPU combined,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap used
10:41:23.0,4.216,,,,
10:41:24.0,,0,0,28.682,15015936
10:41:25.0,1.02,0,0,28.649,15015936
10:41:26.0,1.546,0,0,28.621,15015936
10:41:27.0,1.578,0,0,28.569,15015936
10:41:28.0,6.153,0,2,28.54,15015936
10:41:29.0,6.666,0,0,28.503,15015936
10:41:30.0,6.282,0,0,28.463,15015936
10:41:31.0,7.812,0,0,28.426,15015936
10:41:32.0,10.362,0,0,28.391,15015936
10:41:33.0,11.224,0,4,28.351,15015936
10:41:34.0,12.307,0,0,28.344,15015936
10:41:35.0,13.265,0,0,28.28,15015936
10:41:36.0,16.336,0,0,28.254,15015936
10:41:37.0,17.258,0,0,28.229,15015936
10:41:38.0,18.09,0,16,28.197,15015936
10:41:39.0,19,0,0,28.158,15015936
10:41:40.0,20.603,0,0,28.121,15015936
10:41:41.0,21.717,0,0,28.089,15015936
10:41:42.0,23.115,0,0,28.059,15015936
10:41:43.0,22.388,0,2,28.015,15015936
10:41:44.0,26.086,0,0,27.979,15015936
10:41:45.0,25.373,0,0,27.997,15015936
10:41:46.0,30.243,0,0,27.971,15015936
10:41:47.0,27.884,0,0,27.943,15015936
10:41:48.0,20.618,0,2,27.919,15015936
10:41:49.0,25.853,0,0,27.878,15015936
10:41:50.0,27.053,0,0,27.839,15015936
10:41:51.0,29.556,0,0,27.795,15015936
10:41:52.0,31.904,0,0,27.755,15015936
10:41:53.0,26.47,0,2,27.716,15015936
10:41:54.0,34.285,0,0,27.67,15015936
10:41:55.0,35.981,0,0,27.643,15015936
10:41:56.0,26.368,0,0,27.604,15015936
10:41:57.0,26.237,0,0,27.565,15015936
10:41:58.0,25.5,0,2,27.53,15015936
10:41:59.0,22.222,0,0,27.487,15015936
10:42:00.0,27.777,0,0,27.457,15015936
10:42:01.0,32.338,0,0,27.414,15015936
10:42:02.0,27.918,0,0,27.37,15015936
10:42:03.0,28.643,0,3,27.332,15015936
10:42:04.0,23.979,0,0,27.294,15015936
10:42:05.0,24.12,0,0,27.299,15015936
10:42:06.0,26.666,0,0,27.31,15015936
10:42:07.0,23.076,0,0,27.383,15015936
10:42:08.0,31.527,0,2,27.508,15015936
10:42:09.0,31.282,0,18,27.798,15015936
10:42:10.0,27.04,0,0,27.793,15015936
10:42:11.0,29.441,0,0,27.814,15015936
10:42:12.0,30.102,0,0,27.822,15015936
10:42:13.0,24.867,0,2,27.819,15015936
10:42:14.0,31,0,3,27.857,15015936
10:42:15.0,27.513,0,0,27.931,15015936
10:42:16.0,27.04,0,0,28.079,15015936
10:42:17.0,31.84,0,0,28.373,15015936
10:42:18.0,31.606,0,2,28.904,15015936
10:42:19.0,29.23,0,0,28.906,15015936
10:42:20.0,25.824,0,0,28.866,15015936
10:42:21.0,25.888,0,0,28.83,15015936
10:42:22.0,22.564,0,0,28.83,15015936
10:42:23.0,22.164,0,2,28.824,15015936
10:42:24.0,15.873,0,0,28.818,15015936
10:42:25.0,14.361,0,0,28.843,15015936
10:42:26.0,24,0,0,28.915,15015936
10:42:27.0,20.312,0,0,28.921,15015936
10:42:28.0,17.948,0,2,28.915,15015936
10:42:29.0,22.959,0,0,28.931,15015936
10:42:30.0,20.634,0,0,28.932,15015936
10:42:31.0,17.01,0,0,28.955,15015936
10:42:32.0,22.959,0,0,28.964,15015936
10:42:33.0,23.88,0,2,28.952,15015936
10:42:34.0,22.058,0,1,28.969,15015936
10:42:35.0,24.257,0,0,28.96,15015936
10:42:36.0,22.388,0,0,28.955,15015936
10:42:37.0,20.487,0,0,28.958,15015936
10:42:38.0,23.786,0,2,28.974,15015936
10:42:39.0,22.051,0,7,28.973,15015936
10:42:40.0,22.596,0,7,28.954,15015936
10:42:41.0,18.781,0,0,28.966,15015936
10:42:42.0,19.306,0,0,28.972,15015936
10:42:43.0,15.686,0,2,28.974,15015936
10:42:44.0,16.5,0,0,28.976,15015936
10:42:45.0,15.463,0,0,28.986,15015936
10:42:46.0,17.326,0,0,28.976,15015936
10:42:47.0,15.577,0,0,28.989,15015936
10:42:48.0,19.523,0,2,28.996,15015936
10:42:49.0,13.5,0,4,28.983,15015936
10:42:50.0,18.957,0,0,29.007,15015936
10:42:51.0,16.504,0,0,28.996,15015936
10:42:52.0,13.333,0,0,29.006,15015936
10:42:53.0,20.093,0,2,28.998,15015936
10:42:54.0,13.17,0,0,29.02,15015936
10:42:55.0,13.397,0,0,29.013,15015936
10:42:56.0,12.98,0,0,29.029,15015936
10:42:57.0,15.048,0,0,29.025,15015936
10:42:58.0,12.918,0,2,29.006,15015936
10:42:59.0,8.542,0,0,29.015,15015936
10:43:00.0,14.077,0,0,29.007,15015936
10:43:01.0,12.918,0,0,29.036,15015936
10:43:02.0,11.057,0,0,29.013,15015936
10:43:03.0,15.533,0,2,29.044,15015936
10:43:04.0,14.705,0,0,29.034,15015936
10:43:05.0,10.628,0,2,29.007,15015936
10:43:06.0,11.33,0,0,29.024,15015936
10:43:07.0,14.423,0,0,29.033,15015936
10:43:08.0,10.576,0,2,29.025,15015936
10:43:09.0,14.285,0,0,29.027,15015936
10:43:10.0,10.784,0,6,29.027,15015936
10:43:11.0,9.047,0,0,29.007,15015936
10:43:12.0,9.268,0,0,29.033,15015936
10:43:13.0,17.431,0,2,29.036,15015936
10:43:14.0,15.196,0,0,29.085,15015936
10:43:15.0,21.8,0,0,29.081,15015936
10:43:16.0,29.577,0,0,29.12,15015936
10:43:17.0,18.226,0,0,29.082,15015936
10:43:18.0,22.274,0,2,29.097,15015936
10:43:19.0,19.512,0,0,29.086,15015936
10:43:20.0,16.99,0,0,29.072,15015936
10:43:21.0,14.563,0,0,29.074,15015936
10:43:22.0,19.266,0,0,29.068,15015936
10:43:23.0,17.535,0,2,29.081,15015936
10:43:24.0,11.111,0,0,29.039,15015936
10:43:25.0,12.962,0,0,29.015,15015936
10:43:26.0,10,0,0,29.034,15015936
10:43:27.0,5.882,0,0,29.043,15015936
10:43:28.0,16.279,0,2,29.053,15015936
10:43:29.0,16.666,0,0,29.087,15015936
10:43:30.0,10.837,0,0,29.067,15015936
10:43:31.0,22.374,0,0,29.071,15015936
10:43:32.0,23.744,0,0,29.094,15015936
10:43:33.0,18.483,0,2,29.079,15015936
10:43:34.0,12.264,0,0,29.065,15015936
10:43:35.0,17.972,0,0,29.089,15015936
10:43:36.0,21.395,0,6,29.086,15015936
10:43:37.0,10.849,0,0,29.043,15015936
10:43:38.0,8.333,0,2,29.06,15015936
10:43:39.0,15.023,0,0,29.042,15015936
10:43:40.0,11.981,0,0,29.036,15015936
10:43:41.0,6.862,0,6,29.044,15015936
10:43:42.0,12.206,0,0,29.046,15015936
10:43:43.0,10.144,0,2,29.062,15015936
10:43:44.0,13.17,0,0,29.075,15015936
10:43:45.0,16.431,0,0,29.079,15015936
10:43:46.0,15.492,0,0,29.106,15015936
10:43:47.0,14.761,0,0,29.062,15015936
10:43:48.0,17.061,0,2,29.092,15015936
