Elapsed time,virtual.lab.inf.uva.es CPU combined,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap used,,,,
15:02:14.0,4.728,0,0,27.587,15015936,,,,
15:02:15.0,1.02,0,0,27.553,15015936,,,,
15:02:16.0,1.03,0,0,27.513,15015936,,,,
15:02:17.0,2.04,0,0,27.477,15015936,,,,
15:02:18.0,1.047,0,2,27.444,15015936,,,,
15:02:19.0,2.083,0,0,27.393,15015936,,,,
15:02:20.0,9.693,0,13,27.361,15015936,,,,
15:02:21.0,4.712,0,0,27.323,15015936,,,,
15:02:22.0,4.102,0,0,27.287,15015936,,,,
15:02:23.0,4.687,0,2,27.245,15015936,,,,
15:02:24.0,6.153,0,0,27.198,15015936,,,,
15:02:25.0,6.666,0,0,27.164,15015936,,,,
15:02:26.0,8.04,0,0,27.129,15015936,,,,
15:02:27.0,8.9,0,0,27.086,15015936,,,,
15:02:28.0,11.398,0,2,27.053,15015936,,,,
15:02:29.0,7.853,0,0,27.029,15015936,,,,
15:02:30.0,8.947,0,0,27.002,15015936,,,,
15:02:31.0,9.844,0,0,26.964,15015936,,,,
15:02:32.0,10.416,0,0,26.927,15015936,,,,
15:02:33.0,10.309,0,2,26.874,15015936,,,,
15:02:34.0,13.44,0,0,26.832,15015936,,,,
15:02:35.0,10.937,0,4,26.79,15015936,,,,
15:02:36.0,8.9,0,0,26.755,15015936,,,,
15:02:37.0,12.82,0,0,26.722,15015936,,,,
15:02:38.0,12.371,0,2,26.685,15015936,,,,
15:02:39.0,13.541,0,0,26.647,15015936,,,,
15:02:40.0,19.289,0,0,26.61,15015936,,,,
15:02:41.0,17.187,0,0,26.582,15015936,,,,
15:02:42.0,19.576,0,0,26.541,15015936,,,,
15:02:43.0,17.708,0,2,26.511,15015936,,,,
15:02:44.0,21.693,0,0,26.484,15015936,,,,
15:02:45.0,15.591,0,0,26.435,15015936,,,,
15:02:46.0,21.428,0,0,26.408,15015936,,,,
15:02:47.0,19.895,0,0,26.373,15015936,,,,
15:02:48.0,17.837,0,2,26.335,15015936,,,,
15:02:49.0,18.085,0,0,26.282,15015936,,,,
15:02:50.0,19.696,0,0,26.257,15015936,,,,
15:02:51.0,24.226,0,14,26.202,15015936,,,,
15:02:52.0,20.207,0,0,26.179,15015936,,,,
15:02:53.0,21.875,0,2,26.142,15015936,,,,
15:02:54.0,22.395,0,0,26.107,15015936,,,,
15:02:55.0,23.469,0,0,26.103,15015936,,,,
15:02:56.0,25.757,0,0,26.101,15015936,,,,
15:02:57.0,18.848,0,0,26.123,15015936,,,,
15:02:58.0,25,0,2,26.192,15015936,,,,
15:02:59.0,26.804,0,0,26.302,15015936,,,,
15:03:00.0,24.352,0,0,26.568,15015936,,,,
15:03:01.0,22.872,0,0,26.576,15015936,,,,
15:03:02.0,23.157,0,0,26.622,15015936,,,,
15:03:03.0,26.13,0,2,26.696,15015936,,,,
15:03:04.0,19.9,0,0,26.853,15015936,,,,
15:03:05.0,25.247,0,0,26.852,15015936,,,,
15:03:06.0,26.395,0,0,26.889,15015936,,,,
15:03:07.0,26.153,0,0,26.97,15015936,,,,
15:03:08.0,25.51,0,2,27.119,15015936,,,,
15:03:09.0,25.51,0,0,27.414,15015936,,,,
15:03:10.0,23.076,0,0,27.428,15015936,,,,
15:03:11.0,25.247,0,4,27.429,15015936,,,,
15:03:12.0,25.5,0,0,27.423,15015936,,,,
15:03:13.0,21.5,0,2,27.463,15015936,,,,
15:03:14.0,29.126,0,0,27.546,15015936,,,,
15:03:15.0,24.365,0,0,27.692,15015936,,,,
15:03:16.0,26.829,0,0,27.695,15015936,,,,
15:03:17.0,24.378,0,0,27.693,15015936,,,,
15:03:18.0,23.557,0,2,27.706,15015936,,,,
15:03:19.0,20.398,0,0,27.709,15015936,,,,
15:03:20.0,25.373,0,0,27.706,15015936,,,,
15:03:21.0,24.637,0,0,27.713,15015936,,,,
15:03:22.0,24.752,0,18,27.717,15015936,,,,
15:03:23.0,22.5,0,2,27.715,15015936,,,,
15:03:24.0,24.401,0,0,27.721,15015936,,,,
15:03:25.0,20.398,0,0,27.724,15015936,,,,
15:03:26.0,22.439,0,0,27.729,15015936,,,,
15:03:27.0,19.689,0,0,27.725,15015936,,,,
15:03:28.0,18,0,2,27.734,15015936,,,,
15:03:29.0,22.222,0,0,27.741,15015936,,,,
15:03:30.0,20.895,0,0,27.744,15015936,,,,
15:03:31.0,15.979,0,0,27.76,15015936,,,,
15:03:32.0,19.211,0,0,27.758,15015936,,,,
15:03:33.0,21.674,0,2,27.757,15015936,,,,
15:03:34.0,13.265,0,0,27.748,15015936,,,,
15:03:35.0,18.367,0,0,27.761,15015936,,,,
15:03:36.0,16.243,0,0,27.768,15015936,,,,
15:03:37.0,14.925,0,0,27.758,15015936,,,,
15:03:38.0,18.877,0,2,27.785,15015936,,,,
15:03:39.0,16.915,0,0,27.76,15015936,,,,
15:03:40.0,13.065,0,0,27.769,15015936,,,,
15:03:41.0,16.666,0,0,27.782,15015936,,,,
15:03:42.0,19.704,0,0,27.785,15015936,,,,
15:03:43.0,13.567,0,2,27.77,15015936,,,,
15:03:44.0,13.5,0,0,27.795,15015936,,,,
15:03:45.0,13.793,0,0,27.783,15015936,,,,
15:03:46.0,16.176,0,0,27.788,15015936,,,,
15:03:47.0,13.793,0,0,27.802,15015936,,,,
15:03:48.0,14.285,0,2,27.785,15015936,,,,
15:03:49.0,13.065,0,0,27.786,15015936,,,,
15:03:50.0,11.442,0,0,27.779,15015936,,,,
15:03:51.0,13.3,0,0,27.798,15015936,,,,
15:03:52.0,16.243,0,8,27.8,15015936,,,,
15:03:53.0,9.452,0,6,27.784,15015936,,,,
15:03:54.0,12.437,0,0,27.803,15015936,,,,
15:03:55.0,9.045,0,0,27.796,15015936,,,,
15:03:56.0,8.04,0,0,27.774,15015936,,,,
15:03:57.0,8.717,0,4,27.785,15015936,,,,
15:03:58.0,8.717,0,2,27.795,15015936,,,,
15:03:59.0,8,0,0,27.775,15015936,,,,
15:04:00.0,13.3,0,0,27.799,15015936,,,,
15:04:01.0,13.235,0,0,27.798,15015936,,,,
15:04:02.0,9.452,0,0,27.792,15015936,,,,
15:04:03.0,6.93,0,2,27.8,15015936,,,,
15:04:04.0,14.925,0,0,27.818,15015936,,,,
15:04:05.0,12.244,0,0,27.844,15015936,,,,
15:04:06.0,14.07,0,0,27.836,15015936,,,,
15:04:07.0,17.435,0,3,27.864,15015936,,,,
15:04:08.0,12.935,0,0,27.814,15015936,,,,
15:04:09.0,10.256,0,0,27.86,15015936,,,,
15:04:10.0,11.734,0,0,27.811,15015936,,,,
15:04:11.0,13,0,0,27.822,15015936,,,,
15:04:12.0,8.5,0,2,27.811,15015936,,,,
15:04:13.0,9.595,0,0,27.833,15015936,,,,
15:04:14.0,11.386,0,0,27.84,15015936,,,,
15:04:15.0,8.457,0,0,27.799,15015936,,,,
15:04:16.0,9,0,0,27.824,15015936,,,,
15:04:17.0,12.871,0,2,27.824,15015936,,,,
15:04:18.0,11.167,0,0,27.829,15015936,,,,
15:04:19.0,9.95,0,0,27.82,15015936,,,,
15:04:20.0,15.763,0,0,27.848,15015936,,,,
15:04:21.0,12.918,0,0,27.826,15015936,,,,
15:04:22.0,12.195,0,2,27.802,15015936,,,,
15:04:23.0,13.636,0,8,27.86,15015936,,,,
15:04:24.0,17.061,0,0,27.846,15015936,,,,
15:04:25.0,7.96,0,0,27.835,15015936,,,,
15:04:26.0,9.9,0,0,27.792,15015936,,,,
15:04:27.0,7.92,0,2,27.805,15015936,,,,
15:04:28.0,7,0,0,27.802,15015936,,,,
15:04:29.0,12.682,0,0,27.803,15015936,,,,
15:04:30.0,18.592,0,0,27.839,15015936,,,,
15:04:31.0,13.333,0,0,27.832,15015936,,,,
15:04:32.0,22.33,0,2,27.873,15015936,,,,
15:04:33.0,17.733,0,0,27.848,15015936,,,,
15:04:34.0,15.533,0,0,27.844,15015936,,,,
15:04:35.0,13.3,0,0,27.845,15015936,,,,
15:04:36.0,20.689,0,0,27.846,15015936,,,,
15:04:37.0,13.658,0,2,27.832,15015936,,,,
15:04:38.0,10.628,0,5,27.84,15015936,,,,
15:04:39.0,11.274,0,0,27.812,15015936,,,,
15:04:40.0,10.5,0,0,27.822,15015936,,,,
15:04:41.0,5.527,0,0,27.784,15015936,,,,
15:04:42.0,8.78,0,2,27.78,15015936,,,,
15:04:43.0,15.422,0,0,27.842,15015936,,,,
15:04:44.0,11.111,0,0,27.852,15015936,,,,
15:04:45.0,17.171,0,0,27.86,15015936,,,,
15:04:46.0,24.39,0,0,27.862,15015936,,,,
15:04:47.0,12.195,0,2,27.823,15015936,,,,
15:04:48.0,15.346,0,0,27.838,15015936,,,,
15:04:49.0,18.226,0,0,27.847,15015936,,,,
15:04:50.0,16.746,0,0,27.833,15015936,,,,
15:04:51.0,12.5,0,0,27.849,15015936,,,,
15:04:52.0,12.315,0,2,27.842,15015936,,,,
15:04:53.0,13.615,0,0,27.834,15015936,,,,
15:04:54.0,10.101,0,9,27.811,15015936,,,,
15:04:55.0,15.533,0,0,27.831,15015936,,,,
15:04:56.0,19.801,0,0,27.877,15015936,,,,
15:04:57.0,9.09,0,2,27.811,15015936,,,,
15:04:58.0,21.393,0,0,27.862,15015936,,,,
15:04:59.0,22.549,0,0,27.845,15015936,,,,
15:05:00.0,14.07,0,0,27.859,15015936,,,,
15:05:01.0,13.3,0,0,27.818,15015936,,,,
15:05:02.0,18.5,0,2,27.859,15015936,,,,
15:05:03.0,11.442,0,0,27.841,15015936,,,,
15:05:04.0,8.91,0,0,27.828,15015936,,,,
15:05:05.0,7.253,0,0,27.819,15015936,,,,
15:05:06.0,10.731,0,0,27.836,15015936,,,,
15:05:07.0,8.91,0,2,27.791,15015936,,,,
15:05:08.0,7.462,0,0,27.798,15015936,,,,
15:05:09.0,8.542,0,0,27.813,15015936,,,,
15:05:10.0,9.95,0,0,27.821,15015936,,,,
15:05:11.0,21.5,0,0,27.823,15015936,,,,
15:05:12.0,17.5,0,2,27.847,15015936,,,,
15:05:13.0,12.807,0,0,27.83,15015936,,,,
15:05:14.0,16.08,0,4,27.857,15015936,,,,
15:05:15.0,21.359,0,0,27.841,15015936,,,,
15:05:16.0,12.56,0,0,27.83,15015936,,,,
15:05:17.0,17.391,0,2,27.865,15015936,,,,
15:05:18.0,19.158,0,0,27.855,15015936,,,,
15:05:19.0,15.533,0,0,27.865,15015936,,,,
15:05:20.0,6.598,0,0,27.827,15015936,,,,
15:05:21.0,7.92,0,0,27.805,15015936,,,,
15:05:22.0,14.778,0,2,27.858,15015936,,,,
15:05:23.0,13.793,0,0,27.751,15015936,,,,
15:05:24.0,20.487,0,8,27.772,15015936,,,,
15:05:25.0,19.306,0,0,27.746,15015936,,,,
15:05:26.0,10.552,0,0,27.731,15015936,,,,
15:05:27.0,16.666,0,2,27.754,15015936,,,,
15:05:28.0,16.666,0,0,27.724,15015936,,,,
15:05:29.0,14.778,0,0,27.728,15015936,,,,
15:05:30.0,12.315,0,0,27.727,15015936,,,,
15:05:31.0,18.139,0,0,27.728,15015936,,,,
15:05:32.0,11.538,0,0,27.731,15015936,,,,
15:05:33.0,9.756,0,2,27.709,15015936,,,,
15:05:34.0,9.547,0,0,27.712,15015936,,,,
15:05:35.0,23.72,0,0,27.751,15015936,,,,
15:05:36.0,12.5,0,0,27.711,15015936,,,,
15:05:37.0,22.11,0,0,27.78,15015936,,,,
15:05:38.0,24.761,0,2,27.753,15015936,,,,
15:05:39.0,11.111,0,0,27.712,15015936,,,,
15:05:40.0,17.307,0,0,27.732,15015936,,,,
15:05:41.0,17.91,0,0,27.742,15015936,,,,
15:05:42.0,13.106,0,0,27.751,15015936,,,,
15:05:43.0,14.903,0,2,27.727,15015936,,,,
15:05:44.0,14.077,0,0,27.736,15015936,,,,
15:05:45.0,9.268,0,0,27.725,15015936,,,,
15:05:46.0,10.731,0,0,27.708,15015936,,,,
15:05:47.0,7.96,0,0,27.697,15015936,,,,
15:05:48.0,8.374,0,2,27.687,15015936,,,,
15:05:49.0,11.538,0,0,27.694,15015936,,,,
15:05:50.0,20.873,0,4,27.739,15015936,,,,
15:05:51.0,15,0,0,27.685,15015936,,,,
15:05:52.0,12.44,0,0,27.699,15015936,,,,
15:05:53.0,20.689,0,2,27.707,15015936,,,,
15:05:54.0,17.156,0,0,27.705,15015936,,,,
15:05:55.0,17.587,0,10,27.691,15015936,,,,
15:05:56.0,18.483,0,0,27.714,15015936,,,,
15:05:57.0,14.215,0,0,27.694,15015936,,,,
15:05:58.0,15.492,0,2,27.683,15015936,,,,
15:05:59.0,11.386,0,0,27.656,15015936,,,,
15:06:00.0,11.428,0,0,27.681,15015936,,,,
15:06:01.0,9.9,0,0,27.666,15015936,,,,
15:06:02.0,13.658,0,0,27.682,15015936,,,,
15:06:03.0,15.075,0,2,27.685,15015936,,,,
15:06:04.0,21.052,0,0,27.701,15015936,,,,
15:06:05.0,11.594,0,0,27.659,15015936,,,,
15:06:06.0,22.222,0,0,27.725,15015936,,,,
