Elapsed time,virtual.lab.inf.uva.es CPU combined,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap used,,,,,
10:31:46.0,0.803,0,0,25.034,15015936,,,,,
10:31:47.0,1.538,0,2,24.996,15015936,,,,,
10:31:48.0,1.546,0,0,24.952,15015936,,,,,
10:31:49.0,3.108,0,0,24.923,15015936,,,,,
10:31:50.0,4.081,0,0,24.87,15015936,,,,,
10:31:51.0,3.225,0,0,24.84,15015936,,,,,
10:31:52.0,4.301,0,0,24.802,15015936,,,,,
10:31:53.0,8.376,0,3,24.754,15015936,,,,,
10:31:54.0,7.446,0,0,24.717,15015936,,,,,
10:31:55.0,11.979,0,0,24.678,15015936,,,,,
10:31:56.0,9.625,0,0,24.641,15015936,,,,,
10:31:57.0,9.375,0,0,24.602,15015936,,,,,
10:31:58.0,10.052,0,6,24.561,15015936,,,,,
10:31:59.0,10,0,0,24.521,15015936,,,,,
10:32:00.0,19.289,0,0,24.492,15015936,,,,,
10:32:01.0,21.5,0,0,24.435,15015936,,,,,
10:32:02.0,21.428,0,0,24.429,15015936,,,,,
10:32:03.0,17.46,0,2,24.429,15015936,,,,,
10:32:04.0,22.842,0,0,24.429,15015936,,,,,
10:32:05.0,20.212,0,0,24.447,15015936,,,,,
10:32:06.0,18.181,0,0,24.499,15015936,,,,,
10:32:07.0,22.335,0,0,24.633,15015936,,,,,
10:32:08.0,20.408,0,2,24.922,15015936,,,,,
10:32:09.0,22,0,0,24.924,15015936,,,,,
10:32:10.0,20.725,0,0,24.929,15015936,,,,,
10:32:11.0,19.5,0,0,24.959,15015936,,,,,
10:32:12.0,19.897,0,0,25.034,15015936,,,,,
10:32:13.0,26.13,0,2,25.18,15015936,,,,,
10:32:14.0,26.633,0,1,25.482,15015936,,,,,
10:32:15.0,22.842,0,0,25.491,15015936,,,,,
10:32:16.0,24.12,0,0,25.49,15015936,,,,,
10:32:17.0,21.134,0,0,25.533,15015936,,,,,
10:32:18.0,28.019,0,2,25.534,15015936,,,,,
10:32:19.0,28.64,0,0,25.533,15015936,,,,,
10:32:20.0,25.615,0,0,25.536,15015936,,,,,
10:32:21.0,28.708,0,0,25.535,15015936,,,,,
10:32:22.0,20.5,0,2,25.533,15015936,,,,,
10:32:23.0,22.885,0,0,25.535,15015936,,,,,
10:32:24.0,26.13,0,15,25.531,15015936,,,,,
10:32:25.0,25.123,0,0,25.527,15015936,,,,,
10:32:26.0,21.827,0,0,25.536,15015936,,,,,
10:32:27.0,26.13,0,2,25.534,15015936,,,,,
10:32:28.0,29.126,0,0,25.531,15015936,,,,,
10:32:29.0,32.195,0,0,25.53,15015936,,,,,
10:32:30.0,21.89,0,0,25.533,15015936,,,,,
10:32:31.0,26.54,0,0,25.539,15015936,,,,,
10:32:32.0,30.097,0,2,25.527,15015936,,,,,
10:32:33.0,32.407,0,0,25.531,15015936,,,,,
10:32:34.0,25.757,0,0,25.544,15015936,,,,,
10:32:35.0,29.756,0,0,25.545,15015936,,,,,
10:32:36.0,25.603,0,0,25.545,15015936,,,,,
10:32:37.0,22.167,0,2,25.532,15015936,,,,,
10:32:38.0,19.191,0,0,25.537,15015936,,,,,
10:32:39.0,24.519,0,0,25.539,15015936,,,,,
10:32:40.0,28.24,0,0,25.55,15015936,,,,,
10:32:41.0,24.137,0,0,25.543,15015936,,,,,
10:32:42.0,30.092,0,2,25.547,15015936,,,,,
10:32:43.0,28.703,0,0,25.544,15015936,,,,,
10:32:44.0,27.053,0,6,25.553,15015936,,,,,
10:32:45.0,26.767,0,0,25.554,15015936,,,,,
10:32:46.0,26.341,0,0,25.551,15015936,,,,,
10:32:47.0,23.88,0,1,25.544,15015936,,,,,
10:32:48.0,35.238,0,1,25.747,15015936,,,,,
10:32:49.0,28.921,0,0,25.736,15015936,,,,,
10:32:50.0,25,0,0,25.625,15015936,,,,,
10:32:51.0,26.066,0,0,25.612,15015936,,,,,
10:32:52.0,29.047,0,2,25.619,15015936,,,,,
10:32:53.0,25,0,0,25.612,15015936,,,,,
10:32:54.0,25.242,0,0,25.597,15015936,,,,,
10:32:55.0,30.143,0,15,25.597,15015936,,,,,
10:32:56.0,29.665,0,0,25.609,15015936,,,,,
10:32:57.0,25.365,0,1,25.598,15015936,,,,,
10:32:58.0,28.358,0,1,25.608,15015936,,,,,
10:32:59.0,25.365,0,0,25.605,15015936,,,,,
10:33:00.0,28.921,0,0,25.613,15015936,,,,,
10:33:01.0,27.777,0,0,25.617,15015936,,,,,
10:33:02.0,28.985,0,2,25.61,15015936,,,,,
10:33:03.0,31.067,0,0,25.617,15015936,,,,,
10:33:04.0,20.744,0,0,25.614,15015936,,,,,
10:33:05.0,19.251,0,0,25.619,15015936,,,,,
10:33:06.0,20.212,0,0,25.622,15015936,,,,,
10:33:07.0,21.693,0,0,25.619,15015936,,,,,
10:33:08.0,16.216,0,2,25.614,15015936,,,,,
10:33:09.0,19.072,0,0,25.617,15015936,,,,,
10:33:10.0,18.378,0,0,25.618,15015936,,,,,
10:33:11.0,16.402,0,0,25.619,15015936,,,,,
10:33:12.0,22.162,0,1,25.626,15015936,,,,,
10:33:13.0,23.979,0,1,25.609,15015936,,,,,
10:33:14.0,22.631,0,0,25.611,15015936,,,,,
10:33:15.0,20.833,0,1,25.611,15015936,,,,,
10:33:16.0,20.312,0,0,25.596,15015936,,,,,
10:33:17.0,14.673,0,0,25.585,15015936,,,,,
10:33:18.0,23.076,0,2,25.593,15015936,,,,,
10:33:19.0,27.722,0,0,25.592,15015936,,,,,
10:33:20.0,25.128,0,4,25.593,15015936,,,,,
10:33:21.0,23.115,0,0,25.601,15015936,,,,,
10:33:22.0,21.134,0,0,25.6,15015936,,,,,
10:33:23.0,20.618,0,2,25.594,15015936,,,,,
10:33:24.0,19.689,0,0,25.604,15015936,,,,,
10:33:25.0,28.846,0,3,25.595,15015936,,,,,
10:33:26.0,23.232,0,10,25.594,15015936,,,,,
10:33:27.0,26.368,0,0,25.594,15015936,,,,,
10:33:28.0,25,0,2,25.588,15015936,,,,,
10:33:29.0,25.742,0,0,25.593,15015936,,,,,
10:33:30.0,25.628,0,0,25.603,15015936,,,,,
10:33:31.0,27.135,0,0,25.598,15015936,,,,,
10:33:32.0,27.135,0,0,25.606,15015936,,,,,
10:33:33.0,22.549,0,2,25.594,15015936,,,,,
10:33:34.0,25.773,0,0,25.601,15015936,,,,,
10:33:35.0,22.842,0,0,25.627,15015936,,,,,
10:33:36.0,22.772,0,0,25.625,15015936,,,,,
10:33:37.0,27.722,0,0,25.627,15015936,,,,,
10:33:38.0,28.292,0,2,25.625,15015936,,,,,
10:33:39.0,22.279,0,0,25.62,15015936,,,,,
10:33:40.0,17.171,0,0,25.617,15015936,,,,,
10:33:41.0,29.665,0,0,25.621,15015936,,,,,
10:33:42.0,26.368,0,0,25.625,15015936,,,,,
10:33:43.0,27.179,0,2,25.619,15015936,,,,,
10:33:44.0,27,0,0,25.631,15015936,,,,,
10:33:45.0,30.15,0,0,25.622,15015936,,,,,
10:33:46.0,31,0,1,25.629,15015936,,,,,
10:33:47.0,23.762,0,2,25.633,15015936,,,,,
10:33:48.0,25.5,0,0,25.623,15015936,,,,,
10:33:49.0,26.5,0,0,25.631,15015936,,,,,
10:33:50.0,24.623,0,0,25.627,15015936,,,,,
10:33:51.0,23.383,0,0,25.634,15015936,,,,,
10:33:52.0,26.5,0,0,25.631,15015936,,,,,
10:33:53.0,24.607,0,2,25.644,15015936,,,,,
10:33:54.0,25.125,0,0,25.634,15015936,,,,,
10:33:55.0,25.615,0,0,25.641,15015936,,,,,
10:33:56.0,30.927,0,8,25.638,15015936,,,,,
10:33:57.0,19.095,0,5,25.629,15015936,,,,,
10:33:58.0,18.811,0,2,25.642,15015936,,,,,
10:33:59.0,20.918,0,0,25.622,15015936,,,,,
10:34:00.0,19.696,0,0,25.637,15015936,,,,,
10:34:10.0,12.871,0,0,25.441,15015936,,,,,
10:34:11.0,25.125,0,2,25.481,15015936,,,,,
10:34:12.0,27,0,0,25.528,15015936,,,,,
10:34:13.0,22.5,0,0,25.674,15015936,,,,,
10:34:14.0,15.463,0,0,25.686,15015936,,,,,
10:34:15.0,25.252,0,0,25.687,15015936,,,,,
10:34:16.0,22.564,0,2,25.678,15015936,,,,,
10:34:17.0,32.673,0,0,25.683,15015936,,,,,
10:34:18.0,30.582,0,0,25.674,15015936,,,,,
10:34:19.0,31.4,0,0,25.678,15015936,,,,,
10:34:20.0,27.135,0,2,25.686,15015936,,,,,
10:34:21.0,32.178,0,2,25.684,15015936,,,,,
10:34:22.0,24,0,0,25.669,15015936,,,,,
10:34:23.0,23,0,0,25.666,15015936,,,,,
10:34:24.0,18.5,0,0,25.632,15015936,,,,,
10:34:25.0,21.134,0,0,25.652,15015936,,,,,
10:34:26.0,27,0,2,25.638,15015936,,,,,
10:34:27.0,20.304,0,0,25.658,15015936,,,,,
10:34:28.0,25.252,0,0,25.647,15015936,,,,,
10:34:29.0,28,0,0,25.649,15015936,,,,,
10:34:30.0,33.653,0,12,25.639,15015936,,,,,
10:34:31.0,33.492,0,2,25.658,15015936,,,,,
10:34:32.0,29.611,0,0,25.643,15015936,,,,,
10:34:33.0,32.16,0,0,25.661,15015936,,,,,
10:34:34.0,31.553,0,0,25.658,15015936,,,,,
10:34:35.0,28.061,0,0,25.659,15015936,,,,,
10:34:36.0,29.468,0,2,25.673,15015936,,,,,
10:34:37.0,31.707,0,0,25.674,15015936,,,,,
10:34:38.0,25,0,0,25.672,15015936,,,,,
10:34:39.0,30.769,0,0,25.675,15015936,,,,,
10:34:40.0,28.431,0,4,25.671,15015936,,,,,
10:34:41.0,25.888,0,2,25.67,15015936,,,,,
10:34:42.0,30.392,0,0,25.67,15015936,,,,,
10:34:43.0,28.358,0,0,25.667,15015936,,,,,
10:34:44.0,25.742,0,0,25.663,15015936,,,,,
10:34:45.0,28.643,0,0,25.672,15015936,,,,,
10:34:46.0,20.603,0,2,25.671,15015936,,,,,
10:34:47.0,27.093,0,0,25.678,15015936,,,,,
10:34:48.0,28.217,0,0,25.669,15015936,,,,,
10:34:49.0,28.502,0,0,25.674,15015936,,,,,
10:34:50.0,27.804,0,2,25.672,15015936,,,,,
10:34:51.0,26.395,0,2,25.675,15015936,,,,,
10:34:52.0,26.47,0,0,25.671,15015936,,,,,
10:34:53.0,31.067,0,0,25.669,15015936,,,,,
10:34:54.0,25.5,0,0,25.673,15015936,,,,,
10:34:55.0,29.441,0,0,25.677,15015936,,,,,
10:34:56.0,25.853,0,2,25.663,15015936,,,,,
10:34:57.0,24.878,0,0,25.667,15015936,,,,,
10:34:58.0,26.6,0,0,25.676,15015936,,,,,
10:34:59.0,24.39,0,0,25.675,15015936,,,,,
10:35:00.0,25,0,0,25.673,15015936,,,,,
10:35:01.0,41.232,0,18,25.676,15015936,,,,,
10:35:02.0,26.213,0,0,25.667,15015936,,,,,
10:35:03.0,25.728,0,0,25.683,15015936,,,,,
10:35:04.0,29.665,0,0,25.688,15015936,,,,,
10:35:05.0,27.184,0,0,25.687,15015936,,,,,
10:35:06.0,28.712,0,2,25.669,15015936,,,,,
10:35:07.0,28.301,0,0,25.692,15015936,,,,,
10:35:08.0,27.45,0,0,25.683,15015936,,,,,
10:35:09.0,27.586,0,0,25.689,15015936,,,,,
10:35:10.0,25.247,0,0,25.688,15015936,,,,,
10:35:11.0,29.468,0,2,25.684,15015936,,,,,
10:35:12.0,26.6,0,0,25.685,15015936,,,,,
10:35:13.0,28.431,0,0,25.68,15015936,,,,,
10:35:14.0,29.523,0,0,25.691,15015936,,,,,
