Elapsed time,virtual.lab.inf.uva.es CPU combined,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap used
20:52:00.0,0.877,0,0,28.254,14491648
20:52:01.0,1.015,0,0,28.216,14491648
20:52:02.0,1.554,0,9,28.175,14491648
20:52:03.0,2.061,0,0,28.135,14491648
20:52:04.0,5.181,0,0,28.094,14491648
20:52:05.0,5.82,0,0,28.045,14491648
20:52:06.0,9.137,0,0,28.024,14491648
20:52:07.0,10.88,0,2,27.985,14491648
20:52:08.0,7.575,0,0,27.951,14491648
20:52:09.0,12.82,0,0,27.909,14491648
20:52:10.0,12.82,0,0,27.873,14491648
20:52:11.0,13.368,0,0,27.82,14491648
20:52:12.0,12.371,0,2,27.782,14491648
20:52:13.0,13.93,0,0,27.782,14491648
20:52:14.0,19.117,0,0,27.77,14491648
20:52:15.0,20.512,0,0,27.794,14491648
20:52:16.0,21,0,0,27.842,14491648
20:52:17.0,20.772,0,2,27.968,14491648
20:52:18.0,21.463,0,0,28.229,14491648
20:52:19.0,25,0,0,28.271,14491648
20:52:20.0,30,0,0,28.273,14491648
20:52:21.0,26.57,0,0,28.272,14491648
20:52:22.0,19.289,0,3,28.295,14491648
20:52:23.0,23.076,0,0,28.378,14491648
20:52:24.0,28.5,0,0,28.523,14491648
20:52:25.0,32.057,0,0,28.807,14491648
20:52:26.0,27.586,0,0,28.829,14491648
20:52:27.0,32.843,0,8,28.829,14491648
20:52:28.0,23.076,0,4,28.873,14491648
20:52:29.0,32.535,0,0,28.933,14491648
20:52:30.0,30.731,0,0,29.09,14491648
20:52:31.0,30.882,0,0,29.102,14491648
20:52:32.0,22.959,0,7,29.131,14491648
20:52:33.0,27.918,0,0,29.131,14491648
20:52:34.0,33.49,0,0,29.164,14491648
20:52:35.0,30.049,0,0,29.178,14491648
20:52:36.0,30.917,0,0,29.172,14491648
20:52:37.0,23.188,0,2,29.177,14491648
20:52:38.0,30.769,0,0,29.187,14491648
20:52:39.0,33.809,0,0,29.177,14491648
20:52:40.0,30.188,0,0,29.187,14491648
20:52:41.0,29.353,0,0,29.181,14491648
20:52:42.0,21.078,0,2,29.176,14491648
20:52:43.0,27.272,0,0,29.177,14491648
20:52:44.0,28,0,0,29.184,14491648
20:52:45.0,29.145,0,0,29.179,14491648
20:52:46.0,24.257,0,0,29.18,14491648
20:52:47.0,29.047,0,2,29.188,14491648
20:52:48.0,29.207,0,0,29.188,14491648
20:52:49.0,30.143,0,0,29.189,14491648
20:52:50.0,28.78,0,0,29.201,14491648
20:52:51.0,21.5,0,0,29.187,14491648
20:52:52.0,24.378,0,2,29.187,14491648
20:52:53.0,29.468,0,2,29.186,14491648
20:52:54.0,24.12,0,0,29.185,14491648
20:52:55.0,30.516,0,0,29.192,14491648
20:52:56.0,27.053,0,0,29.19,14491648
20:52:57.0,25.5,0,2,29.191,14491648
20:52:58.0,29.047,0,14,29.202,14491648
20:52:59.0,28.365,0,0,29.195,14491648
20:53:00.0,24.257,0,0,29.189,14491648
20:53:01.0,29.126,0,0,29.196,14491648
20:53:02.0,24.63,0,2,29.19,14491648
20:53:03.0,23.88,0,0,29.194,14491648
20:53:04.0,29.326,0,0,29.194,14491648
20:53:05.0,29.268,0,0,29.189,14491648
20:53:06.0,28.921,0,0,29.188,14491648
20:53:07.0,24.63,0,2,29.191,14491648
20:53:08.0,22.5,0,0,29.189,14491648
20:53:09.0,35.071,0,0,29.185,14491648
20:53:10.0,27.804,0,0,29.178,14491648
20:53:11.0,30.516,0,0,29.177,14491648
20:53:12.0,29.756,0,2,29.166,14491648
20:53:13.0,30.769,0,0,29.173,14491648
20:53:14.0,30.434,0,0,29.167,14491648
20:53:15.0,21.717,0,0,29.165,14491648
20:53:16.0,29.353,0,0,29.152,14491648
20:53:17.0,28.865,0,2,29.158,14491648
20:53:18.0,30.769,0,0,29.154,14491648
20:53:19.0,21.212,0,0,29.157,14491648
20:53:20.0,29.064,0,0,29.154,14491648
20:53:21.0,31.553,0,0,29.157,14491648
20:53:22.0,31.707,0,2,29.16,14491648
20:53:23.0,24.875,0,0,29.152,14491648
20:53:24.0,30.198,0,2,29.189,14491648
20:53:25.0,27.777,0,0,29.183,14491648
20:53:26.0,29.807,0,0,29.184,14491648
20:53:27.0,27.586,0,2,29.187,14491648
20:53:28.0,26.57,0,0,29.191,14491648
20:53:29.0,30.256,0,21,29.187,14491648
20:53:30.0,29.411,0,0,29.186,14491648
20:53:31.0,20.304,0,0,29.178,14491648
20:53:32.0,29.326,0,2,29.178,14491648
20:53:33.0,27.777,0,0,29.181,14491648
20:53:34.0,27.86,0,0,29.184,14491648
20:53:35.0,29.411,0,0,29.173,14491648
20:53:36.0,22.772,0,0,29.176,14491648
20:53:37.0,26.732,0,2,29.187,14491648
20:53:38.0,29.081,0,0,29.187,14491648
20:53:39.0,29.207,0,0,29.184,14491648
20:53:40.0,29.268,0,0,29.186,14491648
20:53:41.0,19.9,0,0,29.195,14491648
20:53:42.0,28.078,0,2,29.181,14491648
20:53:43.0,29.648,0,0,29.182,14491648
20:53:44.0,32.547,0,0,29.197,14491648
20:53:45.0,20.398,0,0,29.197,14491648
20:53:46.0,27,0,0,29.195,14491648
20:53:47.0,27.941,0,2,29.198,14491648
20:53:48.0,26.53,0,0,29.199,14491648
20:53:49.0,29.556,0,0,29.197,14491648
20:53:50.0,25,0,0,29.2,14491648
20:53:51.0,27.5,0,0,29.196,14491648
20:53:52.0,31.034,0,2,29.198,14491648
20:53:53.0,29.611,0,0,29.191,14491648
20:53:54.0,24.39,0,2,29.196,14491648
20:53:55.0,29.756,0,0,29.202,14491648
20:53:56.0,29.648,0,0,29.196,14491648
20:53:57.0,30,0,2,29.196,14491648
20:53:58.0,24.875,0,0,29.198,14491648
20:53:59.0,30.964,0,6,29.195,14491648
20:54:00.0,28.934,0,7,29.199,14491648
20:54:01.0,27,0,0,29.192,14491648
20:54:02.0,15.979,0,2,29.202,14491648
20:54:03.0,30.731,0,0,29.196,14491648
20:54:04.0,31.25,0,0,29.197,14491648
20:54:05.0,30.5,0,4,29.19,14491648
20:54:06.0,28.571,0,0,29.195,14491648
20:54:07.0,21.89,0,3,29.202,14491648
20:54:08.0,25.252,0,0,29.194,14491648
20:54:09.0,32.019,0,0,29.184,14491648
20:54:10.0,21.538,0,0,29.187,14491648
20:54:11.0,31.034,0,0,29.18,14491648
20:54:12.0,31.067,0,2,29.178,14491648
20:54:13.0,30.198,0,0,29.172,14491648
20:54:14.0,20.812,0,0,29.176,14491648
20:54:15.0,28.64,0,0,29.176,14491648
20:54:16.0,27.411,0,0,29.202,14491648
20:54:17.0,26.368,0,2,29.206,14491648
20:54:18.0,30.917,0,0,29.214,14491648
20:54:19.0,19.306,0,0,29.207,14491648
20:54:20.0,25.888,0,0,29.217,14491648
20:54:21.0,28.643,0,0,29.205,14491648
20:54:22.0,28.643,0,2,29.21,14491648
