,cpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,150,300,,75,150,300,,,,,mem,,,,,,,,,,,,,,,,,,
ma,27.7001449814,16.7937948837,11.2470358423,,,,,,,,,75,150,300,,,,,,,,write,,,,media,,,,
tar,22.6413503937,21.4173137931,11.7405061224,,23.9492979272,20.1751573329,11.470834688,aver,,,ma,25.0545204461,27.4662,27.8819681818,,,,,,,,75,150,300,,75,150,300,,
noc,21.5063984064,22.3143633218,11.4249620991,,,,,,,,tar,25.4394275093,27.978962963,28.6082877095,,26.5493791822,28.970505826,29.4129056675,aver,,ma,1.4609665428,1.0566666667,0.85,,,,,,
,,,,,,,,,,,noc,29.1541895911,31.4663545151,31.7484611111,,,,,,,tar,0.8959107807,1.0808080808,1.0363128492,,1.0916976456,1.1439297096,1.0602090768,,aver
,75,150,300,,,,,,,,,,,,,,,,,,noc,0.9182156134,1.2943143813,1.2943143813,,,,,,
ma,24.206978464,25.806141844,20.3462688189,,,,,,,,,75,150,300,,,,,,,,,,,,,,,,
tar,30.4888872796,26.2567094022,36.9443779834,,26.9837203671,22.7579149343,37.815444854,var,,,ma,0.3811634296,1.1244276054,0.5639789503,,,,,,,,75,150,300,,,,,,
noc,26.2552953577,16.2108935567,56.1556877598,,,,,,,,tar,0.3071984994,1.1129694074,0.1868445136,,0.3309959158,1.0037043515,0.2984938487,var,,ma,16.7419408534,7.9131661093,5.7633257403,,,,,,
,,,,,,,,,,,noc,0.3046258184,0.7737160417,0.144658082,,,,,,,tar,4.3249459025,12.3650696151,13.9174451904,,8.7538885498,10.9988977408,10.7997428096,,var
,,,,,,,,,,,,,,,,,,,,,noc,5.1947788936,12.7184574981,12.7184574981,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,medias cpu,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,media,varianza,,,,,,,,,,,,,,,,,,,,,,,,
,,,,75,24.0768289963,43.2221444035,,,,,,,,,,,,,,,,,,,,,,,,
,,,,150,24.6511566667,37.6902999921,,,,,,,,,,,,,,,,,,,,,,,,
,,,,300,12.4132578797,55.4269476402,,,,,,,,,,,,,,,,,,,,,,,,
