Elapsed time,virtual.lab.inf.uva.es CPU combined,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap used
21:20:08.0,9.418,0.0,0.0,23.942,1.6596992E7
21:20:09.0,50.0,0.0,0.0,23.867,1.6596992E7
21:20:10.0,95.477,0.0,0.0,23.789,1.6596992E7
21:20:11.0,99.004,0.0,0.0,23.851,1.6596992E7
21:20:12.0,100.0,0.0,0.0,23.78,1.6596992E7
21:20:13.0,100.0,0.0,2.0,23.791,1.6596992E7
21:20:14.0,99.497,0.0,0.0,23.821,1.6596992E7
21:20:15.0,99.502,0.0,0.0,23.926,1.6596992E7
21:20:16.0,99.5,0.0,3.0,23.953,1.6596992E7
21:20:17.0,99.5,0.0,0.0,24.055,1.6596992E7
21:20:18.0,99.0,0.0,2.0,24.006,1.6596992E7
21:20:19.0,99.004,0.0,0.0,24.043,1.6596992E7
21:20:20.0,100.0,0.0,0.0,24.148,1.6596992E7
21:20:21.0,99.5,0.0,0.0,24.389,1.6596992E7
21:20:22.0,100.0,0.0,0.0,24.361,1.6596992E7
21:20:23.0,100.0,0.0,2.0,24.51,1.6596992E7
21:20:24.0,100.0,0.0,0.0,24.55,1.6596992E7
21:20:25.0,99.502,0.0,0.0,24.638,1.6596992E7
21:20:26.0,98.989,0.0,4.0,24.66,1.6596992E7
21:20:27.0,99.5,0.0,0.0,24.718,1.6596992E7
21:20:28.0,99.004,0.0,0.0,24.701,1.6596992E7
21:20:29.0,99.502,0.0,2.0,24.745,1.6596992E7
21:20:30.0,99.497,0.0,0.0,24.88,1.6596992E7
21:20:31.0,99.004,0.0,0.0,25.103,1.6596992E7
21:20:32.0,99.5,0.0,0.0,25.179,1.6596992E7
21:20:33.0,100.0,0.0,0.0,25.316,1.6596992E7
21:20:34.0,99.5,0.0,0.0,25.407,1.6596992E7
21:20:35.0,100.0,0.0,3.0,25.386,1.6596992E7
21:20:36.0,99.504,0.0,0.0,25.392,1.6596992E7
21:20:37.0,100.0,0.0,0.0,25.452,1.6596992E7
21:20:38.0,100.0,0.0,0.0,25.495,1.6596992E7
21:20:39.0,100.0,0.0,0.0,25.487,1.6596992E7
21:20:40.0,99.5,0.0,2.0,25.494,1.6596992E7
21:20:41.0,100.0,0.0,0.0,25.493,1.6596992E7
21:20:42.0,99.5,0.0,0.0,25.496,1.6596992E7
21:20:43.0,99.502,0.0,0.0,25.503,1.6596992E7
21:20:44.0,100.0,0.0,0.0,25.504,1.6596992E7
21:20:45.0,99.502,0.0,2.0,25.531,1.6596992E7
21:20:46.0,99.5,0.0,0.0,25.543,1.6596992E7
21:20:47.0,99.5,0.0,0.0,25.543,1.6596992E7
21:20:48.0,99.497,0.0,0.0,25.544,1.6596992E7
21:20:49.0,99.497,0.0,0.0,25.578,1.6596992E7
21:20:50.0,99.009,0.0,0.0,25.541,1.6596992E7
21:20:51.0,100.0,0.0,2.0,25.549,1.6596992E7
21:20:52.0,99.0,0.0,0.0,25.554,1.6596992E7
21:20:53.0,100.0,0.0,0.0,25.553,1.6596992E7
21:20:54.0,100.0,0.0,0.0,25.539,1.6596992E7
21:20:55.0,99.502,0.0,0.0,25.55,1.6596992E7
21:20:56.0,99.5,0.0,0.0,25.549,1.6596992E7
21:20:57.0,100.0,0.0,5.0,25.55,1.6596992E7
21:20:58.0,99.5,0.0,0.0,25.524,1.6596992E7
21:20:59.0,100.0,0.0,0.0,25.551,1.6596992E7
21:21:00.0,99.5,0.0,0.0,25.544,1.6596992E7
21:21:01.0,99.504,0.0,0.0,25.555,1.6596992E7
21:21:02.0,100.0,0.0,4.0,25.545,1.6596992E7
21:21:03.0,100.0,0.0,0.0,25.548,1.6596992E7
21:21:04.0,100.0,0.0,0.0,25.535,1.6596992E7
21:21:05.0,100.0,0.0,0.0,25.551,1.6596992E7
21:21:06.0,99.0,0.0,0.0,25.543,1.6596992E7
21:21:07.0,98.5,0.0,2.0,25.553,1.6596992E7
21:21:08.0,98.994,0.0,0.0,25.533,1.6596992E7
21:21:09.0,98.009,0.0,0.0,25.549,1.6596992E7
21:21:10.0,100.0,0.0,0.0,25.562,1.6596992E7
21:21:11.0,100.0,0.0,0.0,25.526,1.6596992E7
21:21:12.0,100.0,0.0,0.0,25.531,1.6596992E7
21:21:13.0,100.0,0.0,2.0,25.546,1.6596992E7
21:21:14.0,100.0,0.0,0.0,25.55,1.6596992E7
