Elapsed time,virtual.lab.inf.uva.es CPU combined,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap used
19:21:39.0,18,0,0,25.904,16596992
19:21:40.0,94.949,0,0,25.904,16596992
19:22:24.0,2.634,0,0,26.254,16596992
19:22:25.0,33.668,0,0,26.314,16596992
19:22:26.0,100,0,0,26.452,16596992
19:22:27.0,99.5,0,0,26.431,16596992
19:22:28.0,99.004,0,0,26.515,16596992
19:22:29.0,99.5,0,0,26.652,16596992
19:22:30.0,100,0,2,26.724,16596992
19:22:31.0,99.5,0,0,26.79,16596992
19:22:32.0,100,0,0,26.8,16596992
19:22:33.0,100,0,0,26.888,16596992
19:22:34.0,100,0,0,27.078,16596992
19:22:35.0,99.494,0,2,27.166,16596992
19:22:36.0,100,0,0,27.197,16596992
19:22:37.0,99.5,0,0,27.327,16596992
19:22:38.0,99.004,0,0,27.33,16596992
19:22:39.0,99.5,0,0,27.318,16596992
19:22:40.0,100,0,0,27.312,16596992
19:22:41.0,99.5,0,3,27.378,16596992
19:22:42.0,99.502,0,0,27.336,16596992
19:22:43.0,99.497,0,0,27.365,16596992
19:22:44.0,99.504,0,0,27.343,16596992
19:22:45.0,100,0,0,27.349,16596992
19:22:46.0,100,0,2,27.361,16596992
19:22:47.0,99.5,0,2,27.375,16596992
19:22:48.0,100,0,0,27.376,16596992
19:22:49.0,99.5,0,0,27.372,16596992
19:22:50.0,100,0,0,27.351,16596992
19:22:51.0,100,0,4,27.379,16596992
19:22:52.0,100,0,2,27.34,16596992
19:22:53.0,100,0,0,27.351,16596992
19:22:54.0,99.5,0,0,27.353,16596992
19:22:55.0,100,0,0,27.439,16596992
19:22:56.0,100,0,0,27.373,16596992
19:22:57.0,100,0,2,27.366,16596992
19:22:58.0,100,0,0,27.367,16596992
19:22:59.0,99.5,0,0,27.377,16596992
19:23:00.0,100,0,0,27.371,16596992
19:23:01.0,99.5,0,0,27.37,16596992
19:23:02.0,99.502,0,0,27.377,16596992
19:23:03.0,99.5,0,0,27.371,16596992
19:23:04.0,100,0,2,27.377,16596992
19:23:05.0,100,0,0,27.373,16596992
19:23:06.0,100,0,0,27.383,16596992
19:23:07.0,99.5,0,0,27.371,16596992
19:23:08.0,99.5,0,0,27.375,16596992
19:23:09.0,100,0,2,27.372,16596992
19:23:10.0,100,0,0,27.359,16596992
19:23:11.0,100,0,0,27.382,16596992
19:23:12.0,100,0,0,27.385,16596992
19:23:13.0,100,0,0,27.378,16596992
19:23:14.0,100,0,0,27.385,16596992
19:23:15.0,99.5,0,0,27.374,16596992
19:23:16.0,99.502,0,2,27.373,16596992
19:23:17.0,99.004,0,0,27.377,16596992
19:23:18.0,99.502,0,0,27.381,16596992
19:23:19.0,100,0,0,27.385,16596992
19:23:20.0,99.5,0,0,27.366,16596992
19:23:21.0,99.502,0,0,27.383,16596992
19:23:22.0,100,0,6,27.38,16596992
19:23:23.0,99.5,0,0,27.359,16596992
19:23:24.0,99.502,0,0,27.378,16596992
19:23:25.0,100,0,0,27.373,16596992
19:23:26.0,100,0,0,27.453,16596992
19:23:27.0,99.5,0,2,27.362,16596992
19:23:28.0,99.497,0,0,27.361,16596992
19:23:29.0,99.502,0,0,27.372,16596992
19:23:30.0,100,0,0,27.364,16596992
19:23:31.0,99.5,0,0,27.416,16596992
19:23:32.0,100,0,2,27.505,16596992
19:23:33.0,99.5,0,0,27.758,16596992
19:23:34.0,100,0,0,28.107,16596992
19:23:35.0,100,0,0,28.326,16596992
19:23:36.0,100,0,0,28.466,16596992
19:23:37.0,99.5,0,1,28.577,16596992
19:23:38.0,99.5,0,1,28.872,16596992
19:23:39.0,100,0,0,29.199,16596992
19:23:40.0,99.5,0,0,29.26,16596992
19:23:41.0,100,0,0,29.363,16596992
19:23:42.0,100,0,0,29.363,16596992
19:23:43.0,100,0,2,29.402,16596992
19:23:44.0,99.502,0,0,29.54,16596992
19:23:45.0,100,0,0,29.545,16596992
19:23:46.0,99.5,0,0,29.542,16596992
19:23:47.0,99.497,0,0,29.581,16596992
19:23:48.0,99.502,0,0,29.545,16596992
19:23:49.0,100,0,2,29.555,16596992
19:23:50.0,100,0,0,29.549,16596992
19:23:51.0,100,0,0,29.545,16596992
19:23:52.0,99.502,0,0,29.557,16596992
19:23:53.0,100,0,2,29.586,16596992
19:23:54.0,99.497,0,2,29.615,16596992
19:23:55.0,99.502,0,0,29.615,16596992
19:23:56.0,100,0,0,29.614,16596992
19:23:57.0,99.504,0,0,29.658,16596992
19:23:58.0,100,0,1,29.649,16596992
19:23:59.0,100,0,0,29.65,16596992
19:24:00.0,99.502,0,2,29.666,16596992
19:24:01.0,100,0,0,29.668,16596992
19:24:02.0,99.502,0,0,29.671,16596992
19:24:03.0,100,0,0,29.675,16596992
19:24:04.0,100,0,0,29.688,16596992
19:24:05.0,100,0,2,29.761,16596992
19:24:06.0,99.502,0,0,29.678,16596992
19:24:07.0,100,0,0,29.698,16596992
19:24:08.0,100,0,0,29.695,16596992
19:24:09.0,100,0,0,29.704,16596992
19:24:10.0,100,0,2,29.697,16596992
19:24:11.0,99.5,0,0,29.642,16596992
19:24:12.0,100,0,0,29.653,16596992
19:24:13.0,100,0,0,29.626,16596992
19:24:14.0,100,0,0,29.647,16596992
19:24:15.0,99.502,0,2,29.656,16596992
19:24:16.0,100,0,0,29.66,16596992
19:24:17.0,100,0,0,29.739,16596992
19:24:18.0,99.004,0,0,29.674,16596992
19:24:19.0,100,0,0,29.667,16596992
19:24:20.0,99.004,0,0,29.664,16596992
19:24:21.0,100,0,2,29.672,16596992
19:24:22.0,99.5,0,0,29.638,16596992
19:24:23.0,99.004,0,2,29.706,16596992
19:24:24.0,99.5,0,0,29.668,16596992
19:24:25.0,100,0,0,29.638,16596992
19:24:26.0,100,0,2,29.668,16596992
19:24:27.0,100,0,0,29.661,16596992
19:24:28.0,100,0,0,29.68,16596992
19:24:29.0,100,0,1,29.66,16596992
19:24:30.0,99.5,0,0,29.665,16596992
19:24:31.0,100,0,2,29.662,16596992
19:24:32.0,100,0,0,29.648,16596992
19:24:33.0,100,0,0,29.663,16596992
19:24:34.0,100,0,7,29.656,16596992
19:24:35.0,99.5,0,0,29.705,16596992
19:24:36.0,99.502,0,2,29.781,16596992
