Elapsed time,virtual.lab.inf.uva.es CPU,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap
20:33:59.0,33.0,0.0,0.0,28.386,1.6596992E7
20:34:00.0,48.387,0.0,0.0,28.386,1.6596992E7
20:34:01.0,65.641,0.0,47.0,28.433,1.6596992E7
20:34:02.0,88.324,0.0,39.0,29.057,1.6596992E7
20:34:03.0,89.898,0.0,33.0,29.505,1.6596992E7
20:34:04.0,91.044,0.0,36.0,29.394,1.6596992E7
20:34:05.0,92.964,1.0,27.0,30.067,1.6596992E7
20:34:06.0,96.019,0.0,30.0,31.243,1.6596992E7
20:34:07.0,96.984,0.0,51.0,31.717,1.6596992E7
20:34:08.0,97.014,0.0,22.0,32.469,1.6596992E7
20:34:09.0,96.5,2.0,35.0,36.305,1.6596992E7
20:34:10.0,97.989,0.0,15.0,37.346,1.6596992E7
20:34:11.0,97.029,0.0,41.0,36.093,1.6596992E7
20:34:12.0,96.464,1.0,42.0,35.988,1.6596992E7
20:34:13.0,96.517,0.0,34.0,35.746,1.6596992E7
20:34:14.0,97.524,0.0,42.0,36.386,1.6596992E7
20:34:15.0,96.938,0.0,58.0,34.174,1.6596992E7
20:34:16.0,97.014,0.0,3.0,36.223,1.6596992E7
20:34:17.0,95.5,1.0,42.0,36.44,1.6596992E7
20:34:18.0,98.994,0.0,33.0,35.453,1.6596992E7
20:34:19.0,98.994,0.0,24.0,36.744,1.6596992E7
20:34:20.0,97.014,0.0,30.0,34.991,1.6596992E7
20:34:21.0,98.989,0.0,68.0,36.102,1.6596992E7
20:34:22.0,93.467,0.0,47.0,34.83,1.6596992E7
20:34:23.0,98.5,0.0,6.0,37.292,1.6596992E7
20:34:24.0,99.494,0.0,49.0,38.093,1.6596992E7
20:34:25.0,96.984,0.0,39.0,35.608,1.6596992E7
20:34:26.0,97.5,0.0,8.0,37.285,1.6596992E7
20:34:27.0,95.522,0.0,59.0,35.492,1.6596992E7
20:34:28.0,97.0,0.0,4.0,34.778,1.6596992E7
20:34:29.0,96.5,0.0,20.0,35.175,1.6596992E7
20:34:30.0,98.5,0.0,30.0,37.154,1.6596992E7
20:34:31.0,98.0,0.0,73.0,37.484,1.6596992E7
20:34:32.0,94.974,0.0,79.0,34.51,1.6596992E7
20:34:33.0,97.0,0.0,10.0,37.168,1.6596992E7
20:34:34.0,98.984,0.0,61.0,37.389,1.6596992E7
20:34:35.0,96.517,0.0,26.0,34.215,1.6596992E7
20:34:36.0,97.474,0.0,8.0,34.967,1.6596992E7
20:34:37.0,98.507,0.0,39.0,37.243,1.6596992E7
20:34:38.0,91.414,0.0,37.0,36.071,1.6596992E7
20:34:39.0,96.482,0.0,42.0,36.46,1.6596992E7
20:34:40.0,97.487,0.0,62.0,38.094,1.6596992E7
20:34:41.0,97.5,0.0,69.0,34.96,1.6596992E7
20:34:42.0,96.984,0.0,17.0,35.383,1.6596992E7
20:34:43.0,97.5,0.0,30.0,36.579,1.6596992E7
20:34:44.0,98.484,0.0,68.0,37.608,1.6596992E7
20:34:45.0,96.482,0.0,18.0,35.247,1.6596992E7
