Elapsed time,virtual.lab.inf.uva.es CPU,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap
09:08:58.0,18.41,0,0,34.576,17653760
09:08:59.0,51.758,0,36,34.403,17653760
09:09:00.0,82.412,0,49,34.079,17653760
09:09:01.0,96.41,0,41,33.518,17653760
09:09:02.0,88.059,0,34,32.566,17653760
09:09:03.0,96.984,0,28,32.889,17653760
09:09:04.0,96.019,0,41,33.076,17653760
09:09:05.0,96.984,0,41,33.149,17653760
09:09:06.0,96.5,0,45,33.123,17653760
09:09:07.0,97.524,0,25,33.958,17653760
09:09:08.0,95.959,0,46,32.897,17653760
09:09:09.0,96.517,0,30,33.837,17653760
09:09:10.0,97.969,0,31,35.912,17653760
09:09:11.0,99,0,33,37.013,17653760
09:09:12.0,97.487,0,51,38.849,17653760
09:09:13.0,98.484,0,30,40.58,17653760
09:09:14.0,96.482,0,41,40.556,17653760
09:09:15.0,96.984,0,38,42.006,17653760
09:09:16.0,96.5,0,36,44.273,17653760
09:09:17.0,97.5,0,32,45.998,17653760
09:09:18.0,98,0,39,46.497,17653760
09:09:19.0,97.474,0,93,47.533,17653760
09:09:20.0,94.974,0,83,41.58,17653760
09:09:21.0,96,0,28,44.1,17653760
09:09:22.0,98.492,0,7,49.991,17653760
09:09:23.0,95.979,0,74,47.607,17653760
09:09:24.0,93.939,0,53,44.56,17653760
09:09:25.0,96.5,0,57,48.527,17653760
09:09:26.0,95.979,0,22,49.135,17653760
09:09:27.0,96,0,74,43.553,17653760
09:09:28.0,97.448,0,34,46.134,17653760
09:09:29.0,98.492,0,30,48.121,17653760
09:09:30.0,96.984,0,32,46.459,17653760
09:09:31.0,96.482,0,44,45.131,17653760
09:09:32.0,98,0,33,48.78,17653760
09:09:33.0,97.487,0,3,45.237,17653760
09:09:34.0,94,0,1,42.62,17653760
09:09:35.0,98.484,0,36,42.87,17653760
09:09:36.0,98.989,0,1,40.846,17653760
09:09:37.0,92.424,0,38,40.256,17653760
09:09:38.0,96.078,0,15,43.065,17653760
09:09:39.0,98.484,0,75,50.117,17653760
09:09:40.0,84.848,0,18,43.365,17653760
09:09:41.0,95.454,0,43,41.048,17653760
09:09:42.0,93.5,0,9,42.482,17653760
09:09:43.0,97,0,24,45.824,17653760
09:09:44.0,97.474,0,15,48.508,17653760
09:09:45.0,95.408,0,48,44.131,17653760
09:09:46.0,97.989,0,45,49.835,17653760
09:09:47.0,96.5,0,31,45.573,17653760
09:09:48.0,93.969,0,31,41.454,17653760
09:09:49.0,95.522,0,22,42.428,17653760
09:09:50.0,93.939,0,28,44.402,17653760
09:09:51.0,97.474,0,38,49.141,17653760
09:09:52.0,96.482,0,82,46.42,17653760
09:09:53.0,96.517,0,95,40.651,17653760
09:09:54.0,97,0,14,44.085,17653760
09:09:55.0,96.969,0,55,47.499,17653760
09:09:56.0,92.424,0,12,45.475,17653760
09:09:57.0,95.522,0,30,44.767,17653760
09:09:58.0,96.984,0,69,48.675,17653760
09:09:59.0,96.517,0,36,48.118,17653760
09:10:00.0,92.929,0,68,43.395,17653760
09:10:01.0,96.984,0,18,47.171,17653760
09:10:02.0,94.444,0,47,45.61,17653760
09:10:03.0,94.5,0,30,45.243,17653760
09:10:04.0,95.979,0,36,45.693,17653760
09:10:05.0,95.024,0,48,48.889,17653760
09:10:06.0,93.434,0,64,47.79,17653760
09:10:07.0,95.959,0,44,45.482,17653760
09:10:08.0,94.5,0,25,45.5,17653760
09:10:09.0,96.482,0,24,45.71,17653760
09:10:10.0,95.024,0,43,47.276,17653760
09:10:11.0,93.5,0,59,47.464,17653760
09:10:12.0,93.908,0,51,46.501,17653760
09:10:13.0,94.974,0,46,46.039,17653760
09:10:14.0,94.472,0,35,46.026,17653760
09:10:15.0,94.472,0,15,46.125,17653760
09:10:16.0,92.5,0,28,43.709,17653760
09:10:17.0,95.979,0,45,46.381,17653760
09:10:18.0,98.492,0,34,48.026,17653760
09:10:19.0,93.969,0,51,45.693,17653760
09:10:20.0,93.467,0,56,42.242,17653760
09:10:21.0,94.472,0,27,43.547,17653760
09:10:22.0,97.487,0,11,46.589,17653760
09:10:23.0,92.964,0,54,46.392,17653760
09:10:24.0,98.499,0,100,44.429,17653760
09:10:25.0,93.401,0,78,44.712,17653760
09:10:26.0,96.5,0,50,46.998,17653760
09:10:27.0,96,0,42,46.8,17653760
09:10:28.0,93.467,0,47,41.321,17653760
