Elapsed time,virtual.lab.inf.uva.es CPU,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap
14:42:40.0,14.602,0.0,0.0,30.831,1.8440192E7
14:42:41.0,28.282,0.0,9.0,30.772,1.8440192E7
14:42:42.0,70.618,0.0,38.0,31.047,1.8440192E7
14:42:43.0,87.817,0.0,41.0,30.969,1.8440192E7
14:42:44.0,82.323,0.0,48.0,31.234,1.8440192E7
14:42:45.0,95.0,0.0,107.0,30.709,1.8440192E7
14:42:46.0,94.527,0.0,50.0,30.861,1.8440192E7
14:42:47.0,92.964,0.0,37.0,30.195,1.8440192E7
14:42:48.0,96.984,0.0,43.0,31.829,1.8440192E7
14:42:49.0,88.944,0.0,60.0,31.532,1.8440192E7
14:42:50.0,97.487,0.0,18.0,32.037,1.8440192E7
14:42:51.0,96.517,0.0,43.0,35.029,1.8440192E7
14:42:52.0,95.979,0.0,61.0,32.925,1.8440192E7
14:42:53.0,96.464,0.0,20.0,37.016,1.8440192E7
14:42:54.0,96.984,0.0,30.0,37.18,1.8440192E7
14:42:55.0,98.0,0.0,64.0,38.55,1.8440192E7
14:42:56.0,98.009,0.0,36.0,40.042,1.8440192E7
14:42:57.0,94.974,0.0,68.0,38.063,1.8440192E7
14:42:58.0,95.959,0.0,29.0,39.973,1.8440192E7
14:42:59.0,95.5,0.0,25.0,40.537,1.8440192E7
14:43:00.0,95.0,0.0,59.0,41.173,1.8440192E7
14:43:01.0,95.049,0.0,26.0,43.589,1.8440192E7
14:43:02.0,94.949,0.0,50.0,45.097,1.8440192E7
14:43:03.0,93.969,0.0,55.0,45.13,1.8440192E7
14:43:04.0,95.939,0.0,39.0,45.668,1.8440192E7
14:43:05.0,94.472,0.0,21.0,45.915,1.8440192E7
14:43:06.0,94.5,0.0,45.0,45.246,1.8440192E7
14:43:07.0,94.472,0.0,38.0,45.1,1.8440192E7
14:43:08.0,94.472,0.0,45.0,46.872,1.8440192E7
14:43:09.0,92.424,0.0,64.0,45.822,1.8440192E7
14:43:10.0,96.464,0.0,46.0,45.086,1.8440192E7
14:43:11.0,94.5,0.0,35.0,44.924,1.8440192E7
14:43:12.0,92.893,0.0,35.0,45.274,1.8440192E7
14:43:13.0,96.0,0.0,41.0,44.794,1.8440192E7
14:43:14.0,94.444,0.0,62.0,45.307,1.8440192E7
14:43:15.0,96.5,0.0,38.0,46.663,1.8440192E7
14:43:16.0,96.984,0.0,92.0,42.426,1.8440192E7
14:43:17.0,95.5,0.0,53.0,41.082,1.8440192E7
14:43:18.0,97.979,0.0,22.0,43.995,1.8440192E7
14:43:19.0,96.969,0.0,20.0,45.145,1.8440192E7
14:43:20.0,97.0,0.0,34.0,43.639,1.8440192E7
14:43:21.0,96.0,0.0,52.0,45.05,1.8440192E7
14:43:22.0,97.989,0.0,35.0,46.561,1.8440192E7
14:43:23.0,96.464,0.0,65.0,40.834,1.8440192E7
14:43:24.0,97.0,0.0,25.0,43.064,1.8440192E7
14:43:25.0,97.989,0.0,10.0,45.644,1.8440192E7
14:43:26.0,94.472,0.0,23.0,44.833,1.8440192E7
14:43:27.0,92.424,0.0,52.0,42.893,1.8440192E7
14:43:28.0,97.487,0.0,44.0,47.418,1.8440192E7
14:43:29.0,95.959,0.0,31.0,45.66,1.8440192E7
14:43:30.0,94.527,0.0,50.0,41.844,1.8440192E7
14:43:31.0,95.477,0.0,31.0,43.534,1.8440192E7
14:43:32.0,96.482,0.0,12.0,46.128,1.8440192E7
14:43:33.0,94.444,0.0,53.0,44.078,1.8440192E7
14:43:34.0,95.959,0.0,67.0,44.086,1.8440192E7
14:43:35.0,93.532,0.0,38.0,46.899,1.8440192E7
