Elapsed time,virtual.lab.inf.uva.es CPU,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap
09:26:26.0,3.118,0.0,0.0,40.392,7864320.0
09:26:27.0,11.557,0.0,1.0,40.316,7864320.0
09:26:28.0,20.0,0.0,6.0,39.869,7864320.0
09:26:29.0,27.777,0.0,9.0,40.654,7864320.0
09:26:30.0,12.69,0.0,7.0,40.546,7864320.0
09:26:31.0,18.877,0.0,9.0,40.369,7864320.0
09:26:32.0,12.82,0.0,15.0,39.796,7864320.0
09:26:33.0,16.161,0.0,19.0,39.182,7864320.0
09:26:34.0,28.712,0.0,9.0,39.452,7864320.0
09:26:35.0,19.487,0.0,18.0,39.857,7864320.0
09:26:36.0,8.542,0.0,12.0,39.956,7864320.0
09:26:37.0,26.0,0.0,21.0,40.554,7864320.0
09:26:38.0,76.165,0.0,103.0,42.405,7864320.0
09:26:39.0,15.151,0.0,8.0,43.487,7864320.0
09:26:40.0,38.383,0.0,10.0,47.546,7864320.0
09:26:41.0,31.313,0.0,41.0,49.243,7864320.0
09:26:42.0,20.707,0.0,6.0,50.724,7864320.0
09:26:43.0,28.282,0.0,6.0,52.708,7864320.0
09:26:44.0,17.085,0.0,0.0,53.68,7864320.0
09:26:45.0,27.638,0.0,14.0,55.214,7864320.0
09:26:46.0,18.686,0.0,6.0,56.371,7864320.0
09:26:47.0,8.629,0.0,13.0,56.862,7864320.0
09:26:48.0,32.338,0.0,9.0,59.038,7864320.0
09:26:49.0,20.0,0.0,6.0,60.463,7864320.0
09:26:51.0,38.693,0.0,16.0,61.982,7864320.0
09:26:52.0,22.959,1.0,9.0,63.224,7864320.0
09:26:53.0,23.469,0.0,3.0,64.284,7864320.0
09:26:54.0,27.272,0.0,10.0,64.98,7864320.0
09:26:55.0,51.53,0.0,104.0,65.899,8450048.0
09:26:56.0,62.886,0.0,100.0,66.283,8450048.0
09:26:57.0,18.556,0.0,21.0,66.208,8450048.0
09:26:58.0,1.53,0.0,6.0,65.834,8450048.0
09:26:59.0,6.666,0.0,9.0,65.804,8450048.0
09:27:00.0,3.553,0.0,9.0,65.311,8450048.0
09:27:01.0,7.106,0.0,12.0,65.193,8450048.0
09:27:03.0,8.205,1.0,12.0,65.409,8450048.0
09:27:04.0,3.03,0.0,6.0,65.601,8450048.0
09:27:05.0,4.06,0.0,21.0,65.592,8450048.0
09:27:08.0,2.03,0.0,4.0,65.314,8450048.0
09:27:09.0,2.512,0.0,0.0,65.184,8450048.0
09:27:10.0,3.015,0.0,3.0,65.139,8450048.0
09:27:11.0,3.015,0.0,3.0,65.162,8450048.0
09:27:12.0,1.522,0.0,0.0,65.158,8450048.0
09:27:13.0,3.045,0.0,15.0,64.819,8450048.0
