Elapsed time,virtual.lab.inf.uva.es CPU,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap
20:45:51.0,6.338,0.0,0.0,40.624,4493312.0
20:45:52.0,13.567,0.0,0.0,40.937,4493312.0
20:45:53.0,17.616,0.0,15.0,41.398,4493312.0
20:45:54.0,16.161,0.0,13.0,41.079,4493312.0
20:45:55.0,28.571,0.0,13.0,40.966,4493312.0
20:45:56.0,21.025,0.0,10.0,41.47,4493312.0
20:45:57.0,16.582,0.0,18.0,41.196,4493312.0
20:45:58.0,18.134,0.0,18.0,40.99,4493312.0
20:45:59.0,23.711,0.0,10.0,41.499,4493312.0
20:46:00.0,26.13,0.0,32.0,41.055,4493312.0
20:46:01.0,25.51,0.0,15.0,41.498,4493312.0
20:46:02.0,17.801,0.0,13.0,42.699,4493312.0
20:46:03.0,14.213,0.0,22.0,42.895,4493312.0
20:46:04.0,22.727,0.0,12.0,44.339,4493312.0
20:46:06.0,16.751,0.0,15.0,45.098,4493312.0
20:46:07.0,40.0,0.0,19.0,48.168,4493312.0
20:46:08.0,44.162,0.0,22.0,51.279,4493312.0
20:46:09.0,36.787,0.0,18.0,53.64,4493312.0
20:46:10.0,32.653,0.0,20.0,55.062,4493312.0
20:46:11.0,29.5,0.0,15.0,56.028,4493312.0
20:46:12.0,76.53,0.0,100.0,55.661,4755456.0
20:46:13.0,98.963,0.0,99.0,56.944,4755456.0
20:46:14.0,72.959,0.0,86.0,57.481,4755456.0
20:46:15.0,60.204,3.0,79.0,60.294,6598656.0
20:46:16.0,48.484,2.0,31.0,62.262,6598656.0
20:46:17.0,16.494,1.0,11.0,62.374,6598656.0
20:46:18.0,60.101,2.0,88.0,63.854,6860800.0
20:46:19.0,47.395,0.0,76.0,64.338,7122944.0
20:46:20.0,16.58,1.0,26.0,65.224,7385088.0
20:46:21.0,8.29,3.0,23.0,64.942,7385088.0
20:46:22.0,16.836,1.0,19.0,65.62,7385088.0
20:46:23.0,6.701,0.0,22.0,65.887,7385088.0
20:46:24.0,4.145,0.0,16.0,65.67,7385088.0
20:46:25.0,11.224,0.0,32.0,65.536,7385088.0
20:46:26.0,11.398,1.0,18.0,65.218,7385088.0
20:46:27.0,5.128,0.0,18.0,65.164,7385088.0
20:46:28.0,17.801,0.0,10.0,65.237,7385088.0
20:46:29.0,11.167,0.0,12.0,65.078,7385088.0
20:46:30.0,13.333,1.0,21.0,65.083,7385088.0
20:46:31.0,15.025,3.0,12.0,64.801,7385088.0
20:46:32.0,11.282,1.0,13.0,64.29,7385088.0
20:46:33.0,22.564,2.0,22.0,63.861,7385088.0
20:46:34.0,16.41,0.0,19.0,63.842,7385088.0
20:46:35.0,12.371,1.0,16.0,64.039,7385088.0
20:46:36.0,22.279,1.0,21.0,64.168,7385088.0
20:46:37.0,18.652,0.0,25.0,63.919,7385088.0
20:46:38.0,17.766,1.0,13.0,63.666,7385088.0
20:46:39.0,16.923,2.0,22.0,63.258,7385088.0
20:46:40.0,36.734,4.0,16.0,62.334,7385088.0
20:46:41.0,30.303,1.0,36.0,63.328,7385088.0
20:46:42.0,22.395,1.0,20.0,63.419,7385088.0
20:46:43.0,22.051,2.0,21.0,63.983,7385088.0
20:46:44.0,18.652,0.0,30.0,64.066,7385088.0
20:46:45.0,17.766,1.0,15.0,64.296,7385088.0
20:46:46.0,18.652,2.0,19.0,64.232,7385088.0
20:46:47.0,15.384,2.0,13.0,64.681,7385088.0
20:46:48.0,13.917,0.0,19.0,65.018,7385088.0
20:46:49.0,18.556,1.0,22.0,64.532,7385088.0
20:46:50.0,74.226,0.0,99.0,64.949,7385088.0
20:46:51.0,63.02,1.0,74.0,64.484,7385088.0
20:46:52.0,13.917,1.0,18.0,64.32,7385088.0
20:46:53.0,18.041,1.0,17.0,64.291,7385088.0
20:46:54.0,9.693,2.0,16.0,64.246,7385088.0
20:46:55.0,14.358,1.0,11.0,64.234,7385088.0
20:46:56.0,12.886,3.0,16.0,64.162,7385088.0
20:46:57.0,14.141,0.0,13.0,64.003,7385088.0
20:46:58.0,31.088,1.0,40.0,63.911,7385088.0
