Elapsed time,virtual.lab.inf.uva.es CPU,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap
15:52:46.0,2.11,0.0,0.0,32.173,6598656.0
15:52:47.0,13.131,0.0,7.0,32.253,6598656.0
15:52:48.0,11.734,0.0,12.0,31.984,6598656.0
15:52:49.0,22.335,0.0,12.0,32.403,6598656.0
15:52:50.0,13.636,0.0,16.0,31.788,6598656.0
15:52:51.0,19.897,0.0,22.0,31.76,6598656.0
15:52:52.0,14.07,0.0,13.0,32.123,6598656.0
15:52:53.0,13.775,0.0,23.0,32.151,6598656.0
15:52:54.0,14.213,0.0,14.0,32.34,6598656.0
15:52:55.0,14.948,0.0,16.0,32.926,6598656.0
15:52:56.0,23.857,0.0,16.0,34.088,6598656.0
15:52:57.0,53.367,0.0,69.0,36.038,6598656.0
15:52:58.0,90.769,0.0,103.0,36.531,6598656.0
15:52:59.0,27.319,0.0,17.0,37.444,6598656.0
15:53:00.0,30.569,0.0,13.0,39.069,6598656.0
15:53:01.0,15.897,0.0,10.0,39.393,6598656.0
15:53:02.0,33.16,0.0,11.0,39.536,6598656.0
15:53:03.0,27.179,0.0,21.0,40.946,6598656.0
15:53:04.0,36.923,0.0,16.0,42.771,6598656.0
15:53:05.0,24.873,0.0,13.0,43.248,6598656.0
15:53:06.0,51.794,0.0,83.0,44.154,6598656.0
15:53:07.0,21.428,0.0,11.0,44.886,6598656.0
15:53:08.0,26.395,0.0,21.0,45.504,6598656.0
15:53:09.0,10.362,0.0,6.0,45.675,6598656.0
15:53:10.0,12.953,0.0,17.0,46.404,6598656.0
15:53:11.0,9.23,0.0,9.0,46.892,6598656.0
15:53:12.0,12.886,0.0,16.0,47.153,6598656.0
15:53:13.0,12.755,0.0,20.0,47.652,6598656.0
15:53:14.0,6.217,0.0,8.0,47.098,6598656.0
15:53:15.0,11.917,0.0,10.0,46.732,6598656.0
15:53:16.0,17.616,0.0,25.0,46.598,6598656.0
15:53:17.0,8.629,0.0,7.0,46.311,6598656.0
15:53:18.0,32.487,0.0,9.0,45.455,6598656.0
15:53:19.0,25.38,0.0,25.0,44.987,6598656.0
15:53:20.0,28.934,0.0,26.0,44.779,6598656.0
15:53:21.0,25.628,0.0,23.0,44.641,6598656.0
15:53:22.0,18.041,0.0,19.0,45.435,6598656.0
15:53:23.0,23.589,0.0,17.0,46.137,6598656.0
15:53:24.0,8.762,0.0,10.0,46.465,6598656.0
15:53:25.0,9.183,0.0,16.0,46.241,6598656.0
15:53:26.0,10.362,0.0,13.0,46.104,6598656.0
15:53:27.0,12.06,0.0,14.0,45.461,6598656.0
15:53:28.0,11.881,0.0,10.0,45.219,6598656.0
15:53:29.0,15.656,0.0,19.0,44.918,6598656.0
15:53:30.0,10.152,0.0,5.0,45.116,6598656.0
15:53:31.0,40.5,0.0,69.0,44.969,6598656.0
15:53:32.0,17.821,0.0,6.0,45.019,6598656.0
15:53:33.0,16.666,0.0,15.0,44.614,6598656.0
15:53:34.0,23.0,0.0,16.0,45.568,6598656.0
15:53:35.0,14.572,0.0,17.0,45.434,6598656.0
15:53:36.0,14.795,0.0,10.0,45.607,6598656.0
15:53:37.0,16.751,0.0,33.0,45.625,6598656.0
15:53:38.0,52.261,0.0,62.0,45.539,6598656.0
15:53:39.0,20.0,0.0,10.0,45.296,6598656.0
15:53:40.0,19.191,0.0,19.0,45.083,6598656.0
15:53:41.0,22.388,0.0,14.0,45.159,6598656.0
15:53:42.0,12.5,0.0,35.0,44.543,6598656.0
15:53:43.0,65.989,0.0,71.0,44.466,6598656.0
15:53:44.0,18.5,0.0,19.0,45.727,6598656.0
15:53:45.0,10.659,0.0,12.0,45.397,6598656.0
15:53:46.0,11.822,0.0,14.0,45.783,6598656.0
15:53:47.0,13.065,0.0,11.0,46.052,6598656.0
15:53:48.0,9.23,0.0,18.0,45.786,6598656.0
15:53:49.0,15.5,0.0,22.0,45.623,6598656.0
15:53:50.0,12.626,0.0,17.0,45.514,6598656.0
15:53:51.0,18.592,0.0,21.0,46.42,6598656.0
15:53:52.0,8.205,0.0,12.0,46.461,6598656.0
15:53:53.0,17.587,0.0,28.0,46.381,6598656.0
15:53:54.0,14.5,0.0,23.0,46.18,6598656.0
15:53:55.0,18.274,0.0,16.0,46.118,6598656.0
15:53:56.0,32.0,0.0,18.0,46.179,6598656.0
15:53:57.0,18.592,0.0,14.0,45.673,6598656.0
15:53:58.0,14.141,0.0,20.0,46.227,6598656.0
15:53:59.0,10.344,0.0,14.0,46.086,6598656.0
15:54:00.0,10.945,0.0,13.0,45.71,6598656.0
15:54:01.0,14.871,0.0,12.0,45.401,6598656.0
15:54:02.0,18.274,0.0,22.0,45.393,6598656.0
15:54:03.0,7.07,0.0,8.0,44.98,6598656.0
15:54:04.0,23.5,0.0,28.0,45.73,6598656.0
15:54:05.0,13.93,0.0,10.0,46.074,6598656.0
15:54:06.0,14.499,0.0,13.0,45.624,6598656.0
15:54:07.0,22.885,0.0,36.0,45.449,6598656.0
15:54:08.0,12.562,0.0,9.0,45.774,6598656.0
15:54:09.0,23.857,0.0,79.0,45.915,6598656.0
15:54:10.0,9.595,0.0,14.0,45.628,6598656.0
15:54:11.0,15.656,0.0,12.0,45.639,6598656.0
15:54:12.0,19.191,0.0,15.0,45.523,6598656.0
15:54:13.0,6.632,0.0,6.0,45.607,6598656.0
15:54:14.0,15.0,0.0,15.0,45.702,6598656.0
15:54:15.0,11.855,0.0,11.0,45.46,6598656.0
15:54:16.0,27.551,0.0,26.0,44.993,6598656.0
15:54:17.0,16.923,0.0,21.0,45.475,6598656.0
15:54:18.0,17.587,0.0,9.0,45.548,6598656.0
15:54:19.0,64.851,0.0,81.0,45.601,6598656.0
15:54:20.0,52.82,0.0,54.0,46.163,6598656.0
15:54:21.0,8.04,0.0,7.0,46.151,6598656.0
15:54:22.0,11.055,0.0,15.0,45.59,6598656.0
15:54:23.0,17.085,0.0,19.0,45.616,6598656.0
15:54:24.0,12.244,0.0,14.0,45.567,6598656.0
15:54:25.0,6.666,0.0,9.0,45.428,6598656.0
15:54:26.0,14.925,0.0,12.0,45.724,6598656.0
15:54:27.0,23.979,0.0,12.0,45.581,6598656.0
15:54:28.0,9.95,0.0,16.0,45.528,6598656.0
15:54:29.0,10.256,0.0,10.0,45.159,6598656.0
15:54:30.0,12.06,0.0,18.0,44.792,6598656.0
15:54:31.0,18.905,0.0,18.0,44.581,6598656.0
15:54:32.0,18.181,0.0,9.0,44.79,6598656.0
15:54:33.0,11.94,0.0,16.0,44.622,6598656.0
15:54:34.0,18.181,0.0,20.0,44.794,6598656.0
15:54:35.0,21.5,0.0,18.0,45.37,6598656.0
15:54:36.0,10.152,0.0,10.0,45.292,6598656.0
15:54:37.0,14.72,0.0,19.0,45.15,6598656.0
15:54:38.0,33.83,0.0,8.0,45.685,6598656.0
15:54:39.0,16.5,0.0,16.0,45.703,6598656.0
15:54:40.0,15.577,0.0,24.0,45.964,6598656.0
15:54:41.0,17.171,0.0,10.0,45.975,6598656.0
15:54:42.0,9.09,0.0,17.0,45.477,6598656.0
15:54:43.0,13.131,0.0,10.0,45.929,6598656.0
15:54:44.0,20.408,0.0,22.0,46.389,6598656.0
15:54:45.0,41.116,0.0,75.0,46.305,6598656.0
15:54:46.0,33.673,0.0,40.0,46.5,6598656.0
15:54:47.0,33.502,0.0,58.0,46.001,6598656.0
15:54:48.0,20.895,0.0,37.0,46.38,6598656.0
15:54:49.0,11.5,0.0,16.0,46.083,6598656.0
15:54:50.0,15.384,0.0,23.0,46.004,6598656.0
15:54:51.0,10.152,0.0,11.0,46.074,6598656.0
15:54:52.0,12.626,0.0,19.0,46.51,6598656.0
15:54:53.0,11.224,0.0,9.0,46.609,6598656.0
15:54:54.0,11.0,0.0,12.0,45.893,6598656.0
15:54:55.0,10.152,0.0,28.0,45.215,6598656.0
15:54:56.0,16.243,0.0,24.0,45.479,6598656.0
15:54:57.0,17.412,0.0,13.0,45.024,6598656.0
15:54:58.0,40.0,0.0,20.0,44.773,6598656.0
15:54:59.0,32.487,0.0,21.0,45.122,6598656.0
15:55:00.0,17.5,0.0,12.0,45.404,6598656.0
15:55:01.0,18.461,0.0,15.0,45.809,6598656.0
15:55:02.0,12.0,0.0,13.0,45.763,6598656.0
15:55:03.0,12.935,0.0,15.0,45.998,6598656.0
15:55:04.0,15.999,0.0,18.0,46.254,6598656.0
15:55:05.0,10.05,0.0,12.0,46.247,6598656.0
15:55:06.0,12.307,0.0,17.0,46.03,6598656.0
15:55:07.0,14.778,0.0,18.0,46.096,6598656.0
15:55:08.0,8.08,0.0,6.0,45.788,6598656.0
15:55:09.0,24.242,0.0,39.0,45.107,6598656.0
15:55:10.0,18.367,0.0,18.0,44.913,6598656.0
15:55:11.0,27.777,0.0,52.0,45.018,6598656.0
15:55:12.0,63.636,0.0,77.0,44.553,6598656.0
15:55:13.0,43.216,0.0,16.0,44.583,6598656.0
15:55:14.0,17.085,0.0,23.0,45.077,6598656.0
15:55:15.0,13.93,0.0,8.0,45.69,6598656.0
15:55:16.0,10.606,0.0,13.0,46.012,6598656.0
15:55:17.0,64.0,0.0,93.0,46.187,6598656.0
15:55:18.0,18.0,0.0,19.0,46.687,6598656.0
15:55:19.0,6.06,0.0,13.0,46.567,6598656.0
15:55:20.0,9.743,0.0,29.0,46.051,6598656.0
15:55:21.0,5.128,0.0,7.0,45.841,6598656.0
15:55:22.0,8.0,0.0,12.0,45.575,6598656.0
15:55:23.0,20.304,0.0,15.0,45.783,6598656.0
15:55:24.0,13.999,0.0,13.0,45.141,6598656.0
15:55:25.0,15.92,0.0,19.0,44.425,6598656.0
15:55:26.0,27.777,0.0,22.0,44.667,6598656.0
15:55:27.0,18.974,0.0,25.0,45.062,6598656.0
15:55:28.0,14.948,0.0,9.0,45.651,6598656.0
15:55:29.0,26.804,0.0,46.0,45.569,6598656.0
15:55:30.0,19.17,0.0,15.0,45.87,6598656.0
15:55:31.0,10.309,0.0,13.0,45.445,6598656.0
15:55:32.0,14.432,0.0,6.0,45.681,6598656.0
15:55:33.0,28.35,0.0,22.0,45.219,6598656.0
15:55:34.0,17.616,0.0,19.0,45.081,6598656.0
15:55:35.0,24.352,0.0,13.0,45.042,6598656.0
15:55:36.0,18.041,0.0,19.0,45.609,6598656.0
15:55:37.0,11.917,0.0,16.0,46.06,6598656.0
15:55:38.0,10.937,0.0,9.0,45.962,6598656.0
15:55:39.0,13.775,0.0,15.0,45.955,6598656.0
15:55:40.0,15.025,0.0,13.0,45.456,6598656.0
15:55:41.0,10.714,0.0,10.0,45.429,6598656.0
15:55:42.0,15.384,0.0,22.0,45.439,6598656.0
15:55:43.0,24.365,0.0,14.0,45.333,6598656.0
15:55:44.0,15.151,0.0,12.0,45.244,6598656.0
15:55:45.0,26.633,0.0,19.0,45.053,6598656.0
15:55:46.0,31.818,0.0,22.0,46.107,6598656.0
15:55:47.0,15.384,0.0,39.0,45.733,6598656.0
15:55:48.0,70.918,0.0,100.0,45.679,6598656.0
15:55:49.0,41.836,0.0,47.0,45.648,6598656.0
15:55:50.0,11.855,0.0,14.0,45.891,6598656.0
