Elapsed time,virtual.lab.inf.uva.es CPU,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap
13:36:49.0,8.163,0,0,24.19,8712192
13:36:50.0,38.775,0,0,24.19,8712192
13:36:51.0,10.101,0,2,25.17,8712192
13:36:52.0,15.228,0,26,25.719,8712192
13:36:53.0,53.768,0,99,26.174,8712192
13:36:54.0,22.727,0,16,27.236,8712192
13:36:55.0,18.905,0,9,28.133,8712192
13:36:56.0,31.658,0,9,30.744,8712192
13:36:57.0,20.707,0,6,32.06,8712192
13:36:58.0,14.432,0,15,33.238,8712192
13:36:59.0,22.164,0,7,35.052,8712192
13:37:00.0,24.615,0,0,36.521,8712192
13:37:01.0,31.658,0,15,38.912,8712192
13:37:02.0,39.898,0,0,41.825,8712192
13:37:03.0,39.086,0,3,44.778,8712192
13:37:04.0,51.269,0,84,46.76,8712192
13:37:05.0,26.424,0,29,47.69,8712192
13:37:06.0,8.717,0,4,47.939,8712192
13:37:07.0,16.915,0,3,48.483,8712192
13:37:08.0,4.568,0,0,48.782,8712192
13:37:09.0,11.282,0,15,49.679,8712192
13:37:10.0,18.461,0,9,51.408,8712192
13:37:11.0,35.353,0,0,53.864,8712192
13:37:12.0,30.964,0,11,55.911,8712192
13:37:13.0,26.903,0,6,57.479,8712192
13:37:14.0,18.974,0,17,58.177,8712192
13:37:15.0,9.326,0,0,58.742,8712192
13:37:16.0,25.252,0,14,60.759,8712192
13:37:17.0,19.387,0,4,62.536,8712192
13:37:18.0,7.575,0,3,62.993,8712192
13:37:19.0,10.769,0,0,63.779,8712192
13:37:20.0,9.743,0,12,64.295,8712192
13:37:21.0,2.577,0,4,64.142,8712192
13:37:22.0,6.632,0,0,64.269,8712192
13:37:23.0,5.583,0,0,64.124,8712192
13:37:24.0,3.589,0,13,63.684,8712192
13:37:25.0,9.183,0,12,63.881,8712192
13:37:26.0,3.076,0,0,63.983,8712192
13:37:27.0,14.141,0,12,63.535,8712192
13:37:28.0,8.163,0,9,63.8,8712192
13:37:29.0,6.06,0,12,63.987,8712192
13:37:30.0,8.121,0,6,63.972,8712192
13:37:31.0,8.163,0,3,64.348,8712192
13:37:32.0,2.985,0,3,64.225,8712192
13:37:33.0,22.564,0,29,64.67,8712192
13:37:34.0,3.03,0,3,64.507,8712192
13:37:35.0,72.448,0,104,64.33,8712192
13:37:36.0,85.858,0,92,64.241,8712192
13:37:37.0,8.08,0,10,63.925,8712192
13:37:38.0,14.213,0,3,63.967,8712192
13:37:39.0,12.437,0,3,64.54,8712192
13:37:40.0,10.256,0,6,64.643,8712192
13:37:41.0,6.185,0,18,64.572,8712192
13:37:42.0,10.552,0,9,64.167,8712192
13:37:43.0,8.457,0,11,64.224,8712192
13:37:44.0,9.644,0,13,64.222,8712192
13:37:45.0,29.797,0,9,64.47,8712192
13:37:46.0,11.557,0,9,64.515,8712192
13:37:47.0,13.989,0,14,64.516,8712192
13:37:48.0,8.08,0,9,64.622,8712192
13:37:49.0,8.163,0,3,64.25,8712192
13:37:50.0,5.05,0,6,64.235,8712192
13:37:51.0,8.629,0,3,63.812,8712192
13:37:52.0,29.441,0,13,63.815,8712192
13:37:53.0,12.121,0,15,63.917,8712192
13:37:54.0,17,0,18,63.909,8712192
13:37:55.0,13.131,0,3,64.857,8712192
13:37:56.0,4.123,0,18,64.867,8712192
13:37:57.0,8.04,0,14,64.799,8712192
13:37:58.0,34.517,0,73,64.998,8712192
13:37:59.0,2.538,0,15,64.718,8712192
13:38:00.0,10.659,0,15,64.636,8712192
13:38:01.0,15.075,0,18,64.986,8712192
13:38:02.0,7.035,0,14,64.74,8712192
13:38:03.0,7.614,0,16,64.315,8712192
13:38:04.0,18.905,0,21,64.366,8712192
13:38:05.0,19.387,0,18,64.752,8712192
13:38:06.0,9.644,0,12,64.335,8712192
13:38:07.0,41.293,0,46,63.984,8712192
13:38:08.0,17.171,0,23,64.113,8712192
13:38:09.0,14.795,0,16,64.263,8712192
13:38:10.0,5.583,0,9,63.919,8712192
13:38:11.0,19.9,0,21,64.135,8712192
13:38:12.0,14.141,0,12,63.996,8712192
13:38:13.0,15.463,0,12,64.032,8712192
13:38:14.0,13.131,0,9,63.692,8712192
13:38:15.0,35.204,0,49,63.661,8712192
13:38:16.0,10.606,0,6,63.57,8712192
13:38:17.0,19.387,0,38,63.62,8712192
13:38:18.0,28.999,0,53,63.194,8712192
13:38:19.0,8.762,0,22,63.192,8712192
13:38:20.0,10.769,0,3,62.857,8712192
13:38:21.0,9.278,0,3,62.14,8712192
13:38:22.0,12.82,0,3,61.827,8712192
13:38:23.0,12.886,0,12,61.777,8712192
13:38:24.0,12.371,0,13,62.144,8712192
13:38:25.0,15.463,0,12,62.114,8712192
13:38:26.0,8.121,0,4,62.511,8712192
13:38:27.0,21.538,0,21,62.533,8712192
13:38:28.0,12.435,0,13,62.804,8712192
13:38:29.0,9.793,0,3,62.908,8712192
13:38:31.0,13.197,0,13,63.39,8712192
13:38:32.0,15.544,0,6,63.252,8712192
13:38:33.0,7.692,0,14,63.236,8712192
13:38:34.0,10.416,0,8,63.159,8712192
13:38:35.0,13.917,0,0,63.267,8712192
13:38:36.0,11.224,0,15,62.736,8712192
13:38:37.0,8.629,0,6,62.537,8712192
13:38:38.0,12.105,0,0,62.535,8712192
13:38:39.0,17.01,0,35,62.804,8712192
13:38:40.0,6.598,0,52,63.139,8712192
13:38:41.0,12.371,0,12,62.911,8712192
13:38:42.0,6.806,0,6,62.719,8712192
13:38:43.0,8.673,0,0,62.582,8712192
13:38:44.0,14.358,0,4,62.039,8712192
13:38:45.0,22.448,0,0,62.405,8712192
13:38:46.0,19.487,0,9,61.867,8712192
13:38:47.0,27.179,0,15,63.146,8712192
13:38:48.0,18.556,0,6,63.282,8712192
13:38:49.0,16.666,0,19,63.851,8712192
13:38:50.0,15.706,0,8,64.135,8712192
13:38:51.0,8.51,0,11,64.382,8712192
13:38:52.0,11.734,0,12,63.902,8712192
13:38:53.0,28.865,0,46,63.601,8712192
13:38:54.0,10.256,0,6,63.888,8712192
13:38:55.0,9.844,0,16,63.652,8712192
13:38:56.0,14.136,0,15,63.262,8712192
13:38:57.0,12.953,0,15,63.121,8712192
13:38:58.0,25.888,0,9,63.131,8712192
13:38:59.0,15.306,0,21,62.857,8712192
13:39:00.0,18.134,0,22,63.103,8712192
13:39:01.0,17.525,0,21,63.452,8712192
13:39:02.0,13.402,0,7,63.878,8712192
13:39:03.0,9.278,0,7,64.031,8712192
13:39:04.0,12.82,0,28,64.017,8712192
13:39:05.0,58.461,0,75,63.957,8712192
13:39:06.0,36.082,0,36,64.244,8712192
13:39:07.0,15.263,0,17,64.443,8712192
13:39:08.0,16.666,0,9,64.71,8712192
13:39:09.0,65.463,3,18,64.813,8712192
13:39:10.0,32.124,0,18,64.685,8712192
13:39:11.0,6.632,0,9,64.698,8712192
13:39:12.0,9.23,0,24,64.509,8712192
13:39:13.0,23.469,0,18,64.661,8712192
13:39:14.0,19.371,0,11,64.928,8712192
13:39:15.0,15.384,0,38,64.305,8712192
13:39:16.0,90.862,0,100,64.359,8712192
13:39:17.0,27.319,0,21,64.66,8712192
13:39:18.0,12.82,0,15,64.604,8712192
13:39:19.0,8.808,0,9,64.562,8712192
13:39:20.0,10.88,0,16,64.274,8712192
13:39:21.0,11.282,0,17,64.556,8712192
13:39:22.0,23.711,0,15,64.859,8712192
13:39:23.0,11.917,0,15,64.101,8712192
13:39:24.0,11.282,0,9,64.201,8712192
13:39:25.0,16.315,0,33,64.184,8712192
13:39:26.0,15.656,0,6,64.812,8712192
13:39:27.0,9.844,0,19,64.19,8712192
13:39:28.0,51.295,0,64,63.951,8712192
13:39:29.0,15.656,0,3,64.296,8712192
13:39:30.0,10.606,0,15,64.401,8712192
13:39:31.0,18,0,22,63.775,8712192
13:39:32.0,22.11,0,19,64.008,8712192
13:39:33.0,10.204,0,13,64.132,8712192
13:39:34.0,13.265,0,21,64.457,8712192
13:39:35.0,17.171,0,17,64.251,8712192
13:39:36.0,83.248,0,3,63.467,8712192
13:39:37.0,57.07,0,5,63.712,8712192
13:39:38.0,65.346,0,17,63.631,8712192
13:39:39.0,88.324,0,3,63.813,8712192
13:39:40.0,63,0,13,63.704,8712192
13:39:41.0,37.244,0,22,63.789,8712192
13:39:42.0,59.595,0,74,64.346,8712192
13:39:43.0,63.131,0,69,63.738,8712192
13:39:44.0,26.395,0,23,63.78,8712192
13:39:45.0,16.243,0,8,63.939,8712192
13:39:46.0,28.282,0,40,63.493,8712192
13:39:47.0,19,0,18,63.469,8712192
13:39:48.0,48.969,0,78,63.061,8712192
13:39:49.0,34.343,0,43,63.443,8712192
13:39:50.0,22.11,0,12,64.077,8712192
13:39:51.0,31,0,15,64.515,8712192
13:39:52.0,11.111,0,9,64.409,8712192
13:39:53.0,25.128,0,9,64.557,8712192
13:39:54.0,14.871,0,14,64.862,8712192
13:39:55.0,12.121,0,4,64.792,8712192
13:39:56.0,12.06,0,19,64.571,8712192
13:39:57.0,12.886,0,13,64.666,8712192
13:39:58.0,16,0,16,64.369,8712192
13:39:59.0,13.705,0,11,64.344,8712192
13:40:00.0,20,0,11,64.755,8712192
13:40:01.0,7.106,0,10,64.698,8712192
13:40:02.0,25,0,41,64.796,8712192
13:40:03.0,12.182,0,15,65.063,8712192
13:40:04.0,7.653,0,9,65.24,8712192
13:40:05.0,6.701,0,21,65.171,8712192
13:40:06.0,11.794,0,6,65.42,8712192
13:40:07.0,4.102,0,15,65.342,8712192
13:40:08.0,9.693,0,6,65.069,8712192
13:40:09.0,11.055,0,9,64.748,8712192
13:40:10.0,8.673,0,6,64.513,8712192
13:40:11.0,6.122,0,9,64.195,8712192
13:40:12.0,8.673,0,22,62.733,8712192
13:40:13.0,20.304,0,17,63.318,8712192
13:40:14.0,24.875,0,51,63.299,8712192
13:40:15.0,38.461,0,41,63.608,8712192
13:40:16.0,9.045,0,10,63.482,8712192
13:40:17.0,26,0,22,63.873,8712192
13:40:18.0,16.243,0,12,64.461,8712192
13:40:19.0,15.306,0,9,64.106,8712192
13:40:20.0,48.743,0,82,63.475,8712192
13:40:21.0,43.718,0,57,63.804,8712192
13:40:22.0,26.767,0,22,64.32,8712192
13:40:23.0,24.489,0,22,64.419,8712192
13:40:24.0,9.644,0,20,64.153,8712192
13:40:25.0,8.163,0,13,63.29,8712192
13:40:26.0,25.757,0,48,63.102,8712192
13:40:27.0,23.383,0,15,63.621,8712192
13:40:28.0,14.285,0,12,63.844,8712192
13:40:29.0,33.668,0,16,64.255,8712192
13:40:30.0,15.656,0,11,64.616,8712192
13:40:31.0,6.735,0,25,64.556,8712192
13:40:32.0,10.101,0,6,64.468,8712192
13:40:33.0,4.04,0,13,64.14,8712192
13:40:34.0,13.567,0,6,64.364,8712192
13:40:35.0,10,0,13,63.975,8712192
13:40:36.0,11.794,0,15,64.341,8712192
13:40:37.0,9.045,0,13,63.99,8712192
13:40:38.0,15.151,0,12,64.042,8712192
13:40:39.0,16.915,0,10,64.35,8712192
13:40:40.0,14.213,0,16,64.638,8712192
13:40:41.0,10.447,0,13,63.677,8712192
13:40:42.0,11.282,0,13,63.711,8712192
13:40:43.0,11.167,0,13,63.992,8712192
13:40:44.0,14.141,0,28,63.826,8712192
13:40:45.0,16.831,0,24,64.236,8712192
13:40:46.0,77.664,0,97,64.271,8712192
13:40:47.0,53.061,0,61,64.057,8712192
13:40:48.0,31.155,0,18,64.631,8712192
13:40:49.0,7.142,0,13,64.635,8712192
13:40:50.0,18.781,0,40,64.331,8712192
13:40:51.0,5.583,0,13,64.346,8712192
13:40:52.0,40.816,0,80,64.764,8712192
13:40:53.0,18.974,0,28,64.641,8712192
13:40:54.0,6.5,0,6,64.251,8712192
13:40:55.0,9.743,0,15,64.386,8712192
13:40:56.0,16.836,0,15,64.638,8712192
13:40:57.0,7.614,0,19,64.438,8712192
13:40:58.0,14.572,0,7,64.225,8712192
13:40:59.0,16.666,0,15,63.976,8712192
13:41:00.0,2.564,0,12,63.582,8712192
13:41:01.0,20,0,18,63.678,8712192
13:41:02.0,15.656,0,10,63.815,8712192
13:41:03.0,17.857,0,27,64.046,8712192
13:41:04.0,8.955,0,7,64.334,8712192
13:41:05.0,14.795,0,22,64.928,8712192
13:41:06.0,4.545,0,9,64.77,8712192
13:41:07.0,10.05,0,10,64.594,8712192
13:41:08.0,12.182,0,13,64.695,8712192
13:41:09.0,13.636,0,24,64.866,8712192
13:41:10.0,9.183,0,9,64.839,8712192
13:41:11.0,6.632,0,0,64.956,8712192
13:41:12.0,9,0,3,64.829,8712192
13:41:13.0,14,0,20,64.684,8712192
13:41:14.0,8.542,0,9,64.799,8712192
13:41:15.0,7.614,0,7,64.817,8712192
13:41:16.0,9.644,0,11,64.667,8712192
13:41:17.0,9.644,0,18,64.421,8712192
13:41:18.0,28.571,0,56,64.696,8712192
13:41:19.0,69.387,0,101,64.425,8712192
13:41:20.0,17.187,0,18,64.161,8712192
13:41:21.0,4.568,0,13,63.856,8712192
13:41:22.0,9.693,0,6,63.52,8712192
13:41:23.0,13.775,0,23,63.806,8712192
13:41:24.0,30.456,0,59,63.931,8712192
13:41:25.0,20.603,0,33,63.83,8712192
13:41:26.0,23.35,0,13,64.215,8712192
13:41:27.0,16.243,0,22,64.17,8712192
13:41:28.0,4.123,0,0,64.135,8712192
13:41:29.0,4.639,0,13,64.106,8712192
13:41:30.0,12.06,0,4,64.164,8712192
13:41:31.0,7.731,0,7,64.275,8712192
13:41:32.0,10.769,0,13,64.532,8712192
13:41:33.0,5.076,0,9,64.77,8712192
13:41:34.0,19.696,0,17,65.356,8712192
13:41:35.0,8.717,0,5,65.49,8712192
13:41:36.0,6.03,0,20,65.214,8712192
13:41:37.0,8.673,0,9,65.173,8712192
13:41:38.0,3.571,0,9,64.892,8712192
13:41:39.0,9.23,0,9,65.202,8712192
13:41:40.0,8.717,0,12,64.874,8712192
13:41:41.0,6.666,0,12,64.527,8712192
13:41:42.0,12.755,0,12,64.014,8712192
13:41:43.0,14.572,0,12,64.323,8712192
13:41:44.0,7.731,0,10,63.935,8712192
13:41:45.0,6.842,0,22,63.805,8712192
13:41:46.0,7.07,0,9,63.486,8712192
13:41:47.0,9.793,0,0,63.25,8712192
13:41:50.0,5,0,14,63.274,8712192
13:41:51.0,4.522,0,6,63.373,8712192
13:41:52.0,2.512,0,4,63.347,8712192
13:41:53.0,8.08,0,15,63.134,8712192
13:41:54.0,13.131,0,9,62.868,8712192
13:41:55.0,20.103,0,18,63.314,8712192
13:41:56.0,18.181,0,11,63.564,8712192
13:41:57.0,23.834,0,54,64.199,8712192
13:41:58.0,34.358,0,52,64.354,8712192
13:41:59.0,7.253,0,12,64.38,8712192
13:42:00.0,13.756,0,11,64.198,8712192
13:42:01.0,10.824,0,20,64.422,8712192
13:42:02.0,11.282,0,12,64.295,8712192
13:42:03.0,16.58,0,21,64.406,8712192
13:42:04.0,15.384,0,23,64.882,8712192
13:42:05.0,21.989,0,43,64.613,8712192
13:42:06.0,10.659,0,12,64.328,8712192
13:42:07.0,11.794,0,6,64.433,8712192
13:42:08.0,10.204,0,25,64.319,8712192
13:42:09.0,8.762,0,9,64.005,8712192
13:42:10.0,10.204,0,15,63.773,8712192
13:42:11.0,12.499,0,18,63.493,8712192
13:42:12.0,13.636,0,3,63.691,8712192
13:42:13.0,16.41,0,17,64.316,8712192
13:42:14.0,12.755,0,9,64.206,8712192
13:42:15.0,6.185,0,23,63.929,8712192
13:42:16.0,11.167,0,16,64.276,8712192
13:42:17.0,4.102,0,9,64.207,8712192
13:42:18.0,7.142,0,19,64.349,8712192
13:42:19.0,7.07,0,13,64.551,8712192
13:42:20.0,22.051,0,10,64.576,8712192
13:42:21.0,4.568,0,6,64.448,8712192
13:42:22.0,17.857,0,40,64.094,8712192
13:42:23.0,9.644,0,43,63.945,8712192
13:42:24.0,12.182,0,18,64.193,8712192
13:42:25.0,16.494,0,12,64.438,8712192
13:42:26.0,6.153,0,17,64.261,8712192
13:42:27.0,12.307,0,6,64.097,8712192
13:42:28.0,13.917,0,53,63.764,8712192
13:42:29.0,8.333,0,9,63.662,8712192
13:42:30.0,24.352,0,12,63.483,8712192
13:42:31.0,13.197,0,18,63.642,8712192
13:42:32.0,8.205,0,6,63.412,8712192
13:42:33.0,16.751,0,15,63.371,8712192
13:42:34.0,16.41,0,15,63.117,8712192
13:42:35.0,27.918,0,15,63.379,8712192
13:42:36.0,20.618,0,22,63.688,8712192
13:42:37.0,14.646,0,17,63.922,8712192
13:42:38.0,20.207,0,34,64.478,8712192
13:42:39.0,10.994,0,9,64.588,8712192
13:42:40.0,18.461,0,10,64.752,8712192
13:42:41.0,13.775,0,14,64.845,8712192
13:42:42.0,8.333,0,10,64.355,8712192
13:42:43.0,12.755,0,18,64.365,8712192
13:42:44.0,16.923,0,22,64.345,8712192
13:42:45.0,12.435,0,10,64.326,8712192
13:42:46.0,12.371,0,17,64.372,8712192
13:42:47.0,9.137,0,17,64.58,8712192
13:42:48.0,10.659,0,16,64.697,8712192
13:42:49.0,16.41,0,39,64.222,8712192
13:42:50.0,8.08,0,6,64.31,8712192
13:42:51.0,26,0,12,63.376,8712192
13:42:52.0,8.121,0,14,63.811,8712192
13:42:53.0,16.5,0,12,63.795,8712192
13:42:55.0,5.076,0,14,63.659,8712192
13:42:56.0,1,0,8,63.656,8712192
13:42:57.0,7.07,0,18,63.676,8712192
13:42:58.0,4.95,0,4,64.034,8712192
13:42:59.0,4.04,0,12,64.243,8712192
13:43:00.0,48.73,0,89,64.133,8712192
13:43:01.0,74.5,0,87,64.031,8712192
13:43:02.0,13.065,0,8,63.69,8712192
13:43:03.0,15.075,0,12,63.779,8712192
13:43:04.0,3.553,0,9,63.513,8712192
13:43:05.0,7.035,0,15,63.491,8712192
13:43:06.0,16.915,0,16,63.365,8712192
13:43:07.0,11.5,0,18,63.621,8712192
13:43:08.0,9.045,0,6,63.244,8712192
13:43:09.0,14.795,0,9,63.103,8712192
13:43:10.0,12.135,0,12,63.4,8712192
13:43:11.0,19.095,0,11,63.432,8712192
13:43:12.0,15.306,0,18,63.019,8712192
13:43:13.0,11.055,0,3,63.217,8712192
13:43:14.0,14.572,0,18,63.429,8712192
13:43:15.0,6.532,0,9,62.914,8712192
13:43:16.0,5.5,0,9,62.737,8712192
13:43:17.0,5.527,0,16,62.745,8712192
13:43:18.0,7.035,0,15,62.727,8712192
13:43:19.0,8.163,0,3,63.114,8712192
