Elapsed time,virtual.lab.inf.uva.es CPU,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap,,,
16:10:59.0,0,0,0,24.785,11087872,,,
16:11:00.0,1.01,0,0,24.785,11087872,,,
16:11:01.0,0,0,0,24.785,11087872,,,
16:11:02.0,0.5,0,0,24.785,11087872,,,
16:11:03.0,1.005,0,0,24.852,11087872,,,
16:11:04.0,3.015,0,0,24.307,11087872,,,
16:11:05.0,1.515,0,3,24.112,11087872,,,Stock.php
16:11:06.0,6.965,0,32,24.227,11087872,,1-133,11087872
16:11:07.0,2.02,0,0,24.403,11087872,,134-600,11358208
16:11:08.0,5.555,0,0,24.935,11087872,,,
16:11:09.0,13.065,0,0,26.079,11087872,,,
16:11:10.0,8.585,0,2,27.429,11087872,,,
16:11:11.0,7,0,0,27.873,11087872,,,
16:11:12.0,13.567,0,0,28.674,11087872,,,
16:11:13.0,10.606,0,0,28.81,11087872,,,
16:11:14.0,8.955,0,0,28.963,11087872,,,
16:11:15.0,4.591,0,2,29.096,11087872,,,
16:11:16.0,9.547,0,1,29.332,11087872,,,
16:11:17.0,17.857,0,0,31.142,11087872,,,
16:11:18.0,15.625,0,0,32.546,11087872,,,
16:11:19.0,12.244,0,0,33.606,11087872,,,
16:11:20.0,24.102,0,2,35.915,11087872,,,
16:11:21.0,31.937,0,35,39.36,11087872,,,
16:11:22.0,21.212,0,3,40.849,11087872,,,
16:11:23.0,20.918,0,0,41.726,11087872,,,
16:11:24.0,23.195,0,0,42.708,11087872,,,
16:11:25.0,17.525,0,2,43.434,11087872,,,
16:11:26.0,13.775,0,0,43.681,11087872,,,
16:11:27.0,52.604,0,96,44.61,11087872,,,
16:11:28.0,48.167,0,71,45.846,11087872,,,
16:11:29.0,23.834,0,18,47.544,11087872,,,
16:11:30.0,18.134,0,18,48.377,11087872,,,
16:11:31.0,10.769,0,17,48.449,11087872,,,
16:11:32.0,13.02,0,12,48.804,11087872,,,
16:11:33.0,25,0,3,50.425,11087872,,,
16:11:34.0,15.897,0,18,51.755,11087872,,,
16:11:35.0,14.358,0,9,53.271,11087872,,,
16:11:36.0,15.384,0,3,53.897,11087872,,,
16:11:37.0,17.708,0,6,55.373,11087872,,,
16:11:38.0,13.265,0,6,56.321,11087872,,,
16:11:39.0,7.812,0,3,57.061,11087872,,,
16:11:40.0,14.795,0,3,58.253,11087872,,,
16:11:41.0,12.499,0,12,59.143,11087872,,,
16:11:42.0,8.808,0,9,59.362,11087872,,,
16:11:43.0,12.371,0,6,60.071,11087872,,,
16:11:44.0,17.01,0,3,60.856,11087872,,,
16:11:45.0,9.278,0,21,61.134,11087872,,,
16:11:46.0,7.142,0,23,60.895,11087872,,,
16:11:47.0,5.729,0,12,60.92,11087872,,,
16:11:48.0,15.625,0,20,62.212,11087872,,,
16:11:49.0,7.731,0,10,61.502,11087872,,,
16:11:50.0,28.497,0,35,61.17,11087872,,,
16:11:51.0,4.166,0,13,60.612,11087872,,,
16:11:52.0,4.123,0,12,60.042,11087872,,,
16:11:53.0,1.554,0,9,59.785,11087872,,,
16:11:54.0,3.608,0,6,59.621,11087872,,,
16:11:55.0,7.291,0,18,59.536,11087872,,,
16:11:56.0,2.617,0,3,59.309,11087872,,,
16:11:57.0,1.522,0,9,58.939,11087872,,,
16:11:58.0,4.123,0,9,58.437,11087872,,,
16:11:59.0,66.321,0,100,58.361,11087872,,,
16:12:00.0,37.755,0,46,58.198,11087872,,,
16:12:01.0,2.072,0,12,57.345,11087872,,,
16:12:02.0,20.312,0,13,57.008,11087872,,,
16:12:03.0,5.154,0,8,56.107,11087872,,,
16:12:04.0,4.687,0,19,54.139,11087872,,,
16:12:05.0,5.729,0,21,52.783,11087872,,,
16:12:06.0,7.692,0,18,51.634,11087872,,,
16:12:07.0,15.306,0,33,51.097,11087872,,,
16:12:08.0,12.307,0,36,50.685,11087872,,,
16:12:09.0,21.538,0,31,50.099,11087872,,,
16:12:10.0,10.309,0,27,50.146,11087872,,,
16:12:11.0,15.228,0,42,49.777,11087872,,,
16:12:12.0,34.693,0,25,50.56,11087872,,,
16:12:13.0,23.979,0,33,50.963,11087872,,,
16:12:14.0,11.917,0,17,50.767,11087872,,,
16:12:15.0,16.145,0,10,51.706,11087872,,,
16:12:16.0,23.076,0,18,52.745,11087872,,,
16:12:17.0,21.761,0,29,53.773,11087872,,,
16:12:18.0,14.432,0,19,53.811,11087872,,,
16:12:19.0,9.424,0,9,53.891,11087872,,,
16:12:20.0,7.894,0,15,53.275,11087872,,,
16:12:21.0,24.489,0,4,53.391,11087872,,,
16:12:22.0,15.463,0,9,53.798,11087872,,,
16:12:23.0,48.958,0,68,54.061,11087872,,,
16:12:24.0,1.562,0,6,53.608,11087872,,,
16:12:25.0,8.333,0,6,53.425,11087872,,,
16:12:26.0,3.141,0,0,52.963,11087872,,,
16:12:27.0,3.626,0,0,52.336,11087872,,,
16:12:28.0,4.102,0,0,51.816,11087872,,,
16:12:29.0,6.598,0,0,51.108,11087872,,,
16:12:30.0,6.735,0,2,50.57,11087872,,,
16:12:31.0,26.424,0,82,49.612,11087872,,,
16:12:32.0,6.122,0,0,48.639,11087872,,,
16:12:33.0,4.615,0,0,48.261,11087872,,,
16:12:34.0,9.045,0,0,47.186,11087872,,,
16:12:35.0,13.775,0,2,46.155,11087872,,,
16:12:36.0,16.062,0,0,44.801,11087872,,,
16:12:37.0,13.131,0,0,45.032,11087872,,,
16:12:38.0,21.428,0,0,45.888,11087872,,,
16:12:39.0,21.134,0,0,46.382,11087872,,,
16:12:40.0,25.52,0,2,46.845,11087872,,,
