Elapsed time,virtual.lab.inf.uva.es CPU,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap
15:37:01.0,1.2,0,0,30.05,11087872
15:37:03.0,0.502,0,0,29.902,11087872
15:37:04.0,0.502,0,0,29.771,11087872
15:37:05.0,2,0,0,29.621,11087872
15:37:06.0,3.015,0,27,29.473,11087872
15:37:07.0,2,0,0,29.109,11087872
15:37:08.0,0.505,0,2,28.954,11087872
15:37:09.0,1.507,0,0,28.658,11087872
15:37:10.0,2.01,0,0,28.335,11087872
15:37:11.0,4.545,0,0,28.069,11087872
15:37:12.0,3.535,0,0,27.923,11087872
15:37:13.0,13,0,24,27.952,11087872
15:37:14.0,4,0,0,28.106,11087872
15:37:15.0,4.522,0,0,28.405,11087872
15:37:16.0,8.08,0,1,29.03,11087872
15:37:17.0,9,0,0,29.834,11087872
15:37:18.0,7.035,0,2,30.179,11087872
15:37:19.0,10.05,0,0,30.721,11087872
15:37:20.0,13.567,0,0,31.607,11087872
15:37:21.0,10.606,0,0,32.263,11087872
15:37:22.0,12.562,0,0,33.02,11087872
15:37:23.0,16.41,0,2,34.234,11087872
15:37:24.0,18.877,0,0,35.326,11087872
15:37:25.0,18.461,0,0,36.095,11087872
15:37:26.0,12.807,0,3,35.961,11087872
15:37:27.0,10.204,0,0,36.114,11087872
15:37:28.0,6.565,0,5,36.152,11087872
15:37:29.0,18,0,15,36.501,11087872
15:37:30.0,15.075,0,12,36.744,11087872
15:37:31.0,9.95,0,15,36.783,11087872
15:37:32.0,7,0,9,36.632,11087872
15:37:33.0,15.577,0,9,37.375,11087872
15:37:34.0,18.556,0,15,38.325,11087872
15:37:35.0,15.736,0,9,39.297,11087872
15:37:36.0,17.857,0,12,40.485,11087872
15:37:37.0,12.69,0,13,40.786,11087872
15:37:38.0,9.644,0,3,41.305,11087872
15:37:39.0,8.163,0,3,41.576,11087872
15:37:40.0,10.714,0,15,42.221,11087872
15:37:41.0,9.743,0,9,42.584,11087872
15:37:42.0,40,0,91,42.711,11087872
15:37:43.0,11.917,0,22,42.339,11087872
15:37:44.0,4.06,0,6,41.842,11087872
15:37:45.0,16.243,0,31,42.028,11087872
15:37:46.0,22.335,0,42,42.479,11087872
15:37:47.0,9.693,0,6,42.985,11087872
