Elapsed time,virtual.lab.inf.uva.es CPU,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap
07:46:52.0,1.901,0,0,28.592,11874304
07:46:53.0,1,0,0,28.441,11874304
07:46:54.0,0.5,0,0,28.299,11874304
07:46:55.0,1.005,0,0,28.143,11874304
07:46:56.0,0.505,0,2,28.002,11874304
07:46:57.0,2.01,0,0,27.848,11874304
07:46:58.0,1.507,0,0,27.613,11874304
07:46:59.0,4,0,0,27.45,11874304
07:47:00.0,2.525,0,0,27.179,11874304
07:47:01.0,12.626,0,45,26.969,11874304
07:47:02.0,4.545,0,0,27.041,11874304
07:47:03.0,4.06,0,0,27.232,11874304
07:47:04.0,6,0,0,27.471,11874304
07:47:05.0,6.091,0,0,27.909,11874304
07:47:06.0,7.142,0,10,28.621,11874304
07:47:07.0,7.575,0,0,29.125,11874304
07:47:08.0,4.04,0,0,29.25,11874304
07:47:09.0,12.886,0,0,30.064,11874304
07:47:10.0,12.371,0,0,30.734,11874304
07:47:11.0,25.128,0,43,31.53,11874304
07:47:12.0,45.876,0,37,32.033,11874304
07:47:13.0,12.371,0,0,32.575,11874304
07:47:14.0,19.17,0,0,33.499,11874304
07:47:15.0,19.796,0,0,34.863,11874304
07:47:16.0,9.183,0,0,34.657,11874304
07:47:17.0,11.224,0,6,34.699,11874304
07:47:18.0,14.795,0,12,34.664,11874304
07:47:19.0,30.198,0,15,35.245,11874304
07:47:20.0,9.183,0,9,35.182,11874304
07:47:21.0,12.371,0,12,35.279,11874304
07:47:22.0,16.243,0,10,36.35,11874304
07:47:23.0,20.398,0,12,37.236,11874304
07:47:24.0,15.979,0,15,37.884,11874304
07:47:25.0,16.58,0,12,38.626,11874304
07:47:26.0,20.918,0,9,39.956,11874304
07:47:27.0,14.285,0,13,40.117,11874304
07:47:28.0,10.362,0,9,40.363,11874304
07:47:29.0,27.04,0,9,41.11,11874304
07:47:30.0,11.398,0,15,41.198,11874304
07:47:31.0,5.208,0,0,41.376,11874304
07:47:32.0,8.673,0,17,40.976,11874304
07:47:33.0,8.29,0,6,40.774,11874304
07:47:34.0,7.812,0,3,40.859,11874304
07:47:35.0,5.612,0,0,40.733,11874304
07:47:36.0,19.796,0,39,40.193,11874304
07:47:37.0,28.571,0,58,39.63,11874304
07:47:38.0,17.676,0,14,38.68,11874304
07:47:39.0,4.591,0,7,37.504,11874304
07:47:40.0,5.5,0,15,37.196,11874304
07:47:41.0,7.537,0,6,36.14,11874304
07:47:42.0,11.111,0,18,35.804,11874304
07:47:43.0,34.871,0,71,35.896,11874304
07:47:44.0,6.632,0,3,35.778,11874304
07:47:45.0,16.582,0,6,35.861,11874304
07:47:46.0,11.734,0,0,36.588,11874304
07:47:47.0,16.326,0,28,36.442,11874304
07:47:48.0,3.535,0,13,36.444,11874304
07:47:49.0,5.128,0,0,36.248,11874304
07:47:50.0,5.641,0,0,36.167,11874304
07:47:51.0,3.535,0,0,35.719,11874304
07:47:52.0,3.045,0,0,35.493,11874304
07:47:53.0,5,0,2,35.305,11874304
07:47:54.0,3.553,0,0,35.222,11874304
07:47:55.0,6.598,0,0,35.22,11874304
07:47:56.0,4.04,0,0,35.212,11874304
07:47:57.0,6.122,0,0,35.272,11874304
07:47:58.0,11.167,0,2,35.738,11874304
07:47:59.0,10.606,0,0,35.648,11874304
07:48:00.0,4.04,0,0,35.652,11874304
07:48:01.0,11.055,0,0,35.651,11874304
07:48:02.0,4.639,0,0,35.626,11874304
07:48:03.0,15.228,0,2,36.006,11874304
07:48:04.0,6.217,0,0,35.929,11874304
07:48:05.0,12.06,0,3,36.24,11874304
07:48:06.0,8.247,0,14,36.406,11874304
07:48:07.0,20.895,0,17,37.657,11874304
07:48:08.0,13.333,0,14,38.457,11874304
07:48:09.0,29.743,0,47,38.22,11874304
07:48:10.0,23.115,0,3,40.29,11874304
07:48:11.0,11.167,0,6,40.401,11874304
07:48:12.0,9.137,0,3,40.398,11874304
07:48:13.0,9.595,0,15,39.56,11874304
07:48:14.0,13.846,0,82,39.107,11874304
07:48:15.0,18.229,0,43,38.385,11874304
07:48:16.0,9.547,0,15,38.229,11874304
07:48:17.0,14.213,0,15,38.723,11874304
07:48:18.0,12.435,0,21,38.822,11874304
07:48:19.0,18.556,0,16,38.348,11874304
07:48:20.0,20.707,0,12,38.311,11874304
07:48:21.0,13.567,0,24,38.434,11874304
07:48:22.0,11.734,0,18,38.674,11874304
07:48:23.0,18.974,0,19,38.558,11874304
07:48:24.0,23.711,0,31,38.356,11874304
07:48:25.0,9.743,0,14,38.119,11874304
07:48:26.0,17.258,0,11,38.361,11874304
07:48:27.0,7.731,0,21,37.805,11874304
07:48:28.0,16.326,0,21,38.592,11874304
07:48:29.0,13.705,0,20,39.183,11874304
07:48:30.0,32.499,0,58,38.403,11874304
07:48:31.0,8.205,0,12,37.62,11874304
07:48:32.0,7.537,0,9,37.38,11874304
07:48:33.0,10.204,0,9,37.269,11874304
07:48:34.0,19.095,0,19,37.082,11874304
07:48:35.0,8.415,0,9,36.6,11874304
07:48:36.0,12.437,0,23,36.256,11874304
07:48:37.0,4.545,0,6,35.884,11874304
07:48:38.0,8.08,0,0,35.948,11874304
07:48:39.0,10.891,0,13,35.9,11874304
07:48:40.0,17.857,0,75,35.733,11874304
07:48:41.0,4.568,0,0,35.498,11874304
07:48:42.0,5,0,2,35.444,11874304
07:48:43.0,6.03,0,0,35.099,11874304
07:48:44.0,6.5,0,0,35.092,11874304
07:48:45.0,10.05,0,48,35.097,11874304
07:48:46.0,5.5,0,0,35.177,11874304
07:48:47.0,5.472,0,2,35.339,11874304
07:48:48.0,7.881,0,0,35.381,11874304
07:48:49.0,6.153,0,0,35.666,11874304
07:48:50.0,6,0,0,35.713,11874304
07:48:51.0,8.374,0,0,35.973,11874304
07:48:52.0,12.562,0,2,36.176,11874304
07:48:53.0,4.5,0,0,35.918,11874304
07:48:54.0,11.94,0,3,36.18,11874304
07:48:55.0,6,0,0,35.966,11874304
07:48:56.0,12.626,0,11,35.996,11874304
07:48:57.0,6.122,0,12,36.112,11874304
07:48:58.0,16,0,15,36.8,11874304
07:48:59.0,15.979,0,9,36.563,11874304
07:49:00.0,15.816,0,15,37.849,11874304
07:49:01.0,15.463,0,10,38.066,11874304
07:49:02.0,15.463,0,13,38.771,11874304
07:49:03.0,4.081,0,13,38.18,11874304
07:49:04.0,21.938,0,13,40.007,11874304
07:49:05.0,14.795,0,14,40.161,11874304
